Area_Year,9_Postsecondary enrolments,"2_Number of students in elementary and secondary schools_Public school Total, program type","2_Number of students in elementary and secondary schools_Priviate school Total, program type","2_Number of students in elementary and secondary schools_Home-schooling Total, program type",3_Number of full-time and part-time educators,"1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,6_Estimates of population,7_Dependency ratio,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Residential structures,4_Canada_gdp_yearly_Non-profit institutions serving households gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand
Alberta_2004,160107.0,552591.0,-1.0,-1.0,39390.0,40722.0,25.0,3238668.0,59.2,10658.0,5946.0,24016.0,50346.0,2103.0,35132.0,30798.0,12444.0,7835.0,14618.0,128.0,6071.0,72.0,962.0,79412.0,6657.0,28029.0,19571.0,38124.0,6184.0,21730.0,24595.0,399.0,248322.0,199624.0
Alberta_2005,172563.0,550983.0,-1.0,-1.0,40293.0,42036.0,18.0,3321768.0,58.4,12196.0,6558.0,24801.0,54234.0,2329.0,36098.0,37527.0,15758.0,9903.0,16518.0,321.0,7076.0,2038.0,777.0,80317.0,6359.0,26245.0,20521.0,45479.0,6809.0,22681.0,27320.0,76.0,259282.0,222857.0
Alberta_2006,175167.0,551739.0,-1.0,-1.0,40557.0,45088.0,8.0,3421434.0,57.5,14234.0,7395.0,26227.0,58426.0,2282.0,37246.0,40534.0,18911.0,9882.0,17200.0,352.0,8398.0,1823.0,-531.0,86055.0,6835.0,27692.0,22909.0,52414.0,7489.0,24143.0,29402.0,449.0,275756.0,241597.0
Alberta_2007,175491.0,560562.0,28767.0,9984.0,40542.0,48832.0,13.0,3514147.0,56.4,15689.0,8127.0,27239.0,62158.0,2341.0,39283.0,42475.0,19172.0,8390.0,17321.0,279.0,9856.0,-788.0,-655.0,87066.0,6640.0,31269.0,21788.0,56035.0,7532.0,27089.0,28993.0,-299.0,280600.0,252928.0
Alberta_2008,174543.0,559116.0,29520.0,9747.0,42516.0,50557.0,6.0,3595856.0,55.7,15828.0,8476.0,27740.0,64142.0,2495.0,41827.0,46429.0,19039.0,7423.0,15418.0,391.0,10892.0,-1086.0,595.0,87287.0,6577.0,27878.0,22772.0,56922.0,7777.0,25243.0,29911.0,-108.0,285125.0,260091.0
Alberta_2009,176700.0,564051.0,27867.0,10113.0,45627.0,51494.0,14.0,3678996.0,55.1,14029.0,8210.0,27957.0,64621.0,2409.0,43223.0,27866.0,15261.0,5431.0,13416.0,324.0,11047.0,-670.0,-779.0,77489.0,6712.0,31692.0,27840.0,47050.0,7603.0,23963.0,29417.0,-210.0,269322.0,234339.0
Alberta_2010,184575.0,567813.0,27690.0,9855.0,44781.0,50622.0,11.0,3732082.0,55.1,14716.0,8694.0,28519.0,67606.0,2375.0,44295.0,39553.0,15775.0,6845.0,15941.0,441.0,12401.0,-111.0,511.0,82186.0,5987.0,31490.0,27739.0,55335.0,9605.0,25093.0,32181.0,-343.0,282702.0,257217.0
Alberta_2011,188268.0,573102.0,27831.0,9966.0,44643.0,50834.0,11.0,3789030.0,55.3,15677.0,9347.0,29132.0,70186.0,2527.0,45951.0,47393.0,17949.0,7865.0,15239.0,435.0,12026.0,1211.0,101.0,92027.0,5973.0,32120.0,28074.0,59055.0,10395.0,27343.0,35502.0,-305.0,300948.0,273737.0
Alberta_2012,189090.0,574911.0,22425.0,10386.0,44211.0,52441.0,11.0,3874548.0,55.6,16960.0,10116.0,29925.0,72510.0,2640.0,46675.0,53823.0,19883.0,8812.0,17179.0,480.0,12073.0,609.0,-105.0,96585.0,6310.0,32598.0,28656.0,66764.0,11624.0,26908.0,37494.0,-304.0,312708.0,291076.0
Alberta_2013,191619.0,591399.0,24159.0,10785.0,44391.0,53172.0,12.0,3981011.0,55.9,18421.0,10562.0,31172.0,75767.0,2709.0,46942.0,63734.0,21432.0,8691.0,19017.0,459.0,11343.0,757.0,1281.0,102108.0,6803.0,36137.0,28841.0,70042.0,13487.0,29939.0,42561.0,-94.0,330548.0,310267.0
