Area_Year,9_Postsecondary enrolments,"2_Number of students in elementary and secondary schools_Public school Total, program type","2_Number of students in elementary and secondary schools_Priviate school Total, program type","2_Number of students in elementary and secondary schools_Home-schooling Total, program type",3_Number of full-time and part-time educators,"1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,6_Estimates of population,7_Dependency ratio,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Residential structures,4_Canada_gdp_yearly_Non-profit institutions serving households gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand
Alberta_2014,186600,608169,25707,11136,45123,55568,23.0,4083648,56.0,19551,10945,32348,78211,2675,47723,67683,22294,8662,20728,589,10396,1015,-108,111894,7592,34599,32953,70380,14158,28458,47104,-63,350033,321825
Alberta_2015,184026,625683,27129,11484,46662,56734,15.0,4144491,56.9,18250,10826,32478,80126,2804,48708,49458,16558,5926,20637,527,11372,-2065,88,113929,7782,33746,29901,63255,13164,24857,42694,-156,337069,297615
Alberta_2016,185679,640872,26775,11322,47289,55674,41.0,4196061,58.0,17386,10645,32301,80803,2952,50741,37866,12395,4680,17555,310,11818,-1358,224,111536,7804,35467,29499,58252,13264,23450,41909,275,325421,279292
Alberta_2017,190947,652272,27537,12732,,53513,48.0,4241100,59.1,18730,10803,33276,82418,2960,52294,37379,12401,5404,17928,320,11761,1718,330,118565,7999,37677,30623,61731,13160,22306,43749,-228,340062,285508
Alberta_2018,194010,665877,28488,13023,,52325,17.0,4298275,60.0,18777,10952,33839,84249,3066,54117,35940,14130,5719,17608,309,10467,582,-58,127304,8280,41497,31186,64303,14437,23801,44920,79,347593,289117
Alberta_2019,200391,673788,30270,13689,,51657,32.0,4362576,61.0,18203,11037,33888,85208,3241,53772,33187,13811,5650,15931,242,9546,2230,-79,130171,9411,39360,31466,61544,15074,23181,45394,-88,348005,283682
Alberta_2020,203823,683280,31503,14730,,48908,62.0,4420029,61.9,17076,9876,34605,77323,3071,53625,25629,11205,4983,15426,230,10260,-3690,-137,127669,7057,38517,27545,55931,11875,24405,42522,-6,320302,263217
Alberta_2021,203523,664908,30465,25305,,49779,65.0,4442879,62.9,18354,11570,34273,81039,3136,54700,27538,10988,4697,18741,251,9602,-468,-1709,131433,7915,38409,30068,59773,12394,23548,44290,-88,335550,274634
British Columbia_1991,,,,,,45585,173.0,,,6395,4191,21687,41225,1216,31073,7890,3191,1231,11010,140,4626,-415,25,22189,5649,4164,10201,15893,4607,15839,12854,-353,126535,131680
British Columbia_1992,,,,,,46098,131.0,,,6574,4337,22174,42676,1397,32140,6166,3185,1229,13535,161,4638,-411,18,22089,5873,5405,11021,17752,4615,15346,13256,-1348,130049,136186
British Columbia_1993,144663,,,,,46007,134.0,,,6773,4558,23162,43730,1518,32588,5649,3091,1603,13875,184,4728,285,45,22911,6599,5295,11403,18605,4783,13791,12946,-1872,136155,139480
British Columbia_1994,145371,,,,,46881,79.0,,,7307,4856,23929,45140,1486,32870,6879,3510,2315,13955,155,5438,660,62,25031,7638,5492,10837,21714,5284,17567,13789,-16,139733,146042
British Columbia_1995,147195,,,,,46768,121.0,,,7588,5093,24562,46437,1499,32306,7541,3587,1825,12270,187,5053,570,35,27011,8819,5256,10749,21736,5369,17623,14469,755,143402,146436
British Columbia_1996,150033,,,,,46095,126.0,,,7716,5122,24931,49043,1812,32946,6661,3675,1841,12459,173,5434,205,-17,27061,8186,6149,10576,22015,5580,16152,14674,90,147052,150523
British Columbia_1997,154824,,,,,44545,89.0,,,8449,5316,25408,50657,2382,32876,8876,4066,1946,13071,221,4729,909,-43,27536,8970,6484,11274,24726,5612,16383,15381,-124,151968,156828
British Columbia_1998,161229,631446,,,,43014,53.0,,,8286,5397,25959,51482,2464,33385,6781,4496,2408,11314,126,4532,209,81,27496,10036,6711,11760,24904,5365,14359,16497,569,153811,156401
British Columbia_1999,163533,629544,,,,41906,71.0,,,8763,5511,26426,52606,2611,33624,7527,4517,2077,10499,146,5332,1025,-18,30534,10078,7745,12229,26554,5639,15005,17590,201,159162,159552
British Columbia_2000,160305,628269,,,,40598,66.0,,,9472,5680,26797,54090,2628,34897,7289,4897,2513,10563,170,5403,2143,-73,32625,11150,9409,12743,28938,5733,15744,19343,48,166405,164808
British Columbia_2001,204180,624618,,,,40498,48.0,4076950,61.0,9975,6012,26767,54984,2760,36032,8404,4811,3164,11629,186,5458,-475,128,30784,11315,10677,13153,27595,5920,17116,19803,-19,167541,170262
British Columbia_2002,222873,622830,,,37149,40054,66.0,4100564,60.4,10859,6300,27486,56551,2934,36560,7875,4681,2704,13554,246,5212,588,-32,31291,11739,10633,12636,28128,5837,16704,19679,132,174214,175025
British Columbia_2003,224991,613227,,,36564,40411,79.0,4124482,59.8,11263,6519,27768,58949,3040,36720,8599,4693,3238,14601,218,5443,628,52,31808,11955,11354,13141,29404,6537,18213,19907,109,178240,180892
British Columbia_2004,229104,605535,,,36330,40479,63.0,4155651,59.3,12092,6808,28480,61740,2771,36511,9487,5274,3697,17112,137,6299,741,-29,33464,12619,11635,14157,32204,7097,19200,21240,5,185250,190151
