Area_Year,9_Postsecondary enrolments,"2_Number of students in elementary and secondary schools_Public school Total, program type","2_Number of students in elementary and secondary schools_Priviate school Total, program type","2_Number of students in elementary and secondary schools_Home-schooling Total, program type",3_Number of full-time and part-time educators,"1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,6_Estimates of population,7_Dependency ratio,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Residential structures,4_Canada_gdp_yearly_Non-profit institutions serving households gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand
Alberta_1991,0.13005502086028406,0.28140988599689326,0.030811314165987664,0.09259039715471251,0.13003317897127448,0.2790070543175941,0.17696629213483145,0.1951066022270497,0.36347826086956525,0.0799397406926615,0.09075460829493087,0.1567112556484867,0.11990543625817598,0.073558648111332,0.17048048119442727,0.1902580320988384,0.10005459508644221,0.11611739107360824,0.10100072806178532,0.09283387622149837,0.12635477701205258,0.5173481676893961,0.6855990068280571,0.17172193006912334,0.024254320343705817,0.42999376384319293,0.10337217514124294,0.048575620294387924,0.06110755148741419,0.24368499257057952,0.28840318134036774,0.7911292147544693,0.1851625364485842,0.13779701428844346
Alberta_1992,0.13005502086028406,0.28140988599689326,0.030811314165987664,0.09259039715471251,0.13003317897127448,0.2740957380978746,0.12640449438202248,0.19591075718081655,0.38086956521739124,0.07901020882414218,0.09285714285714286,0.15712450477482415,0.12197257188695544,0.07841837861718577,0.17156816128572105,0.15849909851328584,0.11526842584167424,0.10274372446001168,0.11706091450270524,0.10912052117263844,0.12210449618992683,0.4544359694901646,0.5243637492240845,0.20067392830018171,0.029676197273962635,0.4247897985076232,0.10088080665411174,0.04992180824479662,0.06138215102974828,0.234863731261873,0.29881592256887285,0.5297578637700837,0.18640545492058994,0.13832299970475348
Alberta_1993,0.12479114901951703,0.2739056630180684,0.030811314165987664,0.09259039715471251,0.09923883536487997,0.2626902809351042,0.1095505617977528,0.16835988137160185,0.3899999999999999,0.08239178165616937,0.09567972350230415,0.16016997116239792,0.1257983154387264,0.07606214564465061,0.1682040796918834,0.19736647651701003,0.11679708826205641,0.14631428116541953,0.11885965538408828,0.1213355048859935,0.1159415889978445,0.4909674829385789,0.819522036002483,0.21490717863426173,0.03001935404170041,0.47495860482119434,0.10691305712492154,0.05451255098586099,0.06592219679633868,0.23337784716083287,0.3030801880243559,0.5530663045937996,0.20100850404818546,0.14327272095729346
Alberta_1994,0.12353721600402319,0.26634268555124596,0.030811314165987664,0.09259039715471251,0.12836535902485763,0.2599089387257935,0.1095505617977528,0.1956781469134337,0.3473913043478263,0.0862701732455086,0.09830069124423964,0.16428449507245335,0.13161406269282983,0.07333775127015683,0.15836741001378915,0.26598291608784325,0.12200181983621473,0.20150719099931008,0.11781752773058858,0.10993485342019545,0.1041622392908103,0.4832253254573608,0.6364059590316574,0.23553842160416089,0.03310776495134037,0.5051287013741049,0.10645205586942875,0.054294903832202104,0.07304347826086957,0.27210487708541015,0.3028620163033777,0.9135551029644716,0.2122221145026213,0.14978303101577212
Alberta_1995,0.12203183467935379,0.26622489943143945,0.030811314165987664,0.09259039715471251,0.15967779138056457,0.2536102082424132,0.09269662921348315,0.22360312371626628,0.297391304347826,0.0869432825296088,0.10305299539170507,0.1650391239118522,0.13558635690485007,0.07922833370149474,0.15528267795159525,0.2654656696125085,0.13008189262966333,0.22262909303189513,0.10378449371154477,0.14087947882736157,0.09390084702024956,0.5422951195733211,0.728429546865301,0.25971235471124915,0.03642952246304201,0.5013224953228824,0.1064912900188324,0.05811985103261483,0.07445308924485126,0.2816596761148833,0.309327832761459,0.8176057931658747,0.21878223819786763,0.15100991680994807
Alberta_1996,0.12136020301142438,0.2586669105532206,0.030811314165987664,0.09259039715471251,0.18836784301201184,0.24682946529184552,0.05337078651685393,0.22360312371626628,0.297391304347826,0.09274484350209145,0.10639400921658987,0.16717723895681547,0.13918456127360238,0.09299757013474706,0.1535174266558889,0.2574261815387344,0.1556687898089172,0.22278830334872365,0.11918799697354708,0.13436482084690554,0.09736178997540909,0.49796409932901303,0.6021104903786468,0.2768585904227194,0.0420572934539415,0.6010579962583059,0.10454919962335217,0.06955438760539764,0.08153775743707094,0.27244343295653317,0.3182927071143815,0.6442634080108622,0.2240758279701401,0.15559492175966932
Alberta_1997,0.12562489867625698,0.25126273649027847,0.06085438249330694,0.15542382928275045,0.2161884991394759,0.24092806940979528,0.1095505617977528,0.22360312371626628,0.297391304347826,0.10896357196660096,0.11258640552995391,0.17360056776836488,0.14888775762063436,0.11346734408364627,0.1540464076838952,0.33850087192977274,0.19737943585077344,0.2996868863769039,0.15125126697026364,0.1669381107491857,0.09508485382069887,0.5805471124620061,0.6454065797641217,0.29748983339261853,0.04931849065927278,0.5680063651807411,0.12101773383553045,0.09216953907169459,0.08810983981693364,0.2980232098858314,0.34030821714036374,0.6886173342385156,0.23948055951217934,0.17372777277430015
Alberta_1998,0.128658821038283,0.24587367507936705,0.28013812904978075,0.24955542382928275,0.2306275616117528,0.24721377252919757,0.1151685393258427,0.2133966809213832,0.2860869565217392,0.113483020016988,0.12039170506912443,0.18144331749211684,0.15297574972232508,0.12362859877770414,0.16292021301887688,0.31345136405284785,0.2656596906278435,0.39293106193281324,0.16044483147511027,0.1213355048859935,0.10698564012265097,0.48752652405803754,0.6800124146492862,0.32394704711729816,0.06614689854913319,0.5105477065995743,0.1390752510985562,0.10332194044528996,0.08547368421052631,0.2863806496510994,0.35742478034074454,0.575469563249604,0.25134794508289027,0.18467546451707345
Alberta_1999,0.13533874388335446,0.25099390699330837,0.28013812904978075,0.24955542382928275,0.2306275616117528,0.24920044553584805,0.15168539325842695,0.2133966809213832,0.2860869565217392,0.11753770213311537,0.12335829493087558,0.1869862459910343,0.1587683573984944,0.1323908401443193,0.16855475250820215,0.30691927999290636,0.2516833484986351,0.3149710767924428,0.15372096675184513,0.14006514657980457,0.12180090470263215,0.5211905717726674,0.7408441961514587,0.3242979512964227,0.07501406942747725,0.5416854826570329,0.14299866603892028,0.10568381511277347,0.08446681922196796,0.30392912897097824,0.3772189055713124,0.6159764652636344,0.25448382838776074,0.18627699086720606
Alberta_2000,0.13991774993465653,0.25238655464513815,0.23178520156753193,0.32196799051570835,0.2306275616117528,0.24172925229444447,0.1404494382022472,0.2133966809213832,0.2860869565217392,0.13083962369985735,0.13220046082949308,0.19360721568909292,0.16546340861409356,0.14343568220307784,0.1789798392848652,0.36389028463334616,0.297761601455869,0.40603937801836226,0.15740410284229608,0.14332247557003258,0.14138255563314006,0.5558869071514596,0.6441651148355059,0.3569753021140775,0.07211782630777044,0.5886932025890803,0.157780131826742,0.12635626420752252,0.09043478260869565,0.3375966294882164,0.42049624149626136,0.607377234668477,0.2702390629389056,0.20287530424038527
