Area_Year,9_Postsecondary enrolments,"2_Number of students in elementary and secondary schools_Total, school type Total, program type",3_Number of full-time and part-time educators,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",6_Estimates of population,7_Dependency ratio,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand
British Columbia_1997,154824.0,627341.4,36338.4,44634.0,3903151.0,60.42,123991.0,32310.0,903.0,55463.0,61586.0,-124.0,151968.0,156828.0
British Columbia_1998,161229.0,631446.0,36816.0,43067.0,4130741.8,59.88,125726.0,30104.0,256.0,56944.0,60891.0,569.0,153811.0,156401.0
British Columbia_1999,163533.0,629547.0,36816.0,41977.0,4130741.8,59.88,128421.0,30541.0,1033.0,61911.0,64595.0,201.0,159162.0,159552.0
British Columbia_2000,160305.0,628269.0,36816.0,40664.0,4130741.8,59.88,132591.0,31611.0,2132.0,67308.0,69598.0,48.0,166405.0,164808.0
British Columbia_2001,204180.0,624618.0,36816.0,40546.0,4076950.0,61.0,135724.0,34014.0,-399.0,66794.0,69764.0,-19.0,167541.0,170262.0
British Columbia_2002,222873.0,622827.0,37149.0,40120.0,4100564.0,60.4,140099.0,34333.0,572.0,67270.0,69848.0,132.0,174214.0,175025.0
British Columbia_2003,224991.0,613227.0,36564.0,40490.0,4124482.0,59.8,143766.0,36613.0,671.0,69226.0,73588.0,109.0,178240.0,180892.0
British Columbia_2004,229104.0,605538.0,36330.0,40542.0,4155651.0,59.3,148130.0,41740.0,741.0,72828.0,79354.0,5.0,185250.0,190151.0
British Columbia_2005,232230.0,596166.0,36888.0,40853.0,4196062.0,58.9,153275.0,46489.0,1311.0,76457.0,84079.0,-155.0,194460.0,199896.0
British Columbia_2006,236508.0,589380.0,37149.0,41783.0,4241794.0,58.7,160695.0,51255.0,1419.0,79417.0,90710.0,-84.0,203053.0,212006.0
British Columbia_2007,242394.0,645033.0,37119.0,43698.0,4290984.0,58.4,169126.0,52756.0,1349.0,81168.0,95697.0,-299.0,209419.0,221950.0
British Columbia_2008,244416.0,637557.0,36921.0,44373.0,4349336.0,58.0,174156.0,54232.0,84.0,78546.0,96459.0,-213.0,210903.0,228456.0
British Columbia_2009,244785.0,631644.0,36372.0,45121.0,4410506.0,57.8,174870.0,47954.0,-953.0,73286.0,89411.0,-131.0,205878.0,222820.0
British Columbia_2010,261339.0,628020.0,35958.0,43879.0,4465546.0,57.7,180074.0,50956.0,-946.0,79025.0,97377.0,-137.0,211749.0,231029.0
British Columbia_2011,268887.0,651609.0,36108.0,44205.0,4502104.0,58.1,183960.0,51459.0,742.0,82874.0,100829.0,-108.0,218203.0,235419.0
British Columbia_2012,273123.0,643686.0,36021.0,44170.0,4566769.0,58.3,187489.0,54486.0,600.0,85442.0,104682.0,-6.0,223329.0,241975.0
