Area_Year,9_Postsecondary enrolments,"2_Number of students in elementary and secondary schools_Total, school type Total, program type",3_Number of full-time and part-time educators,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",6_Estimates of population,7_Dependency ratio,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand
British Columbia_2014,276726,637089,35505,44479,4707103,58.7,195272,56695,826,94851,111054,-38,236696,251975
British Columbia_2015,271272,635643,35757,44383,4776388,59.3,202331,54920,184,94041,109916,-129,241509,257194
British Columbia_2016,273408,637284,36111,45397,4859250,59.9,208433,58031,-105,97054,115448,199,248262,266460
British Columbia_2017,277974,643410,35801.4,44773,4929384,60.7,217014,60751,1638,99738,121506,-76,257724,277778
British Columbia_2018,286914,650496,35801.4,43736,5010476,61.3,224201,62577,2810,103531,125933,-57,266882,286780
British Columbia_2019,295320,657372,35801.4,43676,5094796,61.6,228407,68783,2486,105851,131208,144,273941,297493
British Columbia_2020,297432,665676,35801.4,42384,5158728,62.3,224258,69682,-318,95976,123432,-56,265831,294349
British Columbia_2021,287523,661122,35801.4,44054,5214805,62.6,240664,77017,1683,99016,136118,10,282111,318273
Manitoba_1991,42307.2,157980,9682.2,17728,936596,60.74,32663,5458,-475,13627,14797,279,37004,38105
Manitoba_1992,42307.2,155628,9682.2,17073,936596,60.74,32676,5302,-520,14728,15047,-172,37272,37953
Manitoba_1993,43260,157410,9682.2,17155,936596,60.74,32918,5479,-365,14652,15643,37,37304,38378
Manitoba_1994,42675,171806.4,9711,16858,936596,60.74,33210,5642,380,16305,17107,79,38774,38839
Manitoba_1995,41058,171806.4,9778.8,16461,978548.2,62.88,33833,5875,227,16847,18248,132,38795,39704
Manitoba_1996,38379,185559,10695.6,15832,1022848.4,64.66,34124,6530,495,17755,19258,-26,39800,40683
Manitoba_1997,37797,192165.6,11666.4,14964,1068024.2,66.42,35156,7206,790,19556,21586,266,41525,42414
Manitoba_1998,37068,192312,14284.2,14871,1164646.4,69.46,35706,7336,-184,21830,21925,236,43381,43096
Manitoba_1999,37428,192630,14284.2,14769,1164646.4,69.46,36453,7666,436,22072,23008,59,43990,44182
Manitoba_2000,38241,197067,14284.2,14611,1164646.4,69.46,37344,7569,319,23467,23479,167,45856,44972
Manitoba_2001,40641,189912,14265,14468,1151454,71,38017,7989,-441,24145,23992,160,46346,46067
Manitoba_2002,43008,188907,14139,14335,1156680,70.2,39097,8026,-25,24181,24666,96,47142,47186
Manitoba_2003,44667,186891,14445,14393,1163596,69.5,40047,8218,958,24532,26301,10,47766,48331
Manitoba_2004,47931,186285,14280,14294,1173238,68.6,41109,8847,283,25557,27195,14,48948,50011
Manitoba_2005,49692,184353,14211,14581,1178264,68,42054,9128,24,26544,27925,119,50322,51233
Manitoba_2006,55452,182373,14250,15009,1183562,67.6,43057,10070,1193,27707,30029,-16,52166,53149
Manitoba_2007,50085,193761,14346,15698,1189451,67.3,44931,10900,205,30435,33312,5,53501,55841
Manitoba_2008,49305,193332,14322,15915,1197775,67.2,46847,11870,613,30328,34434,-4,55454,58720
Manitoba_2009,51300,192201,14334,16371,1208556,67.1,47314,11196,-278,30403,33574,-20,55370,58512
Manitoba_2010,54945,192381,14433,16255,1220780,66.8,48412,13010,-546,30793,35273,-51,56727,61418
Manitoba_2011,62001,192711,13065,16045,1233649,66.7,50006,12872,-304,31698,36597,-35,58087,62880
Manitoba_2012,60702,194148,13479,16800,1249975,66.9,51257,13570,896,32162,37998,-41,59846,64827
Manitoba_2013,61533,195171,13662,16914,1264620,67.1,52084,13668,1392,32310,38404,3,61583,65752
Manitoba_2014,62211,195432,13707,16984,1279014,67.3,52747,14184,507,33316,38465,-13,62853,66930
Manitoba_2015,61974,196341,13908,17134,1292227,67.7,53464,14306,289,32582,37583,-11,63628,67768
Manitoba_2016,63192,198132,14097,17400,1314139,68,54267,13721,221,32519,36750,-10,64549,67976
Manitoba_2017,62952,200226,13770.6,17500,1334790,68.4,55991,14308,409,33810,38407,-17,66670,70289
Manitoba_2018,62802,202545,13770.6,17542,1352825,69,57137,14192,485,34380,38784,15,68003,71313
Manitoba_2019,63363,204249,13770.6,17186,1369954,69.6,57852,13975,639,34987,39213,7,68813,71804
Manitoba_2020,65037,205908,13770.6,16908,1380648,70.1,55878,12767,-697,32832,35779,10,65763,68608
Manitoba_2021,63363,202089,13770.6,14561,1383765,70.3,59193,12838,-909,32733,37848,13,66917,71969
New Brunswick_1991,28404.6,103052.4,7746.6,9651,518832,56.9,20468,3599,-33,13699,16554,59,21546,24008
New Brunswick_1992,28404.6,103052.4,7746.6,9568,518832,56.9,20715,3370,-138,14826,16975,17,21842,23991
New Brunswick_1993,28029,106407.6,7746.6,9197,518832,56.9,21252,3242,-7,15558,17550,45,22523,24371
New Brunswick_1994,28350,101567.4,7746.6,9114,518832,56.9,21286,3158,-22,16682,17979,80,22983,24311
New Brunswick_1995,28386,108144.6,7746.6,8759,517289.2,56.3,21489,3467,-3,17647,18646,57,23762,24857
New Brunswick_1996,28650,116830.8,7666.8,8353,563357,56.88,21701,3746,-5,18292,19465,-35,24010,25378
New Brunswick_1997,28608,116830.8,7666.8,8101,564067,56.72,22050,3485,229,18666,20157,118,24232,25428
New Brunswick_1998,27957,131586,7507.8,8056,749221.8,59.4,22865,4068,-2,19751,21364,-59,25060,26873
New Brunswick_1999,28131,129132,7507.8,7735,749221.8,59.4,23653,5008,335,20942,23467,44,26629,28686
New Brunswick_2000,27903,127002,7507.8,7544,749221.8,59.4,24088,5059,393,21610,24044,-23,27184,29169
New Brunswick_2001,29916,124941,7507.8,7347,749820,60.5,24323,4336,99,24330,24956,-100,27683,28624
New Brunswick_2002,32928,122793,7419,7193,749372,59.9,24982,4441,8,25541,25357,-126,28999,29387
New Brunswick_2003,32235,120600,7473,7255,749441,59.3,25329,4893,89,26322,26417,-50,29722,30205
New Brunswick_2004,33348,118869,7509,7089,749419,58.8,25878,5293,66,26913,27236,-22,30475,31165
New Brunswick_2005,34599,117147,7509,6967,748057,58.5,26461,5654,53,27025,28117,-26,30716,32117
New Brunswick_2006,33615,114819,7629,7087,745621,58.6,27199,6682,173,26103,28756,43,31348,33904
New Brunswick_2007,30939,112524,7899,7232,745433,58.8,28189,7347,-56,26644,30388,-27,31644,35567
New Brunswick_2008,30792,111630,8079,7463,746877,58.9,29157,7294,16,25532,30070,-21,31887,36476
New Brunswick_2009,30282,109722,7998,7492,749956,59.1,29421,6495,-18,25088,29471,-32,31425,35912
New Brunswick_2010,31434,107718,7803,7467,753035,59.1,30264,6695,232,26543,31622,-32,32050,36956
New Brunswick_2011,32934,105723,7683,7208,755705,59.4,30345,7105,214,26254,31739,-17,32136,37451
New Brunswick_2012,33069,104007,7449,7116,758378,60.2,30430,6157,171,26110,31053,-20,31796,36587
New Brunswick_2013,32610,102459,6900,7011,758544,61.3,30689,5700,83,26036,30836,-11,31710,36390
New Brunswick_2014,32589,101364,6843,7010,758976,62.5,30933,5590,163,25756,30730,6,31747,36525
New Brunswick_2015,28455,100362,7023,6639,758842,63.8,31400,5521,51,25072,30121,-7,31954,36920
New Brunswick_2016,27540,99726,7515,6681,763350,65.2,31951,5452,273,24516,30091,30,32213,37398
New Brunswick_2017,27369,99738,7146,6543,766621,66.6,32790,6104,176,25668,31845,-3,33014,38900
New Brunswick_2018,27057,99774,7146,6391,770301,68,33377,6555,216,24314,31167,-19,33401,39944
New Brunswick_2019,26790,99984,7146,6317,777128,69.4,33976,5955,292,24831,31313,17,33846,39924
New Brunswick_2020,27909,101175,7146,6222,783204,70.8,33594,5987,-538,23845,30095,-3,32937,39578
New Brunswick_2021,27099,101427,7146,6355,789225,71.7,35017,6410,-768,24862,30769,-13,34882,41432
Newfoundland and Labrador_1991,22503.6,94129.2,7682.4,7194,448345.4,59.42,14454,3104,-68,8840,8734,209,19372,17498
Newfoundland and Labrador_1992,22503.6,94129.2,6524.4,6950,376344.6,62.16,14605,3056,-105,7774,8435,149,18987,17597
Newfoundland and Labrador_1993,22683,94129.2,7746.6,6435,518348.2,56.78,14544,3545,-73,8154,8960,130,19257,18046
Newfoundland and Labrador_1994,22548,94129.2,7746.6,6351,518348.2,56.78,14635,4011,-54,8745,9303,73,20012,18619
Newfoundland and Labrador_1995,23346,94129.2,7746.6,5872,518348.2,56.78,14681,4090,20,9983,9781,74,20656,18747
Newfoundland and Labrador_1996,22077,94129.2,7746.6,5782,518348.2,56.78,14570,3366,-36,9876,9509,109,19682,17887
Newfoundland and Labrador_1997,21864,94129.2,7746.6,5428,518348.2,56.78,14762,3777,235,10520,10618,-124,19908,18501
Newfoundland and Labrador_1998,21948,101769,7682.4,5015,518348.2,56.78,15389,3808,-36,12432,11299,-50,20895,19151
Newfoundland and Labrador_1999,22155,97557,7682.4,5072,518348.2,56.78,15899,4853,-34,13311,12629,9,22144,20752
Newfoundland and Labrador_2000,23820,94116,7682.4,4886,518348.2,56.78,16430,4330,236,14912,13175,8,23334,20731
Newfoundland and Labrador_2001,21447,90234,7682.4,4719,522046,58.4,16781,4347,148,14713,12870,36,23894,21098
Newfoundland and Labrador_2002,24126,86970,8034,4686,519481,57.6,17279,4370,-200,19698,13217,94,27746,21617
Newfoundland and Labrador_2003,26196,84336,7920,4630,518459,56.6,17717,4635,100,21853,14295,11,29562,22319
Newfoundland and Labrador_2004,26751,81510,7737,4507,517423,55.9,17795,5173,117,21743,15085,37,29354,22938
Newfoundland and Labrador_2005,25335,79482,7320,4526,514332,55.4,18076,5721,146,21799,15250,-47,30187,23767
Newfoundland and Labrador_2006,29436,76806,7401,4580,510592,55.3,18504,5312,203,23069,15370,-33,31391,23791
Newfoundland and Labrador_2007,26904,75180,7485,4577,509055,55.5,19825,4998,211,26160,15874,-7,34929,24802
Newfoundland and Labrador_2008,27156,72933,7542,4905,511581,55.7,20178,5698,-56,25801,16737,-4,34404,25856
Newfoundland and Labrador_2009,27129,71493,7722,4936,516751,56,21106,5488,-210,20823,15991,-43,30954,26564
Newfoundland and Labrador_2010,27462,70398,7635,4888,522009,55.8,21779,6522,266,21819,17588,-50,32639,28288
Newfoundland and Labrador_2011,28500,69600,7605,4501,524999,56.6,22169,8073,200,22208,18971,-46,33531,30241
Newfoundland and Labrador_2012,28188,68688,7584,4409,526345,57.5,22448,9825,154,20300,20620,-44,32064,32273
Newfoundland and Labrador_2013,28500,68313,7380,4548,527114,58.4,22730,11402,117,20972,21584,45,33748,34130
Newfoundland and Labrador_2014,27207,68403,7650,4593,528159,59.6,22869,11527,155,19345,20539,-4,33355,34394
Newfoundland and Labrador_2015,26742,68250,6948,4488,528117,60.8,23200,11289,102,17770,19589,-3,32965,34483
Newfoundland and Labrador_2016,26979,67764,7161,4475,529426,62.2,23285,12207,65,18675,20892,-3,33461,35509
Newfoundland and Labrador_2017,25968,67329,7344.6,4105,528249,63.9,23386,9381,-16,19624,18148,-4,33953,32718
Newfoundland and Labrador_2018,25305,66477,7433.4,4022,525560,65.7,23595,7990,76,20564,18743,3,33065,31521
Newfoundland and Labrador_2019,24795,65343,7433.4,3767,523427,67.5,23906,8400,90,21528,19110,-4,34391,32247
Newfoundland and Labrador_2020,25083,64758,7498.8,3598,521364,69.1,23193,6603,114,19329,16091,-4,32796,29713
Newfoundland and Labrador_2021,26181,64494,7498.8,3839,520553,70.5,24566,6007,28,18592,15858,-3,33006,30460
Northwestern_1991,134046.1671,418497.9615,29540.6,29657.70313,2649933.018,62.91282051,97369.85013,27498.97416,354.2299742,65627.44186,61717.2584,-2.170542636,129645,124936.1731
Northwestern_1992,134046.1671,418497.9615,29540.6,29657.70313,2649933.018,62.91282051,97369.85013,27498.97416,354.2299742,65627.44186,61717.2584,-2.170542636,129645,124936.1731
Northwestern_1993,1455,7850.4,574.2,536,34773.2,63.16,1985.2,512.6,8.2,974.2,1241.2,-7.8,2255.8,2501
Northwestern_1994,1899,7897.2,567.6,455.8,34119.8,73.86,1864,449.4,-32.6,583.8,1084,-7.6,1793.6,2316.8
Northwestern_1995,2253,8001.6,604.2,551.4,40668.8,58.46,2635.8,683.8,1.2,1329.8,1869.2,2.2,2789.2,3323.8
Northwestern_1996,1398,8556.6,593.4,466.2,32581.8,68.4,2070.2,681.6,-2.6,1007.8,1368,-1.8,2399.6,2755.8
Northwestern_1997,1329,8556.6,594.6,492.6,34719.2,70.44,2042.6,668.6,0.8,1022,1357.2,-4,2391.2,2715.2
Northwestern_1998,1464,17562,1673.4,467,145570.8,67.18,1774.2,409.2,33.6,670.6,1030.8,-7.2,1899.8,2181.6
Northwestern_1999,1656,18066,1615.2,1024.2,138226,65.66,2758,753,0,1453,1635,-32,3369,3493
Northwestern_2000,1491,9753,657.6,773,39747.8,68.38,2815,1095,28,1792,2117,-11,3594,3908
Northwestern_2001,1428,9672,675.6,704,40845,62.8,2973,1757,-25,2145,2485,-28,4350,4757
Northwestern_2002,1554,9708,645,709,41699,61,3009,1646,-7,2446,2467,-3,4654,4676
Northwestern_2003,1482,9747,681,730,42600,59.4,3107,1041,66,3386,2399,-5,5265,4160
Northwestern_2004,1419,9720,678,735,43306,58,3157,1554,40,3496,2867,-7,5401,4725
Northwestern_2005,1491,9606,669,771,43400,57.7,3177,1818,8,3393,3035,-14,5346,5011
Northwestern_2006,2634,9570,672,758,43179,56.9,3199,2116,-42,3393,3278,-13,5352,5335
Northwestern_2007,1029,9399,714,806,43372,55.9,3238,2192,-36,3958,3466,-6,5841,5451
Northwestern_2008,999,9126,720,820,43360,55.1,3257,1754,45,3453,3180,1,5293,5024
Northwestern_2009,894,8826,705,804,43156,54.8,3443,1204,-19,3218,3059,0,4722,4647
Northwestern_2010,1041,8634,687,766,43285,54,3440,1292,41,3364,3221,-10,4843,4734
Northwestern_2011,1182,8634,630,751,43504,53.3,3465,1107,140,3080,3333,-10,4408,4571
Northwestern_2012,4062,8577,672,748,43648,52.5,3464,1299,4,3079,3450,-2,4394,4763
Northwestern_2013,3681,8400,672,765,43805,51.7,3512,1398,46,3140,3531,-1,4521,4910
Northwestern_2014,3834,8205,666,753,43884,51.1,3692,1462,7,3368,3749,6,4735,5154
Northwestern_2015,3993,8382,654,761,44237,51.2,3701,1676,49,3211,3823,5,4779,5377
Northwestern_2016,3612,8367,645,720,44649,51.2,3748,1493,48,2970,3538,1,4712,5240
Northwestern_2017,3549,8421,661.8,715,44891,51.3,3818,1068,44,3521,3467,-1,4873,4881
Northwestern_2018,3534,8802,661.8,739,44981,52,3913,1021,17,3553,3459,3,4941,4928
Northwestern_2019,4071,8607,661.8,632,45070,53.1,3989,846,-30,3250,3240,-2,4750,4826
Northwestern_2020,4803,8721,661.8,666,45372,53.6,4082,626,88,2443,3017,2,4265,4694
Northwestern_2021,2307,8700,653.4,628,45504,53.9,4258,689,-55,2730,3176,3,4475,4934
Nova Scotia_1991,42087.6,140188.8,8691,12086,687541.4,64.74,27872,5055,-40,8654,14624,103,26591,32828
Nova Scotia_1992,42087.6,140188.8,8691,11983,687541.4,64.74,28174,4402,40,9182,14322,-83,26927,32381
Nova Scotia_1993,41175,157980,9215.4,11683,853121.4,62.92,28663,4431,40,9433,14869,-150,27073,32888
Nova Scotia_1994,41214,157980,9215.4,11225,853121.4,62.92,28778,4495,-88,9442,15254,192,27040,33074
Nova Scotia_1995,40248,157980,8663.4,10840,770812,63.06,28873,4368,75,9673,15301,123,27365,33021
Nova Scotia_1996,43725,157980,9682.2,10652,936596,60.74,28947,4390,-100,10558,16096,129,27388,33118
Nova Scotia_1997,44076,157980,9682.2,10040,936596,60.74,29383,5371,174,11669,17697,-178,28496,34649
Nova Scotia_1998,44784,162360,9682.2,9685,936596,60.74,30299,5734,-40,11979,18087,-46,29558,35950
Nova Scotia_1999,44604,160011,9682.2,9631,936596,60.74,31259,6844,291,12468,19583,-53,31116,38132
Nova Scotia_2000,45069,158205,9682.2,9151,936596,60.74,31740,6329,224,13650,19846,36,32041,38034
Nova Scotia_2001,46164,155874,9682.2,8929,932494,62,31960,6596,183,14401,20086,-20,33008,38540
Nova Scotia_2002,51867,153450,9591,8684,935179,61.3,33092,6836,36,15338,20916,96,34432,39912
Nova Scotia_2003,50886,150600,9615,8678,937717,60.7,33773,6855,194,15529,21591,72,34803,40603
Nova Scotia_2004,53469,148515,9579,8840,939664,60.1,34314,6879,149,16021,22360,91,35071,41163
Nova Scotia_2005,52575,145395,9708,8674,937926,59.6,35040,7088,218,15813,22736,73,35469,42101
Nova Scotia_2006,52743,142305,9918,8630,937882,59.4,35895,7158,92,15442,22706,-58,35741,43022
Nova Scotia_2007,52266,142725,9972,9021,935115,59.3,37065,7401,79,16308,24604,-19,36199,44433
Nova Scotia_2008,50748,139428,10062,9309,935897,59.4,38166,6905,136,15735,23948,-6,36915,45017
