Area_Year,9_Postsecondary enrolments_Canada,"2_Number of students in elementary and secondary schools_Total, school type Total, program type",3_Number of full-time and part-time educators_Canada,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",6_Estimates of population_Canada,7_Dependency ratio_Canada,5_Household spending_Total expenditure,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,8_Canadian government finance statistics for the federal government_Gross operating balance 5 6,8_Canadian government finance statistics for the federal government_Net operating balance 7,8_Canadian government finance statistics for the federal government_Net worth 3 10 11
Canada_1991,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03090519510641676,0.31721056607309117,0.0,0.0,0.17659777424483303,0.0,0.0,0.9544563710415416,0.9913475011676786,0.9999999999999999
Canada_1992,0.0,0.0,0.0,0.9361665382469377,0.0,0.0,0.0,0.01328848758792911,0.008568004682995789,0.3042752659963811,0.04153502105003459,0.023524054586968934,0.0,0.009251100051603123,0.004587992893632986,0.9544563710415416,0.9913475011676786,0.9999999999999999
Canada_1993,0.6206867497575321,0.0,0.0,0.8032521189255251,0.0,0.0,0.0,0.02594629405235027,0.0,0.5085230100777055,0.106331950462214,0.05961107271376237,0.3790143084260731,0.03684031738374616,0.012129984224454993,0.9544563710415416,0.9913475011676786,0.9999999999999999
Canada_1994,0.6146298597761511,0.0,0.0,0.7654568642559179,0.0,0.0,0.0,0.043529707986166066,0.04884839537443719,0.6070163316215093,0.19155929424685447,0.10261610330725562,0.6471224165341811,0.08468139103795469,0.03772239648220088,0.9544563710415416,0.9913475011676786,0.9999999999999999
Canada_1995,0.608913661270248,0.0,0.0,0.6650902037888251,0.0,0.0,0.0,0.05731844312551515,0.038231580032471735,0.8076276694793674,0.25807922271198114,0.13508025045887534,0.5074721780604133,0.11464608560366618,0.045567320663752464,0.9544563710415416,0.9913475011676786,0.9999999999999999
Canada_1996,0.6069175938756128,0.0,0.0,0.5079177405212958,0.0,0.0,0.0,0.0743556097330682,0.08252951723173108,0.5871185726080821,0.3048270122593856,0.1669203054914699,0.35694753577106514,0.13314107855507173,0.06957388520710939,0.9544563710415416,0.9913475011676786,0.9999999999999999
Canada_1997,0.6017769991125537,0.0,0.0,0.27793129101681835,0.0,0.0,0.0,0.11111548243474378,0.1773316496147206,0.7895627528941929,0.37905751781266095,0.2567609078214859,0.9116057233704291,0.1828214173488636,0.12121644932290476,0.9544563710415416,0.9913475011676786,0.9999999999999999
Canada_1998,0.6012439818041446,0.9340457572447575,0.0,0.18983978531763945,0.0,0.0,0.0,0.13922830535618957,0.20665007492056953,0.7026813372137282,0.46830386631664755,0.2946661215324761,0.70181240063593,0.2299814151578894,0.15000451519686264,0.9544563710415416,0.9913475011676786,0.9999999999999999
Canada_1999,0.6050561545640294,0.9349289865166613,0.0,0.12232643409410926,0.0,0.0,0.0,0.17893065049734225,0.254667348989953,0.7070614207163896,0.5795137629594428,0.355354483241991,1.0,0.294909444540006,0.19228726051027245,0.9544563710415416,0.9913475011676786,0.9999999999999999
Canada_2000,0.6153744355007844,0.9376320764578824,0.0,0.0,0.0,0.0,0.0,0.22502242489023616,0.30450609488957037,0.8921492273368741,0.6822456629425028,0.4244469970569244,0.8493481717011129,0.3633843535617265,0.23990208473089425,0.9544563710415416,0.9913475011676786,0.9999999999999999
