Area_Year,9_Postsecondary enrolments,"2_Number of students in elementary and secondary schools_Total, school type Total, program type",3_Number of full-time and part-time educators,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",6_Estimates of population,7_Dependency ratio,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand
British Columbia_2005,2.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,4.0,2.0,2.0
British Columbia_2006,3.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0
British Columbia_2007,3.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,4.0,2.0,2.0
British Columbia_2008,3.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0
British Columbia_2009,3.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0
British Columbia_2010,3.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0
British Columbia_2011,3.0,5.0,4.0,3.0,4.0,2.0,3.0,2.0,5.0,2.0,2.0,5.0,3.0,2.0
British Columbia_2012,3.0,5.0,4.0,3.0,4.0,2.0,3.0,2.0,5.0,2.0,2.0,5.0,3.0,2.0
British Columbia_2013,3.0,5.0,4.0,3.0,4.0,2.0,3.0,2.0,5.0,2.0,2.0,6.0,3.0,2.0
British Columbia_2014,3.0,5.0,4.0,3.0,4.0,2.0,3.0,2.0,5.0,2.0,3.0,5.0,3.0,2.0
British Columbia_2015,3.0,5.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,5.0,3.0,2.0
British Columbia_2016,3.0,5.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,6.0,3.0,3.0
British Columbia_2017,3.0,5.0,0.0,3.0,4.0,3.0,3.0,3.0,5.0,2.0,3.0,5.0,3.0,3.0
British Columbia_2018,3.0,5.0,0.0,3.0,4.0,3.0,3.0,3.0,6.0,2.0,3.0,5.0,3.0,3.0
British Columbia_2019,3.0,5.0,0.0,3.0,4.0,3.0,3.0,3.0,6.0,2.0,3.0,6.0,3.0,3.0
British Columbia_2020,3.0,5.0,0.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,5.0,3.0,3.0
British Columbia_2021,3.0,5.0,0.0,3.0,4.0,3.0,4.0,4.0,5.0,2.0,3.0,5.0,3.0,3.0
Manitoba_1991,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0
Manitoba_1992,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0
Manitoba_1993,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,1.0,0.0
Manitoba_1994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,1.0,0.0
Manitoba_1995,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,1.0,0.0
Manitoba_1996,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,1.0,0.0
Manitoba_1997,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,6.0,1.0,0.0
Manitoba_1998,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,6.0,1.0,0.0
Manitoba_1999,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,5.0,1.0,0.0
Manitoba_2000,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,6.0,1.0,0.0
Manitoba_2001,0.0,3.0,0.0,2.0,2.0,5.0,0.0,0.0,4.0,1.0,1.0,6.0,1.0,0.0
Manitoba_2002,0.0,3.0,3.0,2.0,2.0,5.0,0.0,0.0,4.0,1.0,1.0,5.0,1.0,0.0
Manitoba_2003,0.0,3.0,3.0,2.0,2.0,5.0,0.0,0.0,5.0,1.0,1.0,5.0,1.0,0.0
Manitoba_2004,0.0,3.0,3.0,2.0,2.0,4.0,0.0,0.0,4.0,1.0,1.0,5.0,1.0,0.0
Manitoba_2005,0.0,3.0,3.0,2.0,2.0,4.0,0.0,0.0,4.0,1.0,1.0,5.0,1.0,0.0
Manitoba_2006,0.0,3.0,3.0,2.0,2.0,4.0,0.0,0.0,5.0,1.0,1.0,5.0,1.0,0.0
Manitoba_2007,0.0,3.0,3.0,2.0,2.0,4.0,0.0,0.0,4.0,1.0,1.0,5.0,1.0,0.0
Manitoba_2008,0.0,3.0,3.0,2.0,2.0,4.0,0.0,0.0,5.0,1.0,1.0,5.0,1.0,0.0
Manitoba_2009,0.0,3.0,3.0,2.0,2.0,4.0,0.0,0.0,4.0,1.0,1.0,5.0,1.0,0.0
Manitoba_2010,0.0,3.0,3.0,2.0,2.0,4.0,0.0,0.0,4.0,1.0,1.0,5.0,1.0,0.0
Manitoba_2011,0.0,3.0,2.0,2.0,2.0,4.0,0.0,0.0,4.0,1.0,1.0,5.0,1.0,0.0
Manitoba_2012,0.0,3.0,3.0,2.0,2.0,4.0,0.0,0.0,5.0,1.0,1.0,5.0,1.0,0.0
Manitoba_2013,0.0,3.0,3.0,2.0,2.0,4.0,0.0,0.0,5.0,1.0,1.0,5.0,1.0,0.0
Manitoba_2014,0.0,3.0,3.0,2.0,2.0,4.0,0.0,0.0,4.0,1.0,1.0,5.0,1.0,0.0
Manitoba_2015,0.0,3.0,3.0,2.0,2.0,4.0,0.0,0.0,4.0,1.0,1.0,5.0,1.0,0.0
Manitoba_2016,0.0,3.0,3.0,2.0,2.0,4.0,0.0,0.0,4.0,1.0,1.0,5.0,1.0,0.0
Manitoba_2017,0.0,3.0,0.0,2.0,2.0,4.0,0.0,0.0,4.0,1.0,1.0,5.0,1.0,0.0
Manitoba_2018,0.0,3.0,0.0,2.0,2.0,5.0,0.0,0.0,4.0,1.0,1.0,5.0,1.0,0.0
Manitoba_2019,0.0,3.0,0.0,2.0,2.0,5.0,0.0,0.0,5.0,1.0,1.0,5.0,1.0,0.0
Manitoba_2020,0.0,3.0,0.0,2.0,2.0,5.0,0.0,0.0,4.0,1.0,1.0,5.0,1.0,0.0
Manitoba_2021,0.0,3.0,0.0,2.0,2.0,5.0,0.0,0.0,3.0,1.0,1.0,5.0,1.0,0.0
New Brunswick_1991,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0
New Brunswick_1992,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,0.0,0.0
New Brunswick_1993,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,0.0,0.0
New Brunswick_1994,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,0.0,0.0
New Brunswick_1995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,0.0,0.0
New Brunswick_1996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,0.0,0.0
New Brunswick_1997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,0.0,0.0
New Brunswick_1998,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,0.0,0.0
New Brunswick_1999,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2000,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2001,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2002,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2003,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2004,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2005,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2006,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2007,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2008,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2009,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2010,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2011,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2012,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2013,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2014,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2015,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2016,0.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2017,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2018,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2019,0.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2020,0.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0
New Brunswick_2021,0.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,3.0,1.0,1.0,5.0,1.0,0.0
Newfoundland and Labrador_1991,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0
Newfoundland and Labrador_1992,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0
Newfoundland and Labrador_1993,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0
Newfoundland and Labrador_1994,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0
Newfoundland and Labrador_1995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0
Newfoundland and Labrador_1996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0
Newfoundland and Labrador_1997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0
Newfoundland and Labrador_1998,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0
Newfoundland and Labrador_1999,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0
