Area_Year,9_Postsecondary enrolments,"2_Number of students in elementary and secondary schools_Total, school type Total, program type",3_Number of full-time and part-time educators,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",6_Estimates of population,7_Dependency ratio,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand
Alberta_1991,-0.6221832232985396,-0.5685697807893146,-0.4180056064505766,0.3633727447454523,-0.5304899089898147,-1.4112910182200713,-0.0646121504475364,0.0090751363480146,0.2142641019339898,0.0655905721253709,-0.2027133709067493,2.8459755093701893,0.1429739401605796,-0.0410809227257696
Alberta_1992,-0.6221832232985396,-0.5685697807893146,-0.4180056064505766,0.3442081414643566,-0.5304899089898147,-1.4112910182200713,-0.058600031871888,-0.0023602330174736,-1.138099767751177,0.1237210275084803,-0.1975891544819751,-0.4374354219377825,0.1485303752128892,-0.0386406616272186
Alberta_1993,-0.0563143128918107,-0.5685697807893146,-0.4180056064505766,0.3005912917689095,-0.5304899089898147,-1.4112910182200713,-0.0495672968205807,0.0719961386206206,0.2832346592879333,0.1874047275119873,-0.1781845253904264,-0.1446290791458162,0.213812930642474,-0.0156768838366091
Alberta_1994,-0.0619556859080795,-0.5685697807893146,-0.4180056064505766,0.289991180886749,-0.5304899089898147,-1.4112910182200713,-0.0426089610356898,0.1885469055563732,-0.3949758213591778,0.2480249416917662,-0.1535743431054562,4.38391950403479,0.2639430876844107,0.0145271025907389
Alberta_1995,-0.0687283105054472,-0.5685697807893146,-0.4180056064505766,0.2658368298601867,-0.5304899089898147,-1.4112910182200713,-0.034726243823308,0.1852380602538592,0.7119340059781311,0.2997902745859988,-0.1310556777285572,3.1785807725416464,0.2932699518905005,0.0202191267097647
Alberta_1996,-0.0717499430181189,-0.5685697807893146,-0.4180056064505766,0.2396468603503991,-0.5304899089898147,-1.4112910182200713,-0.0213627453912371,0.2346854444546283,-0.3016627143509012,0.389659742107521,-0.0886443626482262,1.0010112717780908,0.3169348087782868,0.0414908366631714
Alberta_1997,-0.0525633208071147,-0.5685697807893146,-0.4180056064505766,0.2176522508853074,-0.5304899089898147,-1.4112910182200713,0.0173011454971948,0.4851782692361471,0.9817305979803218,0.4465777932070348,0.0164195033672128,1.5581961570909586,0.3858012648166112,0.1256165359026048
Alberta_1998,-0.0389138773878045,0.3655365318891206,-0.4180056064505766,0.2416576542179752,-0.5304899089898147,-1.4112910182200713,0.0467430578924709,0.6125026364768853,-0.2124066989516802,0.5173843683766659,0.0538692755600639,0.1368061435377242,0.4388541066960627,0.176407347682587
Alberta_1999,-0.008861286042562,0.3849943015584395,-0.4180056064505766,0.2495518819943851,-0.5304899089898147,-1.4112910182200713,0.0720288931609974,0.5502698740272022,0.442813595910783,0.5488852296736582,0.0805709747531052,0.6456637683897821,0.4528729923330397,0.1838374823010524
Alberta_2000,0.0117394006448156,0.3902851723694963,-0.4180056064505766,0.2209787493822851,-0.5304899089898147,-1.4112910182200713,0.1131966203569633,0.7589388941849442,0.632820719601549,0.6590408188689135,0.1931526820992221,0.5376381273597364,0.5233063630561154,0.2608438348921189
