Area_Year,9_Postsecondary enrolments,"2_Number of students in elementary and secondary schools_Public school Total, program type","2_Number of students in elementary and secondary schools_Priviate school Total, program type","2_Number of students in elementary and secondary schools_Home-schooling Total, program type",3_Number of full-time and part-time educators,"1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,6_Estimates of population,7_Dependency ratio,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Residential structures,4_Canada_gdp_yearly_Non-profit institutions serving households gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand
Alberta_1991,0.0,0.0,0.0,0.0,0.0,0.2790117506057684,0.1792717086834734,0.0,0.0,0.0801903419104688,0.0916441272946999,0.1578309902118229,0.1207260593824411,0.0743765173250938,0.1740396394690276,0.1904733762779977,0.1005456529647144,0.1165393592191809,0.1015009702088802,0.0935720097640358,0.1290781429695539,0.5173481676893961,0.6855990068280571,0.1717458181119015,0.0244016249451032,0.4300550442934549,0.1039258932509925,0.0491006868214868,0.0615198814250947,0.247154197558601,0.2933785008074999,0.7911292147544693,0.1864326010717113,0.1396753917110015
Alberta_1992,0.0,0.0,0.0,0.0,0.0,0.2741004663765926,0.1288515406162464,0.0,0.0,0.0792610632229948,0.0937446049375611,0.1582436906182431,0.122791267560049,0.0792319576252483,0.1751226527315015,0.1587228887181608,0.1157511822480902,0.1031720772331848,0.1175522200662025,0.1098454027664768,0.1248411113128745,0.4544359694901646,0.5243637492240845,0.2006969813497404,0.029822683355292,0.4248516384277974,0.1014360633240209,0.0504461318455558,0.0617943603725594,0.2383733992361267,0.3037184385709221,0.5297578637700837,0.187673582241063,0.1402002312264657
Alberta_1993,0.1256541676123405,0.0,0.0,0.0,0.0,0.2626950835048591,0.1120448179271708,0.0,0.0,0.0826417149998397,0.0965644242389365,0.1612851131786006,0.1266134438887561,0.0768778047524461,0.1717730051546697,0.1975799302641687,0.1172790105492906,0.1467218332272438,0.1193499600502225,0.1220504475183075,0.1186974154106894,0.4909674829385789,0.819522036002483,0.214929821188233,0.0301657883179622,0.4750150511739915,0.1074645885409008,0.0550343410743418,0.0663324123039762,0.2368943308619786,0.3079528892740378,0.5530663045937996,0.2022538699997766,0.1451391691196312
Alberta_1994,0.1244014710645827,0.0,0.0,0.0,0.0,0.2599137594122091,0.1120448179271708,0.0,0.0,0.0865190502130932,0.0991828278759279,0.1653941737468711,0.132423768388444,0.0741558154932686,0.1619785409503293,0.2661781218604101,0.122480902146235,0.2018883938043709,0.118308412281703,0.1106590724165988,0.1069547848193208,0.4832253254573608,0.6364059590316574,0.2355604691405499,0.0332537329819938,0.5051819041885267,0.1070038719796108,0.0548168140345223,0.0734505663415616,0.2754437205122444,0.3077362429589947,0.9135551029644716,0.2134500021096679,0.1516352959525465
Alberta_1995,0.1228975741536861,0.0,0.0,0.0,0.0,0.2536150699564888,0.0952380952380952,0.0,0.0,0.087191976159195,0.1039304828221212,0.1661478005759862,0.1363923587297428,0.080041197675274,0.1589070443206903,0.2656610129424975,0.1305565660240087,0.2230002121790791,0.1042831868508161,0.1415785191212367,0.0967253798196235,0.5422951195733211,0.728429546865301,0.2597337050567199,0.0365749890206412,0.5013761073363722,0.1070430818997206,0.0586396503454248,0.0748595582718805,0.2849546918295514,0.3141568519320912,0.8176057931658747,0.2199999007215064,0.1528595088789477
Alberta_1996,0.1222266047626707,0.0,0.0,0.0,0.0,0.2468343711732367,0.0560224089635854,0.0,0.0,0.0929919569327394,0.1072682281176267,0.1682830765918123,0.1399872080388998,0.0937982785257117,0.1571493670586425,0.2576236629040837,0.1561295016369589,0.2231593464884362,0.1196781189361945,0.1350691619202604,0.1001755341686338,0.497964099329013,0.6021104903786468,0.2768794462603345,0.0422019104084321,0.6011008858690977,0.1051021908542861,0.0700678764929807,0.0819411151164705,0.2757807234329364,0.323059045968409,0.6442634080108622,0.2252852395217754,0.1574345250326168
Alberta_1997,0.1264870951322217,0.0,0.0,0.0,0.0,0.2409330137307521,0.1120448179271708,0.0,0.0,0.1092062678245265,0.1134545663808482,0.1746978763872565,0.1496813568725966,0.1142499816081807,0.1576760784267309,0.3386767921517641,0.1978173881411422,0.3000212179079142,0.1517235475402351,0.1676159479251424,0.097905695781127,0.5805471124620061,0.6454065797641217,0.2975100942126514,0.0494620114185331,0.5680528081190332,0.1215605548203695,0.0926705472416362,0.0885103112591264,0.3012431663296637,0.344920628668216,0.6886173342385156,0.2406659601347209,0.1755278721966266
Alberta_1998,0.1295180258295671,0.245874023414946,0.0,0.0,0.0,0.24721867590735,0.1176470588235294,0.0,0.0,0.1137244848912103,0.1212522299591414,0.1825302123612743,0.1537655372238362,0.12440226587214,0.1665118095790451,0.3136339459842799,0.2660603855947617,0.3932208784213876,0.1609119963474489,0.1220504475183075,0.1097693844198293,0.4875265240580375,0.6800124146492862,0.3239665448952125,0.0662878787878787,0.5106003268254924,0.1396069205508993,0.1038167938931297,0.085875313363465,0.2896540103347562,0.3619175168393272,0.575469563249604,0.2525148483396912,0.1864517135267482
Alberta_1999,0.1361913617924247,0.2509942529638208,0.0,0.0,0.0,0.2492053359735285,0.1540616246498599,0.0,0.0,0.117778062614157,0.1242159175922196,0.1880657808560842,0.1595527437215359,0.1331567718678731,0.1721221733649754,0.3071035990780686,0.252091669698072,0.3152981116061956,0.15419187307385,0.1407648494711147,0.1245384661945402,0.5211905717726674,0.7408441961514587,0.3243174389540473,0.0751537110232762,0.5417347553109142,0.1435279125618781,0.1061773651030232,0.0848688905560943,0.3071219950572905,0.3815732461496041,0.6159764652636344,0.2556458438299657,0.188049750825013
Alberta_2000,0.1407658526158992,0.252386899972378,0.0,0.0,0.0,0.2417341913967848,0.1428571428571428,0.0,0.0,0.1310763610728361,0.1330494331587731,0.1946779591067727,0.1662415522967735,0.1441918634591333,0.1825025299899984,0.3640594527510195,0.2981447799199709,0.4063229365584553,0.1578729597077959,0.1440195280716029,0.1440590763270988,0.5558869071514596,0.6441651148355059,0.3569938473370506,0.0722579051383399,0.5887374215188784,0.1583002499632406,0.1268384056073637,0.0908342330143278,0.3406350632816595,0.4245479970063418,0.607377234668477,0.2713765211326683,0.204611903459237
Alberta_2001,0.1579268037398004,0.2538793187069215,0.0,0.0,0.0,0.245707511529142,0.0812324929971988,0.206262772508567,0.6673773987206824,0.1417149998397795,0.1439546527018473,0.1970913593095342,0.1715394277523907,0.1558154932685941,0.1902670840903576,0.3921458542639324,0.3305565660240087,0.4561319753872268,0.1758218239926949,0.1643612693246542,0.1807396646692088,0.4234673395652922,0.5380198634388579,0.3604787540857527,0.0797513175230566,0.5436269028984261,0.167847865509974,0.1281838506314326,0.0950795074017822,0.3715644424473901,0.4330168984125733,0.5376782077393075,0.2758353664741491,0.2174333367167327
Alberta_2002,0.164322497196031,0.2531809166250181,0.0,0.0,0.2049972578181668,0.2522732602068732,0.0644257703081232,0.2110057703629846,0.6577825159914713,0.1536514243599192,0.1524141106059734,0.2032190631700774,0.1776001972736169,0.1739130434782608,0.196723736928385,0.3663347319898351,0.3393961440523827,0.3671228516868236,0.2073250770459993,0.1960943856794141,0.1896374311482355,0.431438894305213,0.3774053382991931,0.3542059219380888,0.0870937637241985,0.5641825062354864,0.1757780718521785,0.1285907067614655,0.0972387417885048,0.36890586385082,0.4391617757119785,0.5467300294184205,0.2821544425884881,0.2229206328772345
Alberta_2003,0.1747043437831215,0.2560798395522836,0.0,0.0,0.2202650186055563,0.262636460748808,0.0588235294117647,0.2146908492266804,0.6492537313432836,0.1597398019675072,0.1597801691891581,0.2060361920312934,0.1843737718561443,0.1625836827779004,0.2038846442922834,0.4030199160806099,0.4018552200800291,0.3824527901548907,0.1994064604497203,0.1757526444263629,0.1717813691665153,0.5233124964156678,0.8870266914959652,0.3450682561045953,0.0872310057092665,0.624473208910295,0.1749154536097632,0.1392535599911377,0.1063697414408314,0.3999475773234479,0.4512348839957458,0.6582937316134873,0.2919222053724556,0.232632639571414
Alberta_2004,0.1763999462343082,0.2552456370655657,0.0,0.0,0.2322952356802085,0.2652549438524269,0.072829131652661,0.2184411501282486,0.6417910447761195,0.1707789918928445,0.1711169937273407,0.2154744708911637,0.1939870076828826,0.1547855513867432,0.2079207920792079,0.4550410732226227,0.4527100763914151,0.4156588160407383,0.2085806414792832,0.1049633848657445,0.1837661158525513,0.5032402362791765,0.7689323401613904,0.3817198615650836,0.0913757136583223,0.6026920099767782,0.1918541390971915,0.1535781183911055,0.1131768193379567,0.4068561371976334,0.4844211604364438,0.6553518895677756,0.3081641669169311,0.2471016232890107
Alberta_2005,0.1901234187047316,0.2545028919943352,0.0,0.0,0.2376203758853119,0.2738138662358979,0.0532212885154061,0.2240460636206918,0.6332622601279317,0.1954208991572403,0.1887264775277666,0.2225172930442037,0.2089674729712027,0.1714117560509085,0.2136376817598078,0.5544589563264583,0.5732630047289925,0.5253553999575642,0.235689419016094,0.2620016273393002,0.2141819502451425,0.6159889889315823,0.7402234636871509,0.3860699865410498,0.0872859025032938,0.564333017975402,0.2011664951232661,0.183206106870229,0.1246134421489871,0.4246611248408597,0.5380903612084925,0.5822584295089387,0.3217653205330262,0.2758601055125478
