Area_Year,9_Postsecondary enrolments_Canada,"2_Number of students in elementary and secondary schools_Total, school type Total, program type",3_Number of full-time and part-time educators_Canada,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",6_Estimates of population_Canada,7_Dependency ratio_Canada,5_Household spending_Total expenditure,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,8_Canadian government finance statistics for the federal government_Gross operating balance 5 6,8_Canadian government finance statistics for the federal government_Net operating balance 7,8_Canadian government finance statistics for the federal government_Net worth 3 10 11
Canada_1991,-1.1818789901992672,-0.4822018333860401,-0.9229881568015538,1.738418854958068,-0.8470938120321299,-0.1741372461507672,-0.4873371677420157,-1.4415380882210298,-1.5031837671356156,-1.5598678775592378,-2.299610892360603,-1.7752625730018416,-1.2781252341598497,-1.694580584796832,-1.4700774656328113,0.0973674401179167,0.1088101883407402,0.4342044322061024
Canada_1992,-1.1818789901992672,-0.4822018333860401,-0.9229881568015538,1.5095996918854229,-0.8470938120321299,-0.1741372461507672,-0.4873371677420157,-1.4009479752325906,-1.5677681556283505,-1.6180610647701283,-2.1440014564001766,-1.700330482612059,-2.0179070380172246,-1.6648557563581612,-1.4562524207622376,0.0973674401179167,0.1088101883407402,0.4342044322061024
Canada_1993,-1.1130099221064338,-0.4822018333860401,-0.9229881568015538,1.033151049525003,-0.8470938120321299,-0.1741372461507672,-0.4873371677420157,-1.3622842980325347,-1.5925411612107343,-0.6991935365148734,-1.901242132271018,-1.5853810935015389,-0.4301866379488215,-1.576208487667878,-1.4335260628581543,0.0973674401179167,0.1088101883407402,0.4342044322061024
Canada_1994,-1.1543028915112403,-0.4822018333860401,-0.9229881568015538,0.8976691517223649,-0.8470938120321299,-0.1741372461507672,-0.4873371677420157,-1.3085751943009407,-1.45130389348339,-0.2560928534514161,-1.581941008557679,-1.4483954889267192,0.6929390678713777,-1.422489719222959,-1.356408191054001,0.0973674401179167,0.1088101883407402,0.4342044322061024
Canada_1995,-1.1932731899220816,-0.4822018333860401,-0.9229881568015538,0.5378920909494542,-0.8470938120321299,-0.1741372461507672,-0.4873371677420157,-1.2664570590676851,-1.4820007051057764,0.6464152500605329,-1.332726531547617,-1.3449861723142715,0.107933363416644,-1.3262097741121512,-1.3327690025612051,0.0973674401179167,0.1088101883407402,0.4342044322061024
Canada_1996,-1.2068814195762398,-0.4822018333860401,-0.9229881568015538,-0.0255125954839417,-0.8470938120321299,-0.1741372461507672,-0.4873371677420157,-1.2144164853735344,-1.3539203542974678,-0.3456086751547233,-1.1575876492269537,-1.243564800717912,-0.5226260639259583,-1.2667832746268617,-1.2604297815347694,0.0973674401179167,0.1088101883407402,0.4342044322061024
Canada_1997,-1.241927527880342,-0.4822018333860401,-0.9229881568015538,-0.8499282772973938,-0.8470938120321299,-0.1741372461507672,-0.4873371677420157,-1.1021322711972708,-1.0798152572955233,0.5651449999267181,-0.8794857774044318,-0.9573920191688328,1.8008801993956207,-1.1071547397301285,-1.104814726611046,0.0973674401179167,0.1088101883407402,0.4342044322061024
Canada_1998,-1.2455613841128357,-0.5321173949428822,-0.9229881568015538,-1.1657034844430154,-0.8470938120321299,-0.1741372461507672,-0.4873371677420157,-1.016260748854728,-0.9950457525344052,0.1742838325894698,-0.5451275996270929,-0.8366510606093621,0.9220396625121204,-0.9556243448341766,-1.018067359805657,0.0973674401179167,0.1088101883407402,0.4342044322061024
Canada_1999,-1.219571819563428,-0.4935537604189791,-0.9229881568015538,-1.4077136793931058,-0.8470938120321299,-0.1741372461507672,-0.4873371677420157,-0.894988657917212,-0.8562115382006469,0.1939889045830171,-0.1284837927308342,-0.6433380503707163,2.171170695384728,-0.7470032593979707,-0.8906563404860414,0.0973674401179167,0.1088101883407402,0.4342044322061024
Canada_2000,-1.149226731516365,-0.3755312085239514,-0.9229881568015538,-1.8462083419473032,-0.8470938120321299,-0.1741372461507672,-0.4873371677420157,-0.7541998497051592,-0.7121108314350981,1.0266599147060704,0.2563975100196686,-0.423254965998611,1.540078475961566,-0.5269856494196297,-0.7471781144695839,0.0973674401179167,0.1088101883407402,0.4342044322061024
Canada_2001,-0.8485344938863546,-0.5432727320191505,-0.9229881568015538,-1.5626249671090922,-1.1237064725681565,0.5354924705575482,-0.4873371677420157,-0.6544254510395436,-0.5680713320095853,-1.2273579595076949,0.1215506228668709,-0.5612879454172623,-0.0471091320262772,-0.4469845790087057,-0.6348624669995112,0.0973674401179167,0.1088101883407402,0.4342044322061024
Canada_2002,-0.6554999299483947,-0.4665340710252307,-1.402746896105326,-1.788491624851768,-0.9726219918371264,0.1553336937495227,-0.4873371677420157,-0.5182114656282146,-0.5368502662138472,-0.8962442564503466,0.1770402329994758,-0.5114773473755004,1.0975946530565963,-0.3096813138767808,-0.5233617724656734,0.0973674401179167,0.1088101883407402,0.4342044322061024
Canada_2003,-0.4661835127225481,-0.5331917819153916,-1.3179693987067016,-1.480907238944127,-0.8461385120637476,-0.2248250830585028,-0.4873371677420157,-0.4074654420238656,-0.371774070136842,0.166301697811335,0.0989330961116123,-0.3961231341065913,1.2654241584329546,-0.2252494624531328,-0.3978062635366503,0.0973674401179167,0.1088101883407402,0.4342044322061024
Canada_2004,-0.1766831776642646,-0.981096852965396,-1.113381126809127,-1.3532828150035046,-0.7140076887301982,-0.5416240637318567,-0.4873371677420157,-0.294921473309917,-0.0909654388066105,0.2219658918251926,0.3473531910614374,-0.1545223537241229,0.4284077998734039,-0.0779653613465528,-0.2421197093348755,0.0973674401179167,0.1088101883407402,0.4342044322061024
Canada_2005,-0.0962138664539909,-1.2679353153281323,-0.7935318566593974,-1.051984408185476,-0.5789943949614174,-0.7950632482705389,-0.4873371677420157,-0.1613808335319874,0.2383965803043267,0.9508954935116292,0.4550462678442212,0.0719810695344304,0.6844143945824198,0.0796307264410337,-0.0580687667791884,0.0973674401179167,0.1088101883407402,0.4342044322061024
Canada_2006,0.351593354938936,-2.7595501819278514,0.01268849427278,-0.4571498263040162,-0.4331465580932493,-0.9851426366745494,-0.4873371677420157,0.0044146641941454,0.4857673756540394,0.7561630173401027,0.4977703925369936,0.2480106721938614,-0.1531347560576907,0.2133484553701533,0.1300152903927887,0.0973674401179167,0.1088101883407402,0.4342044322061024
Canada_2007,0.0998083267060451,-0.3182458095216388,0.3006893306949405,0.1329702712602338,-0.291561623723175,-1.1118622289438926,-0.4873371677420157,0.1791139188846292,0.618382392002404,0.6233381871376086,0.5534069527021892,0.449235841409018,-1.0335736691828707,0.3212850597271536,0.2961046424671493,0.0973674401179167,0.1088101883407402,0.4342044322061024
Canada_2008,0.2114838465933011,0.5802160110637126,0.4940548211837529,0.6822315047420011,-0.1320511175319628,-1.1118622289438926,-0.4873371677420157,0.3289303527729539,0.6886351124202089,0.596783758568764,0.3286564615525471,0.482228148989714,-0.2570292117668648,0.374689865365708,0.4268511378162442,0.4252884002044676,0.4482628545714351,1.3919039033047007
Canada_2009,0.3230657103920908,0.3774083255295878,0.7245768176880625,0.8143799287849962,0.0380092928144064,-1.1118622289438926,-0.4873371677420157,0.3666400560125437,0.1920173836892464,-0.8425821820508066,-0.2834841314547253,0.0213091434960964,-0.8702728964912715,0.2175345399401885,0.3223795858993691,-0.299616220763452,-0.2795229329480685,0.9574192757072456
