Index,MSE
provincial_set_detailed_nega_minmax_discretized: Alberta_education,3.363388549727145
provincial_set_detailed_nega_minmax_discretized: British Columbia_education,26.563051173310356
provincial_set_detailed_nega_minmax_discretized: Manitoba_education,6.943295766644122
provincial_set_detailed_nega_minmax_discretized: New Brunswick_education,0.42821445859669066
provincial_set_detailed_nega_minmax_discretized: Newfoundland and Labrador_education,0.2
provincial_set_detailed_nega_minmax_discretized: Northwestern_education,0.0
provincial_set_detailed_nega_minmax_discretized: Nova Scotia_education,0.20846193167157212
provincial_set_detailed_nega_minmax_discretized: Nunavut_education,0.0
provincial_set_detailed_nega_minmax_discretized: Ontario_education,34.20723579969875
provincial_set_detailed_nega_minmax_discretized: Prince Edward Island_education,0.2
provincial_set_detailed_nega_minmax_discretized: Quebec_education,8.27105869309769
provincial_set_detailed_nega_minmax_discretized: Saskatchewan_education,322.1466510701253
provincial_set_detailed_nega_minmax_discretized: Yukon_education,0.0
provincial_set_detailed_nega_minmax_nondiscretized: Alberta_education,0.04686312224079732
provincial_set_detailed_nega_minmax_nondiscretized: British Columbia_education,0.0754677571917434
provincial_set_detailed_nega_minmax_nondiscretized: Manitoba_education,0.004869605121607381
provincial_set_detailed_nega_minmax_nondiscretized: New Brunswick_education,0.0006642651183895841
provincial_set_detailed_nega_minmax_nondiscretized: Newfoundland and Labrador_education,0.00011402334164521523
provincial_set_detailed_nega_minmax_nondiscretized: Northwestern_education,47378115925668.734
provincial_set_detailed_nega_minmax_nondiscretized: Nova Scotia_education,0.00043440234904674807
provincial_set_detailed_nega_minmax_nondiscretized: Nunavut_education,2212082121720.5513
provincial_set_detailed_nega_minmax_nondiscretized: Ontario_education,0.6185733568879023
provincial_set_detailed_nega_minmax_nondiscretized: Prince Edward Island_education,3.5015749543837624e-05
provincial_set_detailed_nega_minmax_nondiscretized: Quebec_education,0.025161949832095944
provincial_set_detailed_nega_minmax_nondiscretized: Saskatchewan_education,0.003406277278265369
provincial_set_detailed_nega_minmax_nondiscretized: Yukon_education,8.920373679125147e-06
provincial_set_detailed_nega_nonorm_discretized: Alberta_education,3.2708206190251836
provincial_set_detailed_nega_nonorm_discretized: British Columbia_education,19.09830417122014
provincial_set_detailed_nega_nonorm_discretized: Manitoba_education,6.259812863199936
provincial_set_detailed_nega_nonorm_discretized: New Brunswick_education,0.4280953017113102
provincial_set_detailed_nega_nonorm_discretized: Newfoundland and Labrador_education,3.293794443308708
provincial_set_detailed_nega_nonorm_discretized: Northwestern_education,0.0
provincial_set_detailed_nega_nonorm_discretized: Nova Scotia_education,0.206744228608538
provincial_set_detailed_nega_nonorm_discretized: Nunavut_education,0.0
provincial_set_detailed_nega_nonorm_discretized: Ontario_education,34.236298844842906
provincial_set_detailed_nega_nonorm_discretized: Prince Edward Island_education,0.2
provincial_set_detailed_nega_nonorm_discretized: Quebec_education,8.22135542827128
provincial_set_detailed_nega_nonorm_discretized: Saskatchewan_education,109.77308622974627
provincial_set_detailed_nega_nonorm_discretized: Yukon_education,0.0
provincial_set_detailed_nega_nonorm_nondiscretized: Alberta_education,121355739343.55106
provincial_set_detailed_nega_nonorm_nondiscretized: British Columbia_education,19506850109.597954
provincial_set_detailed_nega_nonorm_nondiscretized: Manitoba_education,55235220893.51227
provincial_set_detailed_nega_nonorm_nondiscretized: New Brunswick_education,5716125468.161453
provincial_set_detailed_nega_nonorm_nondiscretized: Newfoundland and Labrador_education,302237674.99469024
provincial_set_detailed_nega_nonorm_nondiscretized: Northwestern_education,6.919112376455805e+21
provincial_set_detailed_nega_nonorm_nondiscretized: Nova Scotia_education,542605656.0540658
provincial_set_detailed_nega_nonorm_nondiscretized: Nunavut_education,2.21890709772493e+21
provincial_set_detailed_nega_nonorm_nondiscretized: Ontario_education,1295296273715.3296
provincial_set_detailed_nega_nonorm_nondiscretized: Prince Edward Island_education,55313366.10529932
provincial_set_detailed_nega_nonorm_nondiscretized: Quebec_education,733818065438.6418
provincial_set_detailed_nega_nonorm_nondiscretized: Saskatchewan_education,1482685819.1764004
provincial_set_detailed_nega_nonorm_nondiscretized: Yukon_education,20965358.293756366
provincial_set_detailed_nega_std_discretized: Alberta_education,2.803581268459921
provincial_set_detailed_nega_std_discretized: British Columbia_education,26.603494103062808
provincial_set_detailed_nega_std_discretized: Manitoba_education,8.663755877019828
provincial_set_detailed_nega_std_discretized: New Brunswick_education,1.2840422087767498
