Area_Year,1_Live births,1_Live births,1_Live births,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,3_Number of full-time and part-time educators,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,6_Estimates of population,7_Dependency ratio,9_Postsecondary enrolments
Northwestern_2006,758.0,758.0,0.0,"9,570","9,573",0.0,0.0,"9,570","9,570",0.0,0.0,,,,,,,,,672.0,"3,199","1,356",647.0,126.0,97.0,426.0,709.0,61.0,"1,786","2,116","1,926",59.0,"1,547","1,400",234.0,316.0,0.0,185.0,-42.0,-42.0,-42.0,0.0,"3,393","2,132","2,047",80.0,"1,256",678,567.0,"3,278",899,790,107.0,"2,371",961,"1,409",-13.0,"5,352","5,335","43,179",56.9,"2,634"
Northwestern_2007,806.0,806.0,0.0,"9,399","9,399",0.0,0.0,"9,333","9,333",0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,0.0,0.0,714.0,"3,238","1,411",679.0,135.0,106.0,439.0,731.0,47.0,"1,781","2,192","1,961",55.0,"1,369",956,424.0,546.0,0.0,228.0,-36.0,-36.0,-36.0,0.0,"3,958","2,648","2,567",79.0,"1,311",635,667.0,"3,466",937,816,119.0,"2,523","1,131","1,392",-6.0,"5,841","5,451","43,372",55.9,"1,029"
Northwestern_2008,820.0,820.0,0.0,"9,126","9,129",0.0,0.0,"9,048","9,048",0.0,0.0,,,,,78.0,78.0,0.0,0.0,720.0,"3,257","1,447",697.0,146.0,107.0,444.0,750.0,49.0,"1,760","1,754","1,524",52.0,728,559,186.0,763.0,7.0,222.0,45.0,45.0,45.0,0.0,"3,453","2,224","2,119",104.0,"1,226",554,672.0,"3,180",862,738,122.0,"2,313",957,"1,356",1.0,"5,293","5,024","43,360",55.1,999
Northwestern_2009,804.0,804.0,0.0,"8,826","8,826",0.0,0.0,"8,763","8,763",0.0,0.0,,,,,63.0,63.0,0.0,0.0,705.0,"3,443","1,438",680.0,139.0,106.0,435.0,758.0,54.0,"1,951","1,204",877,71.0,522,384,144.0,287.0,1.0,325.0,-19.0,-19.0,-19.0,0.0,"3,218","2,090","2,000",89.0,"1,125",509,617.0,"3,059",754,629,123.0,"2,314",936,"1,377",0.0,"4,722","4,647","43,156",54.8,894
Northwestern_2010,766.0,766.0,0.0,"8,634","8,634",0.0,0.0,"8,565","8,565",0.0,0.0,,,,,72.0,72.0,0.0,0.0,687.0,"3,440","1,465",677.0,137.0,108.0,432.0,789.0,52.0,"1,923","1,292",924,66.0,632,468,170.0,225.0,13.0,355.0,41.0,40.0,40.0,0.0,"3,364","2,173","2,079",93.0,"1,188",544,647.0,"3,221",874,709,164.0,"2,346",954,"1,391",-10.0,"4,843","4,734","43,285",54.0,"1,041"
Northwestern_2011,751.0,751.0,0.0,"8,634","8,634",,,"8,577","8,577",,,,,,,60.0,57.0,,,630.0,"3,465","1,487",689.0,141.0,106.0,442.0,797.0,54.0,"1,924","1,107",818,62.0,577,358,219.0,179.0,20.0,271.0,140.0,139.0,139.0,0.0,"3,080","2,005","1,918",86.0,"1,072",405,671.0,"3,333","1,049",893,157.0,"2,288",919,"1,368",-10.0,"4,408","4,571","43,504",53.3,"1,182"
Northwestern_2012,748.0,747.0,1.0,"8,577","8,577",,,"8,511","8,511",,,,,,,63.0,63.0,,,672.0,"3,464","1,504",697.0,157.0,110.0,430.0,807.0,53.0,"1,907","1,299","1,050",70.0,720,438,282.0,260.0,19.0,230.0,4.0,1.0,1.0,0.0,"3,079","1,899","1,807",92.0,"1,180",492,688.0,"3,450","1,040",863,177.0,"2,410","1,017","1,393",-2.0,"4,394","4,763","43,648",52.5,"4,062"
Northwestern_2013,765.0,765.0,0.0,"8,400","8,400",,,"8,331","8,328",,,,,,,69.0,72.0,,,672.0,"3,512","1,532",711.0,158.0,115.0,438.0,821.0,53.0,"1,927","1,398","1,045",73.0,793,533,262.0,179.0,15.0,336.0,46.0,46.0,46.0,0.0,"3,140","1,834","1,737",96.0,"1,308",530,778.0,"3,531","1,348","1,146",203.0,"2,188",745,"1,442",-1.0,"4,521","4,910","43,805",51.7,"3,681"
Northwestern_2014,753.0,752.0,1.0,"8,205","8,205",,,"8,175","8,172",,,,,,,30.0,30.0,,,666.0,"3,692","1,553",722.0,160.0,117.0,445.0,831.0,59.0,"2,080","1,462","1,108",83.0,842,616,226.0,183.0,17.0,339.0,7.0,11.0,11.0,0.0,"3,368","2,069","1,965",103.0,"1,296",494,801.0,"3,749","1,293","1,064",229.0,"2,460",787,"1,674",6.0,"4,735","5,154","43,884",51.1,"3,834"
Northwestern_2015,761.0,761.0,0.0,"8,382","8,382",,,"8,316","8,319",,,,,,,66.0,66.0,,,654.0,"3,701","1,580",732.0,160.0,119.0,453.0,848.0,61.0,"2,060","1,676","1,317",83.0,"1,081",812,268.0,153.0,12.0,348.0,49.0,49.0,49.0,0.0,"3,211","1,974","1,855",119.0,"1,232",511,728.0,"3,823","1,286","1,048",238.0,"2,544",782,"1,761",5.0,"4,779","5,377","44,237",51.2,"3,993"
Northwestern_2016,720.0,720.0,0.0,"8,367","8,367",,,"8,298","8,301",,,,,,,66.0,66.0,,,645.0,"3,748","1,593",725.0,161.0,114.0,450.0,867.0,71.0,"2,085","1,493","1,125",100.0,913,705,201.0,112.0,10.0,359.0,48.0,46.0,46.0,0.0,"2,970","1,920","1,828",95.0,"1,030",459,593.0,"3,538","1,163",969,192.0,"2,387",740,"1,646",1.0,"4,712","5,240","44,649",51.2,"3,612"
Northwestern_2017,715.0,715.0,0.0,"8,421","8,421",,,"8,337","8,337",,,,,,,84.0,84.0,,,,"3,818","1,632",744.0,169.0,117.0,458.0,887.0,74.0,"2,114","1,068",731,75.0,547,357,180.0,107.0,10.0,328.0,44.0,41.0,41.0,0.0,"3,521","2,729","2,636",105.0,808,106,617.0,"3,467","1,157",984,170.0,"2,319",750,"1,574",-1.0,"4,873","4,881","44,891",51.3,"3,549"
Northwestern_2018,739.0,739.0,0.0,"8,802","8,799",,,"8,733","8,733",,,,,,,69.0,69.0,,,,"3,913","1,659",759.0,173.0,121.0,464.0,899.0,74.0,"2,182","1,021",679,75.0,477,348,121.0,123.0,8.0,335.0,17.0,18.0,18.0,0.0,"3,553","2,711","2,620",103.0,855,150,630.0,"3,459","1,175",979,192.0,"2,291",721,"1,573",3.0,"4,941","4,928","44,981",52.0,"3,534"
Northwestern_2019,632.0,632.0,0.0,"8,607","8,604",,,"8,493","8,493",,,,,,,111.0,111.0,,,,"3,989","1,665",767.0,178.0,122.0,466.0,897.0,84.0,"2,243",846,549,56.0,373,216,150.0,117.0,7.0,291.0,-30.0,-31.0,-31.0,,"3,250","2,141","2,047",99.0,"1,103",408,679.0,"3,240","1,122",927,190.0,"2,121",622,"1,499",-2.0,"4,750","4,826","45,070",53.1,"4,071"
Northwestern_2020,666.0,666.0,0.0,"8,721","8,721",,,"8,568","8,568",,,,,,,153.0,153.0,,,,"4,082","1,650",821.0,185.0,138.0,497.0,830.0,88.0,"2,344",626,363,77.0,211,129,77.0,69.0,8.0,257.0,88.0,90.0,90.0,,"2,443","1,596","1,525",75.0,842,344,499.0,"3,017","1,086",922,161.0,"1,925",671,"1,267",2.0,"4,265","4,694","45,372",53.6,"4,803"
Northwestern_2021,628.0,628.0,0.0,"8,700","8,703",,,"8,520","8,520",,,,,,,180.0,180.0,,,,"4,258","1,719",854.0,193.0,155.0,506.0,865.0,84.0,"2,454",689,401,88.0,201,125,72.0,104.0,8.0,283.0,-55.0,-60.0,-60.0,,"2,730","1,766","1,695",76.0,958,402,564.0,"3,176","1,146",943,199.0,"2,024",585,"1,442",3.0,"4,475","4,934","45,504",53.9,"2,307"
