Area_Year,1_Live births,1_Live births,1_Live births,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,3_Number of full-time and part-time educators,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,6_Estimates of population,7_Dependency ratio,9_Postsecondary enrolments
Quebec_2002,"71,509","71,468",41,"1,244,691","1,002,975","146,784","94,929","1,244,688","1,002,972","146,787","94,932",,,,,,,,,"93,084","236,132","161,058","82,157","21,194","10,684","51,093","78,826","5,287","70,122","55,549","44,124","19,203","18,298","9,664","8,813","6,564",314,"11,064","-1,833","-1,819","-1,785",17,"160,746","103,611","88,514","15,076","57,578","31,413","26,087","144,304","84,521","75,051","9,600","60,479","31,427","28,682",-395,"306,269","291,779","7,441,656",58.3,"439,857"
Quebec_2003,"72,838","72,797",41,"1,244,943","994,971","153,942","96,030","1,244,943","994,971","153,942","96,027",,,,,,,,,"93,360","243,155","165,642","84,582","22,140","11,170","51,917","80,977","5,221","72,652","58,751","47,031","20,868","19,475","10,343","9,348","6,700",286,"11,364",-113,-124,-275,250,"157,201","98,408","83,313","15,116","59,349","32,525","26,729","149,262","87,492","77,431","10,164","62,473","32,561","29,522",-124,"309,948","301,999","7,485,753",57.9,"446,328"
Quebec_2004,"73,033","73,005",28,"1,240,821","983,712","157,839","99,267","1,240,818","983,712","157,839","99,270",,,,,,,,,"93,201","248,092","169,956","85,995","22,421","11,657","52,487","83,919","5,102","73,295","64,907","52,223","23,855","21,889","11,337","10,681","6,556",177,"12,426","1,466","1,469","1,328",160,"160,057","102,305","87,401","14,897","58,302","31,305","26,972","156,624","93,607","83,237","10,529","63,479","31,887","31,303",-587,"317,700","313,041","7,535,590",57.6,"450,885"
Quebec_2005,"75,231","75,201",30,"1,232,664","971,937","158,103","102,621","1,232,664","971,940","158,103","102,621",,,,,,,,,"93,270","252,962","174,528","87,051","22,705","12,145","52,664","87,500","5,324","73,246","66,033","51,959","23,690","21,574","10,284","11,120","6,787",389,"13,649","3,268","3,266","3,188",-36,"163,856","105,071","90,479","14,561","59,352","30,833","28,627","163,584","100,514","89,777","10,953","63,262","30,772","32,326",-587,"322,404","319,040","7,581,476",57.5,"452,574"
Quebec_2006,"80,853","80,828",25,"1,062,324","957,603","46,161","58,563","1,062,324","957,603","46,161","58,563",,,,,,,,,"96,132","259,761","179,717","89,420","23,607","12,773","53,368","90,331","5,442","74,699","67,588","53,854","23,674","23,279","10,917","12,128","6,873",388,"13,282","1,783","1,794","1,831",-136,"166,553","106,014","90,521","15,490","61,086","31,316","29,940","169,052","104,872","93,029","12,005","64,297","30,659","33,561",-545,"326,298","327,400","7,631,966",57.6,"451,404"
Quebec_2007,"83,202","83,176",26,"1,175,469","1,064,667","46,263","64,542","1,046,118","940,395","46,263","59,460","129,204","124,122",0.0,"5,082",147,147,0.0,0.0,"96,222","268,657","186,990","93,100","24,749","13,479","55,138","93,922","5,276","76,425","71,820","57,245","25,041","24,912","11,868","12,837","7,249",304,"14,210","1,441","1,431","1,354",65,"169,634","104,991","89,575","15,415","65,097","35,731","29,287","177,352","111,373","98,860","12,691","66,043","33,049","32,736",16,"334,273","340,490","7,692,916",58.1,"454,776"
Quebec_2008,"87,630","87,594",36,"1,320,495","1,044,321","167,916","108,258","1,188,903","918,267","167,916","102,720","130,803","125,262",,"5,541",789,789,,,"96,144","275,973","193,019","96,944","26,918","14,330","55,769","96,088","5,760","77,176","73,696","56,960","24,152","25,121","11,790","13,090","7,611",408,"16,314","2,034","2,008","2,083",-140,"164,165","101,904","86,866","15,041","62,709","32,688","30,095","175,185","112,404","100,085","12,515","62,756","30,074","32,556",-57,"340,867","349,685","7,761,725",58.6,"463,641"
Quebec_2009,"88,074","88,041",33,"1,319,697","1,023,645","184,407","111,645","1,187,610","897,168","184,308","106,134","131,148","125,538",102.0,"5,508",939,936,,,"96,930","280,220","194,501","97,740","26,795","14,560","56,472","96,774","5,548","80,210","70,604","52,212","23,548","21,784","11,821","10,033","6,884",423,"18,012","-1,696","-1,665","-1,554",-107,"157,867","93,040","76,834","16,212","65,015","34,970","30,046","168,806","106,946","92,938","14,068","61,886","27,775","34,108",-109,"338,180","350,820","7,843,383",59.0,"471,396"
Quebec_2010,"87,045","87,015",30,"1,322,439","1,006,785","198,222","117,435","1,189,632","879,864","197,988","111,780","131,796","125,910",234.0,"5,655","1,011","1,014",,,"97,032","289,303","202,081","101,071","28,378","15,619","57,068","101,018","5,475","81,757","73,918","55,503","25,874","22,402","11,369","10,999","7,260",468,"17,968",168,127,90,45,"158,327","91,510","75,053","16,450","66,882","36,358","30,518","176,659","115,336","99,373","15,965","61,322","26,776","34,547",-252,"344,934","363,224","7,929,222",59.2,"486,285"
Quebec_2011,"87,125","87,098",27,"1,313,169","996,519","197,112","119,541","1,179,801","869,181","196,851","113,769","132,312","126,282",261.0,"5,772","1,056","1,056",,,"97,149","293,985","205,824","102,032","28,435","15,837","57,759","103,793","5,807","82,355","76,625","58,433","25,910","24,778","13,318","11,455","7,761",447,"17,752","1,994","2,005","1,897",105,"157,799","89,491","72,687","16,801","68,309","36,869","31,439","178,900","116,859","100,569","16,290","62,041","27,833","34,204",-152,"351,401","370,612","8,005,090",59.5,"500,988"
Quebec_2012,"87,338","87,320",18,"1,305,009","991,470","191,364","122,175","1,172,142","864,591","191,181","116,370","131,826","125,838",180.0,"5,805","1,038","1,038",,,"97,617","296,814","207,976","101,987","28,358","16,005","57,624","105,989","5,844","82,994","79,305","61,840","26,099","28,282","16,329","11,953","7,459",500,"16,965","1,644","1,474","1,549",-75,"160,283","91,482","74,119","17,363","68,801","36,955","31,846","182,553","120,431","103,696","16,735","62,122","27,512","34,610",-240,"355,254","376,119","8,061,101",60.0,"510,834"
Quebec_2013,"87,165","87,127",38,"1,308,171","989,886","193,068","125,217","1,176,852","864,492","192,870","119,490","130,206","124,281",201.0,"5,727","1,116","1,116",,,"98,112","300,713","212,333","104,409","28,841","16,482","59,086","107,925","5,929","82,476","76,468","59,842","24,295","28,125","16,281","11,844","7,420",455,"16,173","4,107","4,138","4,149",-14,"161,725","92,931","74,723","18,206","68,782","36,182","32,596","183,053","121,483","103,430","18,032","61,582","27,748","33,834",-53,"359,993","377,198","8,110,880",60.7,"519,531"
Quebec_2014,"86,337","86,292",45,"1,313,754","994,455","190,479","128,817","1,183,488","869,892","190,236","123,363","129,087","123,384",246.0,"5,457","1,179","1,182",,,"98,313","305,770","216,093","105,881","29,156","16,881","59,845","110,207","5,815","83,889","71,666","55,913","23,909","24,343","14,669","9,669","7,678",471,"15,281","-1,398","-1,320","-1,314",-6,"170,252","101,236","81,643","19,588","68,835","34,429","34,428","180,611","118,769","101,118","17,630","61,862","25,422","36,517",96,"365,719","377,481","8,150,183",61.6,"528,099"
Quebec_2015,"85,348","85,314",34,"1,316,289","1,003,119","183,006","130,167","1,187,103","879,048","182,760","125,298","127,911","122,793",246.0,"4,869","1,275","1,275",,,"99,243","308,762","219,546","107,873","30,023","17,504","60,349","111,679","5,925","83,374","70,238","54,009","23,837","23,404","13,769","9,620","6,810",416,"15,802",373,327,245,81,"173,765","104,214","84,444","19,752","69,306","35,320","33,981","183,955","122,764","103,891","18,842","61,104","23,352","37,934",-21,"368,982","379,031","8,175,272",62.5,"534,768"
Quebec_2016,"84,810","84,768",42,"1,325,913","1,015,254","180,960","129,699","1,196,667","890,886","180,750","125,031","127,320","122,439",213.0,"4,668","1,929","1,929",,,"100,812","315,815","224,361","110,365","31,340","17,768","61,244","114,008","6,406","85,134","69,012","54,397","24,744","22,688","13,605","9,083","7,041",306,"14,319",-936,"-1,042","-1,019",-24,"174,062","105,849","84,531","21,337","67,894","34,633","33,255","183,219","123,720","103,858","19,814","59,353","22,307","37,241",284,"374,899","384,814","8,225,950",63.6,"533,106"
Quebec_2017,"82,417","82,385",32,"1,341,285","1,033,164","179,745","128,376","1,210,680","907,611","179,541","123,528","128,043","122,994",201.0,"4,848","2,565","2,562",,,,"325,272","232,139","113,827","33,026","18,320","62,441","118,306","6,346","86,928","75,403","59,055","26,575","24,174","13,208","10,911","8,378",320,"16,032","5,387","5,676","5,518",157,"176,852","107,354","85,808","21,562","69,181","34,304","34,930","197,037","133,813","113,816","20,012","63,054","24,004","39,243",-175,"385,620","400,741","8,302,063",64.6,"532,176"
Quebec_2018,"82,419","82,367",52,"1,349,298","1,052,802","173,466","123,030","1,216,800","925,818","173,292","117,693","129,195","123,684",177.0,"5,334","3,303","3,300",,,,"333,526","238,449","117,096","34,395","18,985","63,663","121,355","6,662","88,596","79,299","61,543","27,575","25,223","13,489","11,669","8,819",336,"17,416","4,982","4,994","5,020",-15,"183,210","112,456","89,313","23,195","70,365","34,461","35,995","203,730","137,752","116,657","21,079","65,812","26,387","39,543",84,"396,918","412,940","8,401,738",65.7,"534,054"
Quebec_2019,"82,922","82,871",51,"1,367,124","1,074,369","170,907","121,845","1,231,068","944,907","170,751","115,407","131,910","125,316",156.0,"6,438","4,149","4,146",,,,"340,038","242,710","119,467","34,989","19,343","65,084","123,259","6,712","90,768","81,977","64,491","28,559","26,607","14,582","11,965","9,402",323,"17,166","3,176","3,142","3,161",-3,"187,770","113,724","88,079","25,843","73,711","35,983","37,836","204,539","137,514","116,699","20,817","66,878","26,635","40,377",158,"408,168","422,170","8,503,483",66.8,"530,367"
Quebec_2020,"80,520","80,498",22,"1,372,902","1,095,288","158,304","119,310","1,234,263","964,110","158,178","111,975","134,331","126,870",126.0,"7,338","4,308","4,308",,,,"328,701","228,850","118,546","32,922","18,784","66,838","110,678","6,865","92,612","81,153","63,585","29,367","24,859","14,665","10,163","9,410",322,"17,250","-6,550","-6,547","-6,577",-3,"173,211","103,774","80,834","23,091","69,171","34,557","34,635","188,350","123,524","106,330","17,361","64,787","25,801","39,112",-21,"387,848","410,085","8,578,300",68.1,"529,743"
Quebec_2021,"83,341","83,335",6,"1,380,750","1,111,734","135,405","133,614","1,234,032","972,369","135,243","126,423","136,521","129,171",159.0,"7,191","10,197","10,197",,,,"348,054","241,192","124,496","36,021","20,941","67,519","117,065","6,973","99,351","86,993","69,917","33,158","26,630","14,448","12,225","10,080",365,"16,647",-431,"-1,364","-1,504",124,"178,152","105,758","83,157","22,670","72,177","34,774","37,599","201,163","134,484","117,954","16,937","66,627","25,816","41,019",-94,"411,001","435,360","8,604,495",69.4,"539,385"
