Area_Year,1_Live births,1_Live births.1,1_Live births.2,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools.1,2_Number of students in elementary and secondary schools.2,2_Number of students in elementary and secondary schools.3,2_Number of students in elementary and secondary schools.4,2_Number of students in elementary and secondary schools.5,2_Number of students in elementary and secondary schools.6,2_Number of students in elementary and secondary schools.7,2_Number of students in elementary and secondary schools.8,2_Number of students in elementary and secondary schools.9,2_Number of students in elementary and secondary schools.10,2_Number of students in elementary and secondary schools.11,2_Number of students in elementary and secondary schools.12,2_Number of students in elementary and secondary schools.13,2_Number of students in elementary and secondary schools.14,2_Number of students in elementary and secondary schools.15,3_Number of full-time and part-time educators,4_Canada_gdp_yearly,4_Canada_gdp_yearly.1,4_Canada_gdp_yearly.2,4_Canada_gdp_yearly.3,4_Canada_gdp_yearly.4,4_Canada_gdp_yearly.5,4_Canada_gdp_yearly.6,4_Canada_gdp_yearly.7,4_Canada_gdp_yearly.8,4_Canada_gdp_yearly.9,4_Canada_gdp_yearly.10,4_Canada_gdp_yearly.11,4_Canada_gdp_yearly.12,4_Canada_gdp_yearly.13,4_Canada_gdp_yearly.14,4_Canada_gdp_yearly.15,4_Canada_gdp_yearly.16,4_Canada_gdp_yearly.17,4_Canada_gdp_yearly.18,4_Canada_gdp_yearly.19,4_Canada_gdp_yearly.20,4_Canada_gdp_yearly.21,4_Canada_gdp_yearly.22,4_Canada_gdp_yearly.23,4_Canada_gdp_yearly.24,4_Canada_gdp_yearly.25,4_Canada_gdp_yearly.26,4_Canada_gdp_yearly.27,4_Canada_gdp_yearly.28,4_Canada_gdp_yearly.29,4_Canada_gdp_yearly.30,4_Canada_gdp_yearly.31,4_Canada_gdp_yearly.32,4_Canada_gdp_yearly.33,4_Canada_gdp_yearly.34,4_Canada_gdp_yearly.35,4_Canada_gdp_yearly.36,4_Canada_gdp_yearly.37,4_Canada_gdp_yearly.38,6_Estimates of population,7_Dependency ratio,9_Postsecondary enrolments,6_Estimates of population.1,7_Dependency ratio.1
Alberta_2016,"55,715","55,674",41.0,"678,966","678,969",,,"640,872","640,872",,,"26,775","26,775",,,"11,322","11,322",,,"47,289","194,981","141,241","60,325","17,386","10,645","32,301","80,803","2,952","50,741","84,618","72,513","17,555","50,267","37,866","12,395","4,680",310,"11,818","-1,080","-1,049","-1,358",224,"184,137","119,411","111,536","7,804","64,699","35,467","29,499","136,565","71,485","58,252","13,264","65,196","23,450","41,909",275,"325,421","279,292","4,196,061",58.0,"185,679",,
Alberta_2017,"53,561","53,513",48.0,"692,538","692,538",,,"652,272","652,272",,,"27,537","27,537",,,"12,732","12,732",,,,"200,620","145,319","62,820","18,730","10,803","33,276","82,418","2,960","52,294","85,214","73,155","17,928","49,794","37,379","12,401","5,404",320,"11,761","2,006","2,020","1,718",330,"194,464","126,527","118,565","7,999","67,986","37,677","30,623","140,741","74,864","61,731","13,160","65,874","22,306","43,749",-228,"340,062","285,508","4,241,100",59.1,"190,947",,
Alberta_2018,"52,342","52,325",17.0,"707,391","707,391",,,"665,877","665,877",,,"28,488","28,488",,,"13,023","13,023",,,,"205,167","147,923","63,579","18,777","10,952","33,839","84,249","3,066","54,117","84,302","73,549","17,608","50,181","35,940","14,130","5,719",309,"10,467",544,511,582,-58,"207,617","135,457","127,304","8,280","72,267","41,497","31,186","147,318","78,728","64,303","14,437","68,547","23,801","44,920",79,"347,593","289,117","4,298,275",60.0,"194,010",,
Alberta_2019,"51,689","51,657",32.0,"717,750","717,750",,,"673,788","673,788",,,"30,270","30,270",,,"13,689","13,689",,,,"205,538","148,463","63,137","18,203","11,037","33,888","85,208","3,241","53,772","78,543","68,779","15,931","47,139","33,187","13,811","5,650",242,"9,546","2,130","2,133","2,230",-79,"209,703","139,702","130,171","9,411","70,476","39,360","31,466","144,968","76,647","61,544","15,074","68,382","23,181","45,394",-88,"348,005","283,682","4,362,576",61.0,"200,391",,
Alberta_2020,"48,970","48,908",62.0,"729,510","729,513",,,"683,280","683,280",,,"31,503","31,500",,,"14,730","14,730",,,,"195,800","138,969","61,615","17,076","9,876","34,605","77,323","3,071","53,625","67,834","57,372","15,426","36,980","25,629","11,205","4,983",230,"10,260","-3,787","-3,781","-3,690",-137,"198,641","133,890","127,669","7,057","65,470","38,517","27,545","134,000","67,731","55,931","11,875","66,768","24,405","42,522",-6,"320,302","263,217","4,420,029",61.9,"203,823",,
Alberta_2021,"49,844","49,779",65.0,"720,681","720,678",,,"664,908","664,911",,,"30,465","30,465",,,"25,305","25,305",,,,"203,156","145,215","64,143","18,354","11,570","34,273","81,039","3,136","54,700","71,887","62,044","18,741","38,640","27,538","10,988","4,697",251,"9,602","-2,127","-2,239",-468,"-1,709","206,019","138,743","131,433","7,915","67,972","38,409","30,068","139,342","72,070","59,773","12,394","67,605","23,548","44,290",-88,"335,550","274,634","4,442,879",62.9,"203,523",,
British Columbia_1991,"45,758","45,585",173.0,,,,,,,,,,,,,,,,,,"103,964","72,471","31,193","6,395","4,191","21,687","41,225","1,216","31,073","27,259","22,520","11,010","10,147","7,890","3,191","1,231",140,"4,626",-412,-408,-415,25,"43,018","28,551","22,189","5,649","14,168","4,164","10,201","47,386","20,299","15,893","4,607","28,520","15,839","12,854",-353,"126,535","131,680",,,,,
British Columbia_1992,"46,229","46,098",131.0,,,,,,,,,,,,,,,,,,"107,469","74,713","32,005","6,574","4,337","22,174","42,676","1,397","32,140","28,244","23,455","13,535","9,067","6,166","3,185","1,229",161,"4,638",-406,-406,-411,18,"45,157","28,645","22,089","5,873","16,268","5,405","11,021","49,588","22,244","17,752","4,615","28,498","15,346","13,256","-1,348","130,049","136,186",,,,,
British Columbia_1993,"46,141","46,007",134.0,,,,,,,,,,,,,,,,,,"110,549","77,151","33,350","6,773","4,558","23,162","43,730","1,518","32,588","28,462","23,560","13,875","8,591","5,649","3,091","1,603",184,"4,728",317,315,285,45,"46,950","30,141","22,911","6,599","16,509","5,295","11,403","49,290","23,269","18,605","4,783","26,703","13,791","12,946","-1,872","136,155","139,480",,,"144,663",,
British Columbia_1994,"46,960","46,881",79.0,,,,,,,,,,,,,,,,,,"114,024","80,289","35,037","7,307","4,856","23,929","45,140","1,486","32,870","31,456","25,912","13,955","10,044","6,879","3,510","2,315",155,"5,438",707,707,660,62,"50,039","33,271","25,031","7,638","16,199","5,492","10,837","57,258","26,914","21,714","5,284","31,187","17,567","13,789",-16,"139,733","146,042",,,"145,371",,
