Area_Year,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,"2_Number of students in elementary and secondary schools_Total, school type Total, program type","2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5","2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6","2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7","2_Number of students in elementary and secondary schools_Public school Total, program type",2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Public school General programs for adults 6,2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Priviate school Total, program type",2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,3_Number of full-time and part-time educators_Nova Scotia,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Household final consumption expenditure,4_Canada_gdp_yearly_Goods,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Business gross fixed capital formation,4_Canada_gdp_yearly_Residential structures,"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Of which: business investment in inventories,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Exports to other countries,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports to other provinces,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Imports from other countries,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports from other provinces,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,6_Estimates of population_Nova Scotia,7_Dependency ratio_Nova Scotia,9_Postsecondary enrolments_Nova Scotia
Nova Scotia_2007,"9,021","9,013",8,"142,725","142,359",0,366,"138,663","138,294",0,366,"3,399","3,399",0,0,663,663,0,0,"9,972","37,065","24,512","12,084","2,690","1,580","7,841","12,432",573,"11,981","7,401","5,768","2,578","2,795","1,124","1,626",414,28,"1,593",79,77,76,2,"16,308","7,974","6,483","1,480","8,309","4,384","3,912","24,604","11,877","10,562","1,318","12,738","6,215","6,525",-19,"36,199","44,433","935,115",59.3,"52,266"
Nova Scotia_2008,"9,309","9,300",9,"139,428","139,089",,339,"135,303","134,964",,339,"3,441","3,441",,,681,684,,,"10,062","38,166","25,220","12,514","2,880","1,638","8,006","12,711",608,"12,338","6,905","5,313","2,490","2,497","1,116","1,363",349,41,"1,542",136,126,142,-19,"15,735","7,435","6,043","1,382","8,297","4,192","4,102","23,948","11,639","10,370","1,272","12,316","5,762","6,558",-6,"36,915","45,017","935,897",59.4,"50,748"
Nova Scotia_2009,"9,110","9,094",16,"137,151","136,842",,309,"133,134","132,828",,309,"3,309","3,309",,,708,705,,,"10,071","38,474","25,599","12,843","2,930","1,709","8,214","12,764",576,"12,298","7,669","5,526","2,330","2,869","1,626","1,285",331,34,"2,121",-161,-142,-142,0,"14,725","6,983","5,551","1,433","7,739","3,845","3,894","23,596","11,247","10,074","1,178","12,367","5,765","6,605",32,"37,047","46,117","938,208",59.3,"50,787"
Nova Scotia_2010,"8,944","8,937",7,"134,544","134,232",,315,"130,548","130,236",,315,"3,264","3,264",,,732,732,,,"9,744","39,425","26,255","13,031","3,027","1,767","8,236","13,226",536,"12,635","8,709","6,487","2,596","3,519","1,867","1,685",366,54,"2,170",76,56,62,-7,"15,422","7,530","6,039","1,491","7,897","3,951","3,945","25,524","12,117","10,725","1,390","13,425","6,151","7,276",-25,"38,052","48,137","942,107",58.9,"52,083"
Nova Scotia_2011,"8,948","8,944",4,"132,423","132,423",,,"128,130","128,130",,,"3,420","3,420",,,873,873,,,"9,501","40,256","26,731","13,161","3,026","1,773","8,364","13,571",605,"12,920","8,414","6,379","2,656","3,412","1,226","2,183",307,54,"1,979",399,396,388,8,"15,187","7,133","5,701","1,431","8,056","4,014","4,041","25,934","12,287","10,871","1,415","13,671","6,209","7,461",-17,"38,303","48,669","944,274",58.9,"54,522"
Nova Scotia_2012,"8,844","8,836",8,"129,774","129,774",,,"125,541","125,541",,,"3,426","3,426",,,807,807,,,"9,207","40,776","27,055","13,172","3,119","1,804","8,249","13,883",604,"13,117","7,484","5,368","2,711","2,382","1,077","1,305",275,57,"2,059",159,54,59,-5,"15,171","7,226","5,725","1,501","7,945","4,036","3,909","25,624","12,546","11,075","1,472","13,077","5,913","7,164",-33,"37,933","48,260","943,635",60.0,"55,065"
Nova Scotia_2013,"8,526","8,510",16,"126,981","126,981",,,"122,643","122,643",,,"3,444","3,444",,,894,894,,,"8,913","40,940","27,552","13,466","3,338","1,833","8,295","14,087",595,"12,798","7,784","5,660","2,698","2,680",990,"1,692",282,55,"2,069",186,200,213,-14,"15,082","7,031","5,406","1,626","8,047","4,165","3,882","26,242","13,025","11,473","1,552","13,220","5,873","7,348",-7,"37,806","48,723","940,434",61.1,"54,951"
Nova Scotia_2014,"8,745","8,727",18,"125,463","125,463",,,"121,029","121,026",,,"3,489","3,489",,,948,948,,,"9,150","41,319","27,853","13,614","3,406","1,870","8,340","14,240",598,"12,874","7,373","5,510","2,356","2,701","1,040","1,663",450,44,"1,820",38,104,105,-2,"14,381","6,788","5,021","1,777","7,593","3,428","4,172","24,917","12,167","10,541","1,620","12,746","5,050","7,717",-7,"38,173","48,691","938,545",62.2,"55,617"
Nova Scotia_2015,"8,296","8,282",14,"123,999","123,999",,,"119,382","119,382",,,"3,636","3,636",,,981,981,,,"9,030","41,624","28,025","13,664","3,487","1,893","8,286","14,360",626,"12,978","7,382","5,656","2,482","2,652","1,180","1,483",523,39,"1,691",188,155,160,-5,"14,098","6,674","4,824","1,870","7,423","3,282","4,153","24,805","12,189","10,598","1,585","12,613","4,985","7,649",-8,"38,429","49,005","936,525",63.4,"55,197"
Nova Scotia_2016,"8,429","8,411",18,"122,799","122,799",,,"118,152","118,152",,,"3,669","3,669",,,981,978,,,"9,333","41,988","28,256","13,717","3,565","1,882","8,270","14,535",672,"13,063","7,938","6,278","2,619","2,856","1,298","1,572",805,29,"1,641",145,150,143,7,"13,722","6,670","4,642","2,069","7,049","3,032","4,037","24,758","11,618","10,039","1,574","13,149","5,095","8,075",23,"39,038","49,944","942,790",64.5,"54,825"
Nova Scotia_2017,"8,359","8,336",23,"123,120","123,120",,,"118,569","118,566",,,"3,603","3,603",,,948,948,,,,"42,978","29,003","14,171","3,831","1,930","8,403","14,833",663,"13,318","7,938","6,040","2,729","2,882","1,477","1,431",425,38,"1,864",221,254,250,4,"14,171","6,793","4,739","2,094","7,376","3,193","4,202","25,488","12,260","10,718","1,540","13,227","5,089","8,160",2,"39,757","50,927","950,108",65.4,"54,966"
Nova Scotia_2018,"8,037","8,018",19,"123,990","123,990",,,"118,962","118,962",,,"3,975","3,975",,,"1,053","1,053",,,,"43,727","29,409","14,232","3,728","1,949","8,552","15,172",685,"13,636","8,349","5,828","2,872","2,230","1,016","1,229",744,36,"2,474",86,71,54,17,"14,215","6,940","4,822","2,161","7,269","3,073","4,222","25,811","12,323","10,718","1,600","13,490","5,175","8,337",9,"40,502","52,098","958,406",66.2,"53,484"
Nova Scotia_2019,"8,172","8,148",24,"126,165","126,168",,,"120,606","120,603",,,"4,302","4,299",,,"1,263","1,263",,,,"44,321","29,847","14,398","3,743","1,973","8,679","15,443",705,"13,773","8,979","6,074","3,177","2,369","1,104","1,282",539,31,"2,860",263,247,206,39,"15,081","7,678","5,295","2,435","7,382","3,077","4,336","26,748","12,564","10,928","1,631","14,194","5,611","8,599",7,"41,889","53,343","970,243",67.0,"54,495"
Nova Scotia_2020,"7,683","7,673",10,"128,556","128,556",,,"123,240","123,240",,,"4,179","4,179",,,"1,137","1,134",,,,"43,254","28,494","14,102","3,581","1,852","8,670","14,405",730,"14,002","8,704","5,696","3,258","1,919",902,"1,031",530,30,"2,966",-539,-552,-582,30,"13,756","6,494","4,591","1,935","7,269","3,362","3,901","24,762","11,367","10,030","1,346","13,415","5,206","8,225",12,"40,433","51,997","981,889",67.7,"57,033"
Nova Scotia_2021,"7,029","7,021",8,"128,001","127,998",,,"121,599","121,599",,,"3,957","3,957",,,"2,442","2,439",,,,"45,645","30,218","15,130","4,052","2,146","8,930","15,109",735,"14,671","9,492","6,324","3,676","2,092","1,003","1,103",562,36,"3,112",125,77,63,15,"14,121","6,814","4,883","1,955","7,306","3,023","4,331","26,414","12,343","10,996","1,368","14,092","5,687","8,413",-9,"42,927","55,195","992,055",68.2,"56,841"
