Area_Year,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,"2_Number of students in elementary and secondary schools_Total, school type Total, program type","2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5","2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6","2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7","2_Number of students in elementary and secondary schools_Public school Total, program type",2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Public school General programs for adults 6,2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Priviate school Total, program type",2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,3_Number of full-time and part-time educators_British Columbia 11,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Household final consumption expenditure,4_Canada_gdp_yearly_Goods,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Business gross fixed capital formation,4_Canada_gdp_yearly_Residential structures,"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Of which: business investment in inventories,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Exports to other countries,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports to other provinces,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Imports from other countries,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports from other provinces,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,6_Estimates of population_British Columbia,7_Dependency ratio_British Columbia,9_Postsecondary enrolments_British Columbia
British Columbia_2001,"40,546","40,498",48,"624,618","608,823","15,798",0,"624,618","608,823","15,798",0,,,,,,,,,,"135,724","97,251","42,168","9,975","6,012","26,767","54,984","2,760","36,032","34,014","28,386","11,629","13,121","8,404","4,811","3,164",186,"5,458",-399,-399,-475,128,"66,794","42,375","30,784","11,315","24,124","10,677","13,153","69,764","33,514","27,595","5,920","36,940","17,116","19,803",-19,"167,541","170,262","4,076,950",61.0,"204,180"
British Columbia_2002,"40,120","40,054",66,"622,827","605,499","17,331",0,"622,830","605,496","17,331",0,,,,,,,,,"37,149","140,099","100,887","44,197","10,859","6,300","27,486","56,551","2,934","36,560","34,333","28,868","13,554","12,552","7,875","4,681","2,704",246,"5,212",572,576,588,-32,"67,270","43,261","31,291","11,739","23,591","10,633","12,636","69,848","33,973","28,128","5,837","36,401","16,704","19,679",132,"174,214","175,025","4,100,564",60.4,"222,873"
British Columbia_2003,"40,490","40,411",79,"613,227","595,206","18,021",0,"613,227","595,203","18,021",0,,,,,,,,,"36,564","143,766","104,235","45,181","11,263","6,519","27,768","58,949","3,040","36,720","36,613","30,948","14,601","13,100","8,599","4,693","3,238",218,"5,443",671,669,628,52,"69,226","43,996","31,808","11,955","24,859","11,354","13,141","73,588","35,938","29,404","6,537","38,153","18,213","19,907",109,"178,240","180,892","4,124,482",59.8,"224,991"
British Columbia_2004,"40,542","40,479",63,"605,538","588,009","17,526",0,"605,535","588,009","17,526",0,,,,,,,,,"36,330","148,130","108,952","47,110","12,092","6,808","28,480","61,740","2,771","36,511","41,740","35,317","17,112","14,586","9,487","5,274","3,697",137,"6,299",741,743,741,-29,"72,828","46,322","33,464","12,619","26,112","11,635","14,157","79,354","39,297","32,204","7,097","40,472","19,200","21,240",5,"185,250","190,151","4,155,651",59.3,"229,104"
British Columbia_2005,"40,853","40,798",55,"596,166","581,319","14,850",0,"596,169","581,319","14,850",0,,,,,,,,,"36,888","153,275","113,429","48,128","12,406","7,078","28,872","65,263","2,949","36,946","46,489","38,637","18,352","16,368","9,974","6,342","3,941",356,"7,517","1,311","1,312","1,308",-48,"76,457","48,449","34,976","13,231","27,611","11,872","15,509","84,079","42,789","35,264","7,527","41,514","19,017","22,493",-155,"194,460","199,896","4,196,062",58.9,"232,230"
British Columbia_2006,"41,783","41,738",45,"589,380","575,082","14,298",0,"589,380","575,082","14,298",0,,,,,,,,,"37,149","160,695","120,181","51,004","13,643","7,680","29,762","69,136","3,097","37,399","51,255","43,107","19,671","19,193","11,813","7,355","4,181",366,"7,778","1,419","1,421","1,433",-68,"79,417","49,220","35,331","13,699","29,892","12,531","17,193","90,710","47,081","38,771","8,312","43,750","19,846","23,913",-84,"203,053","212,006","4,241,794",58.7,"236,508"
British Columbia_2007,"43,698","43,644",54,"645,033","631,071","13,962",0,"578,628","564,663","13,962",0,"65,370","65,367",0,0,"1,038","1,038",0,0,"37,119","169,126","126,699","53,705","14,750","8,269","30,653","72,954","3,009","39,404","52,756","44,436","20,099","19,440","11,191","8,044","4,863",234,"8,093","1,349","1,348","1,347",-29,"81,168","48,877","34,914","13,816","32,113","13,725","18,152","95,697","50,363","41,706","8,661","45,392","21,621","23,742",-299,"209,419","221,950","4,290,984",58.4,"242,394"
British Columbia_2008,"44,373","44,314",59,"637,557","625,038","12,519",,"571,269","558,750","12,519",,"65,475","65,475",,,813,813,,,"36,921","174,156","129,782","54,181","14,498","8,450","31,240","75,590","3,400","40,961","54,232","45,183","19,096","20,991","12,832","8,067","5,102",504,"8,551",84,76,174,-136,"78,546","46,555","33,552","12,798","31,875","13,221","18,498","96,459","51,878","42,912","8,969","44,556","20,379","24,176",-213,"210,903","228,456","4,349,336",58.0,"244,416"
British Columbia_2009,"45,121","45,054",67,"631,644","619,332","12,309",,"565,875","553,563","12,309",,"65,076","65,076",,,693,690,,,"36,372","174,870","130,162","52,955","13,752","8,225","31,031","77,211","3,246","41,455","47,954","39,098","17,460","17,469","11,376","6,129","4,188",317,"8,571",-953,-952,-985,58,"73,286","41,295","28,058","13,335","32,015","12,388","19,595","89,411","45,582","36,767","8,812","44,022","19,427","24,609",-131,"205,878","222,820","4,410,506",57.8,"244,785"
British Columbia_2010,"43,879","43,819",60,"628,020","614,715","13,308",,"562,740","549,432","13,308",,"64,728","64,728",,,552,555,,,"35,958","180,074","135,142","54,461","14,393","8,667","31,413","80,682","3,173","41,761","50,956","41,533","17,494","19,425","12,170","7,237","4,611",240,"9,222",-946,-942,-863,-92,"79,025","46,032","31,700","14,396","32,977","12,157","20,828","97,377","52,037","42,271","9,767","45,381","18,984","26,398",-137,"211,749","231,029","4,465,546",57.7,"261,339"
