Area_Year,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,"2_Number of students in elementary and secondary schools_Total, school type Total, program type","2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5","2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6","2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7","2_Number of students in elementary and secondary schools_Public school Total, program type",2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Public school General programs for adults 6,2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Priviate school Total, program type",2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,3_Number of full-time and part-time educators_Nunavut,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Household final consumption expenditure,4_Canada_gdp_yearly_Goods,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Business gross fixed capital formation,4_Canada_gdp_yearly_Residential structures,"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Of which: business investment in inventories,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Exports to other countries,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports to other provinces,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Imports from other countries,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports from other provinces,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,6_Estimates of population_Nunavut,7_Dependency ratio_Nunavut,9_Postsecondary enrolments_Territories
Nunavut_2005,366,366,0,"9,354","9,354",0,0,"9,354","9,354",0,0,,,,,,,,,711,"1,900",554,250,26,48,177,304,39,"1,310",637,508,42,225,190,55,234,1,131,-42,-42,-42,0,183,32,9,24,151,8,127,"1,208",316,277,41,886,369,518,3,"1,481","2,537","30,339",87.5,"1,491"
Nunavut_2006,427,427,0,"9,129","9,129",0,0,"9,129","9,129",0,0,,,,,,,,,702,"1,946",578,262,27,52,184,316,42,"1,327",618,468,42,282,279,48,149,2,148,-69,-70,-70,0,231,55,33,26,165,5,141,"1,235",291,260,34,937,386,552,5,"1,497","2,566","30,813",86,"2,634"
Nunavut_2007,480,480,0,"9,066","9,066",0,0,"9,063","9,063",0,0,0,0,0,0,0,0,0,0,705,"2,066",597,269,29,56,185,328,46,"1,425",964,759,57,136,37,86,575,3,205,1,1,1,0,208,55,37,23,141,8,117,"1,635",378,341,41,"1,248",547,702,0,"1,620","3,032","31,395",84.9,"1,029"
Nunavut_2008,481,481,0,"9,021","9,021",,,"9,024","9,024",,,,,,,,,,,654,"2,164",630,280,32,60,189,349,52,"1,485","1,426","1,235",42,563,429,131,634,16,185,21,15,15,0,189,43,23,22,136,8,113,"1,996",444,394,55,"1,543",753,790,11,"1,851","3,599","31,892",84.5,999
Nunavut_2009,487,487,0,"9,276","9,276",,,"9,279","9,276",,,,,,,,,,,651,"2,162",642,288,34,61,193,354,50,"1,471",860,582,42,310,237,72,233,3,274,-19,-23,-23,0,198,17,7,10,179,4,154,"1,519",304,266,40,"1,215",410,805,0,"1,721","3,019","32,597",83.1,894
Nunavut_2010,482,482,0,"9,039","9,039",,,"9,039","9,042",,,,,,,,,,,666,"2,203",670,298,34,64,200,372,45,"1,490",953,696,42,388,319,70,269,2,255,-1,-1,-1,0,607,18,5,12,588,414,174,"1,730",316,256,60,"1,416",489,926,-5,"2,039","3,155","33,352",81.8,"1,041"
Nunavut_2011,447,447,0,"8,871","8,871",,,"8,871","8,874",,,,,,,,,,,666,"2,198",693,309,35,67,207,384,50,"1,456","1,122",857,55,263,203,60,538,1,265,-4,4,4,0,783,19,5,13,766,513,249,"1,944",332,269,62,"1,613",537,"1,075",-3,"2,150","3,323","34,192",80.4,"1,182"
Nunavut_2012,468,468,0,"8,904","8,907",,,"8,904","8,907",,,,,,,,,,,801,"2,251",715,319,38,70,211,396,52,"1,484",895,738,71,231,165,66,436,1,156,10,25,25,0,871,26,9,17,845,631,214,"1,824",312,251,61,"1,511",530,981,-4,"2,199","3,146","34,672",79.7,"4,062"
Nunavut_2013,490,490,0,"9,087","9,087",,,"9,087","9,084",,,,,,,,,,,573,"2,254",733,329,40,75,214,404,48,"1,473","1,216","1,013",69,676,500,176,263,2,201,32,27,27,0,979,26,5,21,953,783,178,"2,037",637,574,64,"1,398",386,"1,013",6,"2,410","3,465","35,337",79.6,"3,681"
Nunavut_2014,483,483,0,"9,729","9,729",,,"9,729","9,729",,,,,,,,,,,783,"2,271",747,330,40,74,216,417,39,"1,487",940,668,48,456,354,101,162,1,268,115,32,32,0,943,31,8,22,912,729,187,"1,942",570,479,92,"1,373",414,957,1,"2,379","3,214","35,971",79.6,"3,834"
Nunavut_2015,437,437,0,"9,891","9,888",,,"9,891","9,888",,,,,,,,,,,762,"2,401",771,346,43,79,224,425,42,"1,589",975,687,56,423,308,114,206,1,284,-50,0,0,0,867,92,67,20,768,607,164,"1,934",565,475,90,"1,370",315,"1,056",2,"2,372","3,380","36,488",80,"3,993"
Nunavut_2016,456,455,1,"10,026","10,026",,,"10,026","10,029",,,,,,,,,,,864,"2,427",781,349,45,80,224,432,45,"1,602","1,003",698,44,451,363,89,197,1,301,98,110,110,0,965,168,138,19,774,608,168,"2,033",592,503,89,"1,442",359,"1,085",3,"2,492","3,434","36,975",79.6,"3,612"
Nunavut_2017,440,440,0,"10,038","10,041",,,"10,041","10,038",,,,,,,,,,,,"2,505",799,364,48,86,230,436,44,"1,662","1,447","1,125",47,894,674,219,172,1,321,132,112,112,0,"1,268",440,380,25,658,470,184,"2,546",844,739,105,"1,689",473,"1,220",5,"2,821","3,944","37,546",79.3,"3,549"
Nunavut_2018,411,411,0,"10,107","10,107",,,"10,107","10,107",,,,,,,,,,,,"2,683",808,371,51,93,228,439,49,"1,822","1,866","1,549",38,"1,352",936,408,144,2,319,34,-15,-15,0,"1,393",510,443,24,678,478,195,"3,109","1,171","1,016",155,"1,906",509,"1,401",-3,"2,953","4,535","38,143",79.5,"3,534"
Nunavut_2019,385,385,0,"10,650","10,650",,,"10,653","10,650",,,,,,,,,,,,"2,659",818,375,53,96,227,445,48,"1,790","1,709","1,356",47,"1,192",893,297,106,2,352,0,-5,-5,,"1,894",755,663,25,815,627,189,"3,205","1,111",973,137,"2,074",574,"1,504",2,"3,175","4,355","38,592",79.9,"4,071"
Nunavut_2020,504,504,0,"10,725","10,728",,,"10,725","10,725",,,,,,,,,,,,"2,717",810,397,57,109,234,415,57,"1,843",993,798,40,687,537,151,64,2,194,55,139,139,,"2,002",652,574,18,"1,124",926,200,"2,568",960,873,87,"1,578",426,"1,156",2,"3,211","3,718","39,155",78.9,"4,803"
Nunavut_2021,462,462,0,"10,902","10,902",,,"10,902","10,902",,,,,,,,,,,,"2,826",828,405,60,132,217,424,59,"1,931","1,106",963,48,778,579,198,126,2,148,57,110,110,,"2,255",804,711,17,"1,128",924,206,"2,734",937,822,115,"1,782",487,"1,299",-1,"3,467","3,940","39,403",78.3,"2,307"
