Area_Year,1_Live births,1_Live births,1_Live births,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,3_Number of full-time and part-time educators,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,6_Estimates of population,7_Dependency ratio,9_Postsecondary enrolments
Yukon_2006,370.0,369.0,1.0,"5,334","5,337",0.0,0.0,"5,334","5,334",0.0,0.0,,,,,,,,,510.0,"2,077",947,438,108,59,273,509,36,"1,094",722,495,168,318,222,97,17,1,230,-9,-9,-9,0.0,352,96,26,84,273,39,232,"1,251",403,341,63,857,367,490,-19,"1,826","2,797","32,272",48.5,"2,634"
Yukon_2007,358.0,356.0,2.0,"5,229","5,226",0.0,0.0,"5,229","5,229",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0,"2,167","1,000",459,117,63,280,541,35,"1,132",738,549,158,203,137,66,193,2,190,-30,-30,-30,0.0,412,137,55,93,285,25,260,"1,323",414,357,59,917,390,527,1,"1,919","2,904","32,554",47.7,"1,029"
Yukon_2008,361.0,361.0,0.0,"5,226","5,226",0.0,0.0,"5,229","5,229",0.0,0.0,,,,,,,,,552.0,"2,262","1,045",474,125,65,284,571,38,"1,178",673,500,166,184,98,81,156,2,172,-29,-29,-29,0.0,568,280,189,92,286,19,267,"1,318",444,382,64,886,368,518,0,"2,113","2,931","33,083",47.1,999
Yukon_2009,375.0,375.0,0.0,"5,004","5,004",,,"5,004","5,007",,,,,,,,,,,570.0,"2,369","1,070",473,120,66,287,597,37,"1,264",689,456,162,198,119,75,99,3,234,17,17,17,0.0,588,301,224,75,285,84,203,"1,384",434,373,63,958,346,614,9,"2,253","3,055","33,731",47.6,894
Yukon_2010,371.0,370.0,1.0,"5,010","5,010",,,"5,010","5,010",,,,,,,,,,,513.0,"2,492","1,126",489,126,71,292,638,38,"1,328",967,764,192,401,296,106,171,8,194,32,32,32,0.0,579,289,206,83,287,75,214,"1,691",482,404,79,"1,214",405,810,-4,"2,343","3,458","34,596",47.3,"1,041"
Yukon_2011,420.0,419.0,1.0,"5,148","5,148",,,"5,085","5,085",,,,,,,63.0,60.0,,,546.0,"2,553","1,179",509,134,69,306,670,43,"1,331","1,161",884,186,355,256,99,342,11,265,9,9,9,0.0,627,272,189,84,354,107,250,"1,858",453,377,77,"1,403",422,982,-4,"2,460","3,715","35,411",46.8,"1,182"
Yukon_2012,427.0,427.0,0.0,"5,133","5,133",,,"5,037","5,037",,,,,,,96.0,96.0,,,879.0,"2,591","1,225",528,144,69,315,697,42,"1,324",948,711,187,246,130,116,278,14,223,36,36,36,0.0,788,327,228,98,461,191,270,"1,798",439,352,87,"1,358",454,904,-7,"2,558","3,539","36,234",47.2,"4,062"
Yukon_2013,393.0,393.0,0.0,"5,151","5,151",,,"5,049","5,049",,,,,,,102.0,105.0,,,903.0,"2,660","1,231",512,137,67,308,719,50,"1,379",853,597,142,301,89,212,154,2,253,21,21,21,0.0,810,375,277,98,436,116,320,"1,726",569,480,89,"1,157",371,786,1,"2,595","3,514","36,521",47.4,"3,681"
Yukon_2014,385.0,385.0,0.0,"5,292","5,295",,,"5,139","5,136",,,,,,,153.0,156.0,,,945.0,"2,704","1,247",507,133,68,306,739,47,"1,409",753,482,131,216,114,102,135,2,269,40,40,40,0.0,798,399,309,91,402,86,317,"1,663",483,402,81,"1,186",309,879,5,"2,614","3,459","37,137",47.9,"3,834"
Yukon_2015,416.0,416.0,0.0,"5,331","5,331",,,"5,184","5,184",,,,,,,147.0,147.0,,,873.0,"2,752","1,272",518,133,67,317,754,46,"1,434",647,443,137,213,111,102,95,2,201,-6,-6,-6,0.0,633,285,207,78,346,63,286,"1,608",525,440,86,"1,076",253,825,2,"2,409","3,403","37,690",48.6,"3,993"
Yukon_2016,417.0,416.0,1.0,"5,334","5,334",,,"5,199","5,199",,,,,,,135.0,135.0,,,879.0,"2,819","1,303",526,138,67,320,776,53,"1,464",629,427,162,173,77,95,96,1,200,3,3,3,0.0,789,364,296,74,424,93,329,"1,634",571,484,88,"1,049",250,801,3,"2,588","3,453","38,547",49.5,"3,612"
Yukon_2017,0.0,0.0,0.0,"5,496","5,496",,,"5,343","5,340",,,,,,,153.0,153.0,,,,"2,841","1,349",545,147,68,329,803,52,"1,442",727,507,161,186,104,82,163,1,217,7,7,7,0.0,728,246,167,77,469,106,360,"1,652",550,465,85,"1,091",244,848,0,"2,634","3,573","39,610",50.3,"3,549"
Yukon_2018,0.0,0.0,0.0,"5,556","5,559",,,"5,391","5,391",,,,,,,165.0,165.0,,,,"2,939","1,358",542,143,70,328,816,55,"1,527","1,049",821,147,508,313,196,170,2,221,2,3,3,0.0,598,195,113,78,392,99,287,"1,888",606,523,84,"1,271",296,976,-3,"2,702","3,998","40,519",51.0,"3,534"
Yukon_2019,0.0,0.0,0.0,"5,619","5,616",,,"5,448","5,448",,,,,,,171.0,171.0,,,,"2,950","1,391",558,150,74,333,833,51,"1,510",905,633,161,307,204,104,167,1,269,11,10,10,,585,132,45,80,436,113,316,"1,781",534,448,87,"1,240",264,977,-2,"2,667","3,863","41,362",52.2,"4,071"
Yukon_2020,0.0,0.0,0.0,"5,823","5,820",,,"5,637","5,637",,,,,,,186.0,186.0,,,,"2,962","1,360",575,156,78,341,786,55,"1,547",684,420,165,163,110,54,94,2,262,32,32,32,,759,208,176,32,533,209,285,"1,637",531,464,68,"1,095",285,813,1,"2,769","3,653","42,174",53.8,"4,803"
Yukon_2021,,,,"5,943","5,943",,,"5,721","5,721",,,,,,,222.0,225.0,,,,"3,116","1,410",585,160,82,342,826,58,"1,646",824,498,205,171,110,61,125,5,322,-63,-63,-63,,890,255,223,31,613,260,301,"1,701",536,460,76,"1,156",269,890,2,"3,045","3,950","42,986",54.7,"2,307"
