Area_Year,1_Live births,1_Live births,1_Live births,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,3_Number of full-time and part-time educators,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,6_Estimates of population,7_Dependency ratio,9_Postsecondary enrolments
Nunavut_2006,427.0,427.0,0.0,"9,129","9,129",0.0,0.0,"9,129","9,129",0.0,0.0,,,,,,,,,702.0,"1,946",578.0,262.0,27.0,52.0,184.0,316.0,42.0,"1,327",618,468,42.0,282,279.0,48.0,149.0,2.0,148.0,-69.0,-70.0,-70.0,0.0,231,55.0,33.0,26.0,165,5.0,141.0,"1,235",291,260,34.0,937,386.0,552,5.0,"1,497","2,566","30,813",86.0,"2,634"
Nunavut_2007,480.0,480.0,0.0,"9,066","9,066",0.0,0.0,"9,063","9,063",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.0,"2,066",597.0,269.0,29.0,56.0,185.0,328.0,46.0,"1,425",964,759,57.0,136,37.0,86.0,575.0,3.0,205.0,1.0,1.0,1.0,0.0,208,55.0,37.0,23.0,141,8.0,117.0,"1,635",378,341,41.0,"1,248",547.0,702,0.0,"1,620","3,032","31,395",84.9,"1,029"
Nunavut_2008,481.0,481.0,0.0,"9,021","9,021",,,"9,024","9,024",,,,,,,,,,,654.0,"2,164",630.0,280.0,32.0,60.0,189.0,349.0,52.0,"1,485","1,426","1,235",42.0,563,429.0,131.0,634.0,16.0,185.0,21.0,15.0,15.0,0.0,189,43.0,23.0,22.0,136,8.0,113.0,"1,996",444,394,55.0,"1,543",753.0,790,11.0,"1,851","3,599","31,892",84.5,999
Nunavut_2009,487.0,487.0,0.0,"9,276","9,276",,,"9,279","9,276",,,,,,,,,,,651.0,"2,162",642.0,288.0,34.0,61.0,193.0,354.0,50.0,"1,471",860,582,42.0,310,237.0,72.0,233.0,3.0,274.0,-19.0,-23.0,-23.0,0.0,198,17.0,7.0,10.0,179,4.0,154.0,"1,519",304,266,40.0,"1,215",410.0,805,0.0,"1,721","3,019","32,597",83.1,894
Nunavut_2010,482.0,482.0,0.0,"9,039","9,039",,,"9,039","9,042",,,,,,,,,,,666.0,"2,203",670.0,298.0,34.0,64.0,200.0,372.0,45.0,"1,490",953,696,42.0,388,319.0,70.0,269.0,2.0,255.0,-1.0,-1.0,-1.0,0.0,607,18.0,5.0,12.0,588,414.0,174.0,"1,730",316,256,60.0,"1,416",489.0,926,-5.0,"2,039","3,155","33,352",81.8,"1,041"
Nunavut_2011,447.0,447.0,0.0,"8,871","8,871",,,"8,871","8,874",,,,,,,,,,,666.0,"2,198",693.0,309.0,35.0,67.0,207.0,384.0,50.0,"1,456","1,122",857,55.0,263,203.0,60.0,538.0,1.0,265.0,-4.0,4.0,4.0,0.0,783,19.0,5.0,13.0,766,513.0,249.0,"1,944",332,269,62.0,"1,613",537.0,"1,075",-3.0,"2,150","3,323","34,192",80.4,"1,182"
Nunavut_2012,468.0,468.0,0.0,"8,904","8,907",,,"8,904","8,907",,,,,,,,,,,801.0,"2,251",715.0,319.0,38.0,70.0,211.0,396.0,52.0,"1,484",895,738,71.0,231,165.0,66.0,436.0,1.0,156.0,10.0,25.0,25.0,0.0,871,26.0,9.0,17.0,845,631.0,214.0,"1,824",312,251,61.0,"1,511",530.0,981,-4.0,"2,199","3,146","34,672",79.7,"4,062"
Nunavut_2013,490.0,490.0,0.0,"9,087","9,087",,,"9,087","9,084",,,,,,,,,,,573.0,"2,254",733.0,329.0,40.0,75.0,214.0,404.0,48.0,"1,473","1,216","1,013",69.0,676,500.0,176.0,263.0,2.0,201.0,32.0,27.0,27.0,0.0,979,26.0,5.0,21.0,953,783.0,178.0,"2,037",637,574,64.0,"1,398",386.0,"1,013",6.0,"2,410","3,465","35,337",79.6,"3,681"
Nunavut_2014,483.0,483.0,0.0,"9,729","9,729",,,"9,729","9,729",,,,,,,,,,,783.0,"2,271",747.0,330.0,40.0,74.0,216.0,417.0,39.0,"1,487",940,668,48.0,456,354.0,101.0,162.0,1.0,268.0,115.0,32.0,32.0,0.0,943,31.0,8.0,22.0,912,729.0,187.0,"1,942",570,479,92.0,"1,373",414.0,957,1.0,"2,379","3,214","35,971",79.6,"3,834"
Nunavut_2015,437.0,437.0,0.0,"9,891","9,888",,,"9,891","9,888",,,,,,,,,,,762.0,"2,401",771.0,346.0,43.0,79.0,224.0,425.0,42.0,"1,589",975,687,56.0,423,308.0,114.0,206.0,1.0,284.0,-50.0,0.0,0.0,0.0,867,92.0,67.0,20.0,768,607.0,164.0,"1,934",565,475,90.0,"1,370",315.0,"1,056",2.0,"2,372","3,380","36,488",80.0,"3,993"
Nunavut_2016,456.0,455.0,1.0,"10,026","10,026",,,"10,026","10,029",,,,,,,,,,,864.0,"2,427",781.0,349.0,45.0,80.0,224.0,432.0,45.0,"1,602","1,003",698,44.0,451,363.0,89.0,197.0,1.0,301.0,98.0,110.0,110.0,0.0,965,168.0,138.0,19.0,774,608.0,168.0,"2,033",592,503,89.0,"1,442",359.0,"1,085",3.0,"2,492","3,434","36,975",79.6,"3,612"
Nunavut_2017,440.0,440.0,0.0,"10,038","10,041",,,"10,041","10,038",,,,,,,,,,,,"2,505",799.0,364.0,48.0,86.0,230.0,436.0,44.0,"1,662","1,447","1,125",47.0,894,674.0,219.0,172.0,1.0,321.0,132.0,112.0,112.0,0.0,"1,268",440.0,380.0,25.0,658,470.0,184.0,"2,546",844,739,105.0,"1,689",473.0,"1,220",5.0,"2,821","3,944","37,546",79.3,"3,549"
Nunavut_2018,411.0,411.0,0.0,"10,107","10,107",,,"10,107","10,107",,,,,,,,,,,,"2,683",808.0,371.0,51.0,93.0,228.0,439.0,49.0,"1,822","1,866","1,549",38.0,"1,352",936.0,408.0,144.0,2.0,319.0,34.0,-15.0,-15.0,0.0,"1,393",510.0,443.0,24.0,678,478.0,195.0,"3,109","1,171","1,016",155.0,"1,906",509.0,"1,401",-3.0,"2,953","4,535","38,143",79.5,"3,534"
Nunavut_2019,385.0,385.0,0.0,"10,650","10,650",,,"10,653","10,650",,,,,,,,,,,,"2,659",818.0,375.0,53.0,96.0,227.0,445.0,48.0,"1,790","1,709","1,356",47.0,"1,192",893.0,297.0,106.0,2.0,352.0,0.0,-5.0,-5.0,,"1,894",755.0,663.0,25.0,815,627.0,189.0,"3,205","1,111",973,137.0,"2,074",574.0,"1,504",2.0,"3,175","4,355","38,592",79.9,"4,071"
Nunavut_2020,504.0,504.0,0.0,"10,725","10,728",,,"10,725","10,725",,,,,,,,,,,,"2,717",810.0,397.0,57.0,109.0,234.0,415.0,57.0,"1,843",993,798,40.0,687,537.0,151.0,64.0,2.0,194.0,55.0,139.0,139.0,,"2,002",652.0,574.0,18.0,"1,124",926.0,200.0,"2,568",960,873,87.0,"1,578",426.0,"1,156",2.0,"3,211","3,718","39,155",78.9,"4,803"
Nunavut_2021,462.0,462.0,0.0,"10,902","10,902",,,"10,902","10,902",,,,,,,,,,,,"2,826",828.0,405.0,60.0,132.0,217.0,424.0,59.0,"1,931","1,106",963,48.0,778,579.0,198.0,126.0,2.0,148.0,57.0,110.0,110.0,,"2,255",804.0,711.0,17.0,"1,128",924.0,206.0,"2,734",937,822,115.0,"1,782",487.0,"1,299",-1.0,"3,467","3,940","39,403",78.3,"2,307"
