Area_Year,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,"2_Number of students in elementary and secondary schools_Total, school type Total, program type","2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5","2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6","2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7","2_Number of students in elementary and secondary schools_Public school Total, program type",2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Public school General programs for adults 6,2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Priviate school Total, program type",2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,3_Number of full-time and part-time educators_Ontario 6 7,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Household final consumption expenditure,4_Canada_gdp_yearly_Goods,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Business gross fixed capital formation,4_Canada_gdp_yearly_Residential structures,"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Of which: business investment in inventories,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Exports to other countries,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports to other provinces,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Imports from other countries,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports from other provinces,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,6_Estimates of population_Ontario by Local Health Integration Network 8,6_Estimates of population_Ontario by Health Unit 8,7_Dependency ratio_Ontario by Local Health Integration Network 9,7_Dependency ratio_Ontario by Health Unit 9,9_Postsecondary enrolments_Ontario
Ontario_2001,"133,397","133,228",169,"2,143,599","2,143,599",0,0,"2,143,599","2,143,599",0,0,,,,,,,,,,"406,250","286,845","127,771","31,105","17,978","80,082","158,906","8,362","111,325","104,512","85,937","38,814","35,494","15,484","20,185","11,024",601,"17,866","-1,103","-1,102",-986,-142,"328,309","224,145","191,285","32,314","102,819","38,992","63,639","263,942","187,460","157,460","30,135","77,828","43,336","34,035",579,"577,397","510,858","11,897,534","11,897,534",63.0,63.0,"474,600"
Ontario_2002,"130,398","130,260",138,"2,163,108","2,163,108",0,0,"2,163,108","2,163,108",0,0,,,,,,,,,"130,824","421,510","298,338","133,784","33,700","18,882","82,131","164,320","9,086","114,242","105,542","86,228","42,642","33,812","15,882","18,644","10,553",672,"18,568","1,615","1,628","1,442",230,"334,213","226,963","192,635","33,998","106,164","41,877","63,827","269,906","191,219","161,140","30,180","80,259","45,194","34,569",971,"597,107","527,143","12,094,174","12,094,174",62.4,62.4,"494,940"
Ontario_2003,"133,014","132,873",141,"2,164,941","2,164,941",0,0,"2,164,941","2,164,938",0,0,,,,,,,,,"129,912","433,553","307,030","137,554","34,454","19,598","84,450","169,243","8,524","118,169","110,336","89,126","43,202","35,134","15,445","19,956","11,358",590,"20,612","1,281","1,271","1,272",-33,"334,950","224,748","190,951","33,438","109,650","43,821","65,265","278,849","197,874","165,334","32,705","82,490","47,396","34,529",558,"603,720","543,981","12,245,039","12,245,039",61.8,61.8,"533,442"
Ontario_2004,"135,271","135,079",192,"2,129,742","2,129,742",0,0,"2,129,742","2,129,742",0,0,,,,,,,,,"132,678","446,321","315,520","139,869","34,615","20,222","86,023","175,510","8,455","122,632","116,617","94,679","45,382","36,964","15,264","21,602","12,897",397,"21,521","2,725","2,729","2,303",589,"351,800","237,542","202,056","35,080","113,450","44,096","68,954","298,341","216,591","182,649","34,082","82,300","46,745","35,050",245,"620,670","563,014","12,391,421","12,391,421",61.4,61.4,"607,560"
Ontario_2005,"137,887","137,684",203,"2,123,904","2,123,904",0,0,"2,123,904","2,123,904",0,0,,,,,,,,,"137,889","460,339","327,313","144,177","36,292","21,079","87,569","183,052","9,135","123,900","123,705","100,046","46,133","40,346","15,584","24,310","13,699",911,"22,722","2,400","2,399","2,326",36,"359,754","243,718","208,039","35,202","115,110","42,213","72,859","307,848","227,489","192,787","34,831","80,443","43,381","37,006","1,136","640,614","584,090","12,528,663","12,528,663",60.9,60.9,"617,274"
Ontario_2006,"139,733","139,581",152,"2,118,543","2,118,543",0,0,"2,118,543","2,118,543",0,0,,,,,,,,,"149,712","476,590","337,858","147,927","37,888","22,637","87,766","189,903","9,617","129,220","129,492","104,639","46,531","44,218","17,436","26,382","13,579",989,"23,838","3,459","3,469","3,527",-204,"362,235","241,862","205,937","35,482","119,778","43,599","76,185","319,945","235,465","199,488","36,112","84,633","44,717","40,067",3,"652,625","606,108","12,661,878","12,661,878",60.6,60.6,"740,796"
Ontario_2007,"141,803","141,698",105,"2,221,422","2,221,422",0,0,"2,103,465","2,103,465",0,0,"114,375","114,375",0,0,"3,582","3,582",0,0,"154,962","489,698","350,919","152,971","39,514","23,719","89,980","197,954","9,419","129,177","131,433","106,173","47,696","45,025","18,643","26,163","13,165",706,"24,538","5,289","5,281","5,385",-252,"363,107","242,031","206,453","35,114","120,509","46,507","73,738","332,135","245,502","208,983","36,672","86,783","48,131","38,409",-425,"657,733","621,176","12,764,806","12,764,806",60.3,60.3,"658,893"
Ontario_2008,"144,826","144,720",106,"2,208,771","2,208,771",0,0,"2,087,589","2,087,589",0,0,"117,474","117,474",0,0,"3,711","3,711",0,0,"157,302","505,398","359,500","157,382","41,795","24,609","91,026","202,101","10,273","135,559","130,097","104,769","45,433","44,486","17,647","26,503","14,467","1,129","24,166","5,738","5,686","5,678",-67,"339,853","221,946","187,034","34,598","117,622","43,214","74,288","324,255","242,280","206,171","36,259","82,216","43,907","38,353",101,"657,720","635,550","12,883,583","12,883,583",60.4,60.4,"679,932"
Ontario_2009,"144,623","144,575",48,"2,193,381","2,193,384",,,"2,070,738","2,070,735",,,"119,145","119,145",,,"3,501","3,501",,,"158,172","507,806","359,358","156,492","41,212","24,200","91,197","202,859","9,736","138,739","121,352","92,389","42,716","36,882","16,599","20,298","12,817",920,"27,993",481,553,676,-167,"294,682","183,145","147,127","36,003","111,702","40,070","71,573","287,600","199,239","162,563","36,669","88,716","48,096","40,564",-431,"637,298","629,132","12,998,345","12,998,345",60.4,60.4,"703,560"
Ontario_2010,"142,723","142,658",65,"2,177,688","2,177,691",,,"2,061,390","2,061,390",,,"112,716","112,716",,,"3,585","3,585",,,"160,455","524,710","372,425","161,846","43,018","25,624","93,225","210,570","9,668","142,637","132,815","98,786","46,192","39,215","16,870","22,268","13,446",942,"33,041",766,645,727,-110,"318,944","202,274","161,903","40,365","116,715","39,798","76,902","321,370","231,311","187,660","43,612","90,014","49,716","40,255",-437,"656,103","657,529","13,135,778","13,135,778",60.3,60.3,"749,955"
