Index,MSE
provincial_set_overall_nega_minmax_discretized: New Brunswick_education,0.00041279314763374855
provincial_set_overall_nega_minmax_discretized: Newfoundland and Labrador_education,0.0006822215438265815
provincial_set_overall_nega_minmax_discretized: Northwestern_education,0.0
provincial_set_overall_nega_minmax_discretized: Nova Scotia_education,0.03581267217630869
provincial_set_overall_nega_minmax_discretized: Nunavut_education,0.0
provincial_set_overall_nega_minmax_discretized: Ontario_education,9.42704758754877
provincial_set_overall_nega_minmax_discretized: Prince Edward Island_education,0.0
provincial_set_overall_nega_minmax_discretized: Quebec_education,0.6500780904348984
provincial_set_overall_nega_minmax_discretized: Saskatchewan_education,0.39870358740200956
provincial_set_overall_nega_minmax_discretized: Yukon_education,0.0
provincial_set_overall_nega_minmax_nondiscretized: Alberta_education,0.0003137186677887359
provincial_set_overall_nega_minmax_nondiscretized: British Columbia_education,0.002164746285650094
provincial_set_overall_nega_minmax_nondiscretized: Manitoba_education,2.989633404959106e-05
provincial_set_overall_nega_minmax_nondiscretized: New Brunswick_education,4.3075492801530714e-06
provincial_set_overall_nega_minmax_nondiscretized: Newfoundland and Labrador_education,1.3978702016196841e-05
provincial_set_overall_nega_minmax_nondiscretized: Northwestern_education,6.507400275232009e-07
provincial_set_overall_nega_minmax_nondiscretized: Nova Scotia_education,8.937924111528178e-05
provincial_set_overall_nega_minmax_nondiscretized: Nunavut_education,7.693537673467633e-07
provincial_set_overall_nega_minmax_nondiscretized: Ontario_education,0.0009246445345943963
provincial_set_overall_nega_minmax_nondiscretized: Prince Edward Island_education,6.155162934501062e-07
provincial_set_overall_nega_minmax_nondiscretized: Quebec_education,0.0006331434436964299
provincial_set_overall_nega_minmax_nondiscretized: Saskatchewan_education,2.9070162716778963e-05
provincial_set_overall_nega_minmax_nondiscretized: Yukon_education,1.5685407942770152e-06
provincial_set_overall_nega_nonorm_discretized: Alberta_education,0.09555186561812835
provincial_set_overall_nega_nonorm_discretized: British Columbia_education,0.05381013994232584
provincial_set_overall_nega_nonorm_discretized: Manitoba_education,0.07637676674708128
provincial_set_overall_nega_nonorm_discretized: New Brunswick_education,0.16342472083899193
provincial_set_overall_nega_nonorm_discretized: Newfoundland and Labrador_education,0.0007500547885163217
provincial_set_overall_nega_nonorm_discretized: Northwestern_education,0.0
provincial_set_overall_nega_nonorm_discretized: Nova Scotia_education,0.01232741617356996
provincial_set_overall_nega_nonorm_discretized: Nunavut_education,0.0
provincial_set_overall_nega_nonorm_discretized: Ontario_education,9.805576177786898
provincial_set_overall_nega_nonorm_discretized: Prince Edward Island_education,0.0
provincial_set_overall_nega_nonorm_discretized: Quebec_education,0.6551727551746903
provincial_set_overall_nega_nonorm_discretized: Saskatchewan_education,0.4039143666341836
provincial_set_overall_nega_nonorm_discretized: Yukon_education,0.0
provincial_set_overall_nega_nonorm_nondiscretized: Alberta_education,966630778.0541478
provincial_set_overall_nega_nonorm_nondiscretized: British Columbia_education,8006968628.386289
provincial_set_overall_nega_nonorm_nondiscretized: Manitoba_education,11078356.724609295
provincial_set_overall_nega_nonorm_nondiscretized: New Brunswick_education,10528045.688213132
provincial_set_overall_nega_nonorm_nondiscretized: Newfoundland and Labrador_education,7525783.845029113
provincial_set_overall_nega_nonorm_nondiscretized: Northwestern_education,372438.55341079505
provincial_set_overall_nega_nonorm_nondiscretized: Nova Scotia_education,13874237.185853006
provincial_set_overall_nega_nonorm_nondiscretized: Nunavut_education,764929.4895060599
provincial_set_overall_nega_nonorm_nondiscretized: Ontario_education,1938235601.3550482
provincial_set_overall_nega_nonorm_nondiscretized: Prince Edward Island_education,232725.1884940416
provincial_set_overall_nega_nonorm_nondiscretized: Quebec_education,1304134167.8516967
provincial_set_overall_nega_nonorm_nondiscretized: Saskatchewan_education,105305738.96493834
provincial_set_overall_nega_nonorm_nondiscretized: Yukon_education,1895915.6000578038
provincial_set_overall_nega_std_discretized: Alberta_education,0.09555186561812849
provincial_set_overall_nega_std_discretized: British Columbia_education,0.053810139942325606
provincial_set_overall_nega_std_discretized: Manitoba_education,0.07637676674708128
provincial_set_overall_nega_std_discretized: New Brunswick_education,0.19869396834679234
provincial_set_overall_nega_std_discretized: Newfoundland and Labrador_education,0.0006822215438265815
provincial_set_overall_nega_std_discretized: Northwestern_education,0.0
provincial_set_overall_nega_std_discretized: Nova Scotia_education,0.011019283746556509
provincial_set_overall_nega_std_discretized: Nunavut_education,0.0
provincial_set_overall_nega_std_discretized: Ontario_education,9.308477259093006
provincial_set_overall_nega_std_discretized: Prince Edward Island_education,0.0
provincial_set_overall_nega_std_discretized: Quebec_education,0.6551727551746898
provincial_set_overall_nega_std_discretized: Saskatchewan_education,0.4039143666341836
provincial_set_overall_nega_std_discretized: Yukon_education,0.0
provincial_set_overall_nega_std_nondiscretized: Alberta_education,0.0055473254307673485
provincial_set_overall_nega_std_nondiscretized: British Columbia_education,0.03620914717581441
provincial_set_overall_nega_std_nondiscretized: Manitoba_education,0.0007051602451643714
provincial_set_overall_nega_std_nondiscretized: New Brunswick_education,8.117472914346997e-05
provincial_set_overall_nega_std_nondiscretized: Newfoundland and Labrador_education,0.0003089501749578209
provincial_set_overall_nega_std_nondiscretized: Northwestern_education,1.4603315918213988e-05
provincial_set_overall_nega_std_nondiscretized: Nova Scotia_education,0.00217560150190728
provincial_set_overall_nega_std_nondiscretized: Nunavut_education,1.5459237406501988e-05
provincial_set_overall_nega_std_nondiscretized: Ontario_education,0.018048716448447275
provincial_set_overall_nega_std_nondiscretized: Prince Edward Island_education,1.461699769068794e-05
provincial_set_overall_nega_std_nondiscretized: Quebec_education,0.011911253652249834
provincial_set_overall_nega_std_nondiscretized: Saskatchewan_education,0.0004970928473006989
provincial_set_overall_nega_std_nondiscretized: Yukon_education,3.1688666739574994e-05
