"Geography, place of residence of mother 9",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, Canada and place of residence of mother outside Canada 10 11","153,640","152,124","149,465","149,332","147,998","141,534","134,690","133,874","132,255","128,733","133,397","130,398","133,014","135,271","137,887","139,733","141,803","144,826","144,623","142,723","142,944","144,173","141,990","142,299","141,744","142,731","142,678","142,647","142,690","138,196","142,122"
"Canada, place of residence of mother 10","153,523","152,051","149,331","149,203","147,875","141,388","134,549","133,733","132,089","128,572","133,228","130,260","132,873","135,079","137,684","139,581","141,698","144,720","144,575","142,658","142,883","144,119","141,935","142,242","141,663","142,659","142,574","142,562","142,641","137,907","141,766"
Place of residence of mother outside Canada 11,117,73,134,129,123,146,141,141,166,161,169,138,141,192,203,152,105,106,48,65,61,54,55,57,81,72,104,85,49,289,356
