"Geography, place of residence of mother 9",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, Canada and place of residence of mother outside Canada 10 11","12,086","11,983","11,683","11,225","10,840","10,652","10,040","9,685","9,631","9,151","8,929","8,684","8,678","8,840","8,674","8,630","9,021","9,309","9,110","8,944","8,948","8,844","8,526","8,745","8,296","8,429","8,359","8,037","8,172","7,683","7,029"
"Canada, place of residence of mother 10","12,076","11,980","11,674","11,214","10,836","10,649","10,034","9,681","9,626","9,146","8,928","8,676","8,675","8,832","8,667","8,623","9,013","9,300","9,094","8,937","8,944","8,836","8,510","8,727","8,282","8,411","8,336","8,018","8,148","7,673","7,021"
Place of residence of mother outside Canada 11,10,3,9,11,4,3,6,4,5,5,1,8,3,8,7,7,8,9,16,7,4,8,16,18,14,18,23,19,24,10,8
