"Geography, place of residence of mother 9",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, Canada and place of residence of mother outside Canada 10 11","1,851","1,827","1,739","1,693","1,747","1,663","1,569","1,476","1,491","1,417","1,354","1,309","1,389","1,372","1,314","1,388","1,367","1,452","1,406","1,375","1,409","1,292","1,380","1,395","1,320","1,375","1,311","1,283","1,302","1,292","1,447"
"Canada, place of residence of mother 10","1,851","1,827","1,737","1,693","1,747","1,663","1,567","1,476","1,490","1,417","1,354","1,309","1,389","1,371","1,314","1,388","1,367","1,452","1,406","1,375","1,408","1,292","1,380","1,395","1,320","1,375","1,311","1,283","1,302","1,292","1,447"
Place of residence of mother outside Canada 11,0,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
