"Geography, place of residence of mother 9",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, Canada and place of residence of mother outside Canada 10 11","96,230","94,800","91,201","89,346","86,172","84,193","78,893","74,926","72,859","71,151","72,739","71,509","72,838","73,033","75,231","80,853","83,202","87,630","88,074","87,045","87,125","87,338","87,165","86,337","85,348","84,810","82,417","82,419","82,922","80,520","83,341"
"Canada, place of residence of mother 10","96,199","94,765","91,166","89,302","86,142","84,151","78,856","74,894","72,806","71,086","72,683","71,468","72,797","73,005","75,201","80,828","83,176","87,594","88,041","87,015","87,098","87,320","87,127","86,292","85,314","84,768","82,385","82,367","82,871","80,498","83,335"
Place of residence of mother outside Canada 11,31,35,35,44,30,42,37,32,53,65,56,41,41,28,30,25,26,36,33,30,27,18,38,45,34,42,32,52,51,22,6
