"Geography, place of residence of mother 9",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, Canada and place of residence of mother outside Canada 10 11",581,530,513,448,461,432,481,399,382,377,349,349,334,380,315,370,358,361,375,371,420,427,393,385,416,417,0,0,0,0,..
"Canada, place of residence of mother 10",573,517,498,437,457,429,468,395,376,370,343,341,326,371,313,369,356,361,375,370,419,427,393,385,416,416,0,0,0,0,..
Place of residence of mother outside Canada 11,8,13,15,11,4,3,13,4,6,7,6,8,8,9,2,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,..
