"Geography, place of residence of mother 9",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, Canada and place of residence of mother outside Canada 11 12",..,..,..,..,..,..,..,..,..,773,704,709,730,735,771,758,806,820,804,766,751,748,765,753,761,720,715,739,632,666,628
"Canada, place of residence of mother 11",..,..,..,..,..,..,..,..,..,773,704,709,730,735,771,758,806,820,804,766,751,747,765,752,761,720,715,739,632,666,628
Place of residence of mother outside Canada 12,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
