"Geography, place of residence of mother 9",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, Canada and place of residence of mother outside Canada 10 11","404,246","399,441","389,436","386,591","379,036","367,205","349,893","343,262","338,180","328,972","334,927","330,184","336,643","339,323","345,650","358,141","370,533","382,067","384,842","379,366","379,412","383,279","381,270","384,824","383,212","384,329","378,008","374,976","373,412","361,112","368,191"
"Canada, place of residence of mother 10","403,816","399,103","389,029","386,237","378,682","366,831","349,532","342,950","337,795","328,577","334,591","329,863","336,317","338,975","345,307","357,876","370,311","381,838","384,638","379,177","379,231","383,101","381,054","384,577","382,979","384,023","377,627","374,617","372,978","360,552","367,684"
Place of residence of mother outside Canada 11,430,338,407,354,354,374,361,312,385,395,336,321,326,348,343,265,222,229,204,189,181,178,216,247,233,306,381,359,434,560,507
