"Geography, place of residence of mother 9",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, Canada and place of residence of mother outside Canada 10 11","15,284","14,955","14,247","13,993","13,517","13,310","12,812","12,794","12,568","12,118","12,260","11,750","12,128","12,078","12,111","12,427","13,446","13,969","14,535","14,538","14,564","15,042","15,011","15,770","15,497","15,723","15,606","15,407","14,674","14,169","14,509"
"Canada, place of residence of mother 10","15,276","14,951","14,240","13,986","13,509","13,308","12,810","12,790","12,564","12,114","12,253","11,748","12,122","12,074","12,109","12,424","13,446","13,964","14,526","14,532","14,560","15,034","15,005","15,765","15,493","15,722","15,598","15,405","14,670","14,166","14,509"
Place of residence of mother outside Canada 11,8,4,7,7,8,2,2,4,4,4,7,2,6,4,2,3,0,5,9,6,4,8,6,5,4,1,8,2,4,3,0
