"Geography, place of residence of mother 9",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, Canada and place of residence of mother outside Canada 10 11","9,651","9,568","9,197","9,114","8,759","8,353","8,101","8,056","7,735","7,544","7,347","7,193","7,255","7,089","6,967","7,087","7,232","7,463","7,492","7,467","7,208","7,116","7,011","7,010","6,639","6,681","6,543","6,391","6,317","6,222","6,355"
"Canada, place of residence of mother 10","9,644","9,554","9,184","9,098","8,748","8,338","8,090","8,043","7,724","7,535","7,337","7,185","7,244","7,083","6,965","7,084","7,226","7,462","7,491","7,467","7,206","7,115","7,008","7,007","6,637","6,673","6,539","6,389","6,314","6,218","6,353"
Place of residence of mother outside Canada 11,7,14,13,16,11,15,11,13,11,9,10,8,11,6,2,3,6,1,1,0,2,1,3,3,2,8,4,2,3,4,2
