"Geography, place of residence of mother 9",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, Canada and place of residence of mother outside Canada 10 11","7,194","6,950","6,435","6,351","5,872","5,782","5,428","5,015","5,072","4,886","4,719","4,686","4,630","4,507","4,526","4,580","4,577","4,905","4,936","4,888","4,501","4,409","4,548","4,593","4,488","4,475","4,105","4,022","3,767","3,598","3,839"
"Canada, place of residence of mother 10","7,191","6,944","6,430","6,347","5,871","5,780","5,424","5,013","5,069","4,877","4,717","4,678","4,628","4,501","4,515","4,571","4,574","4,901","4,928","4,885","4,496","4,404","4,543","4,586","4,484","4,466","4,097","4,013","3,762","3,586","3,833"
Place of residence of mother outside Canada 11,3,6,5,4,1,2,4,2,3,9,2,8,2,6,11,9,3,4,8,3,5,5,5,7,4,9,8,9,5,12,6
