"Geography, place of residence of mother 9",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, Canada and place of residence of mother outside Canada 10 11",..,..,..,..,..,..,..,..,..,386,366,391,424,435,366,427,480,481,487,482,447,468,490,483,437,456,440,411,385,504,462
"Canada, place of residence of mother 10",..,..,..,..,..,..,..,..,..,386,366,391,424,435,366,427,480,481,487,482,447,468,490,483,437,455,440,411,385,504,462
Place of residence of mother outside Canada 11,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
