"Geography, place of residence of mother 9",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, Canada and place of residence of mother outside Canada 10 11","17,728","17,073","17,155","16,858","16,461","15,832","14,964","14,871","14,769","14,611","14,468","14,335","14,393","14,294","14,581","15,009","15,698","15,915","16,371","16,255","16,045","16,800","16,914","16,984","17,134","17,400","17,500","17,542","17,186","16,908","14,561"
"Canada, place of residence of mother 10","17,718","17,059","17,141","16,844","16,442","15,816","14,947","14,853","14,758","14,592","14,459","14,315","14,378","14,288","14,568","14,997","15,693","15,912","16,363","16,249","16,039","16,791","16,909","16,978","17,123","17,386","17,471","17,506","17,144","16,883","14,552"
Place of residence of mother outside Canada 11,10,14,14,14,19,16,17,18,11,19,9,20,15,6,13,12,5,3,8,6,6,9,5,6,11,14,29,36,42,25,9
