"Geography, place of residence of mother 9",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Total, Canada and place of residence of mother outside Canada 10 11","45,758","46,229","46,141","46,960","46,889","46,221","44,634","43,067","41,977","40,664","40,546","40,120","40,490","40,542","40,853","41,783","43,698","44,373","45,121","43,879","44,205","44,170","43,893","44,479","44,383","45,397","44,773","43,736","43,676","42,384","44,054"
"Canada, place of residence of mother 10","45,585","46,098","46,007","46,881","46,768","46,095","44,545","43,014","41,906","40,598","40,498","40,054","40,411","40,479","40,798","41,738","43,644","44,314","45,054","43,819","44,146","44,107","43,817","44,397","44,315","45,298","44,648","43,599","43,452","42,251","43,999"
Place of residence of mother outside Canada 11,173,131,134,79,121,126,89,53,71,66,48,66,79,63,55,45,54,59,67,60,59,63,76,82,68,99,125,137,224,133,55
