"Estimates","Q1 1991","Q2 1991","Q3 1991","Q4 1991","Q1 1992","Q2 1992","Q3 1992","Q4 1992","Q1 1993","Q2 1993","Q3 1993","Q4 1993","Q1 1994","Q2 1994","Q3 1994","Q4 1994","Q1 1995","Q2 1995","Q3 1995","Q4 1995","Q1 1996","Q2 1996","Q3 1996","Q4 1996","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Of which: business investment in inventories","-3,401","-15,715","-9,900","-10,650","-11,248","-7,976","-8,997","-13,904","-6,525","-3,959","2,288","1,062","2,858","2,543","1,402","2,897","9,304","15,972","12,257","6,378","2,105","-6,556","2,054","8,634","4,716","9,924","12,701","13,599","16,259","7,835","-3,208","5,166","1,709","5,367","3,713","15,935","16,395","15,341","15,905","10,709","-2,530","-1,059","-7,153","-16,398","-18,252","19","-481","4,126","13,504","13,434","-2,967","1,697","-3,195","-5,811","14,239","22,785","20,390","11,107","13,647","10,190","17,281","18,015","12,869","39","3,587","497","17,111","21,877","10,282","7,571","15,788","8,341","5,004","-7,776","-4,664","-5,098","4,037","-5,236","4,278","-5,895","10,135","18,478","10,311","12,489","-181","6,647","10,465","6,077","15,273","12,798","19,476","23,905","22,192","8,743","5,529","8,132","13,506","8,970","-8,612","-5,995","-4,227","5,257","6,766","-3,404","16,105","19,263","25,982","16,035","19,532","18,863","12,648","15,134","25,102","17,276","4,964","6,693","-2,033","-33,923","-41,718","-16,389","-19,557","6,699","-11,444","6,892","19,948","57,395","52,273","22,110"
"Non-farm","-5,083","-16,312","-10,135","-10,700","-9,655","-7,562","-6,925","-13,565","-7,883","-5,736","818","-846","-176","931","2,091","2,796","8,087","13,962","10,828","6,548","2,493","-9,988","-1,087","7,988","2,978","10,540","14,888","16,119","15,814","5,824","-3,505","5,369","625","3,335","3,221","15,027","15,532","14,552","15,503","9,610","-2,075","464","-5,263","-14,038","-17,054","1,568","1,731","5,918","11,122","10,338","-6,423","-1,019","-4,887","-7,224","12,176","19,967","18,200","9,292","11,867","8,676","17,274","18,639","13,285","1,035","4,506","1,542","18,007","22,117","9,044","5,522","11,751","5,801","6,237","-5,478","-6,067","-6,374","4,954","-3,253","5,260","-4,786","9,436","17,832","9,710","13,578","1,485","5,748","9,277","3,550","10,893","7,315","12,400","18,951","19,906","9,699","6,350","7,832","12,874","8,492","-9,800","-6,902","-4,800","3,257","6,219","-2,643","15,510","17,919","25,586","13,624","18,601","18,695","11,936","14,906","24,063","16,791","3,914","4,164","-4,452","-35,539","-36,607","-15,187","-9,577","13,675","51","5,877","21,215","48,422","43,872","19,195"
"Farm","2,047","1,053","545","393","-1,645","-273","-2,278","-131","1,625","2,052","1,610","2,083","3,305","1,767","-797","80","1,240","2,033","1,429","-288","-461","3,813","3,389","596","1,926","-905","-2,716","-3,124","191","2,195","438","-387","1,264","2,309","496","707","671","627","192","1,076","-472","-1,658","-1,974","-2,400","-1,143","-1,706","-2,430","-1,953","2,454","3,420","4,988","3,874","2,651","2,367","2,179","2,782","1,988","2,008","1,815","1,610","-953","-1,835","-1,185","-1,358","-1,379","-1,396","-1,755","-909","1,234","2,149","4,228","2,754","-1,573","-2,590","1,911","1,823","-1,355","-2,373","-1,320","-1,163","651","552","575","-1,172","-1,622","898","1,188","2,484","4,342","5,449","7,126","5,012","2,268","-963","-752","376","783","575","869","698","461","1,915","549","-757","576","1,323","370","2,404","903","108","684","181","1,003","457","1,057","2,564","2,450","1,596","-5,097","-1,229","-9,526","-6,236","-10,046","974","-552","8,464","7,949","2,849"
"Exports of goods and services","233,450","243,734","253,034","252,616","254,736","261,973","265,963","273,228","283,144","291,245","293,470","302,028","303,992","325,608","338,383","351,831","361,591","353,778","354,042","367,421","367,630","381,818","390,025","379,595","400,857","405,962","417,648","425,183","439,029","443,948","452,927","470,743","488,010","488,756","505,803","519,712","537,425","545,503","549,674","550,399","540,481","533,141","522,088","523,974","532,956","532,103","544,160","536,520","527,886","517,269","523,582","540,327","539,677","565,093","563,225","557,714","563,240","561,190","569,271","582,575","574,749","572,631","572,306","576,651","582,434","591,407","581,239","567,381","559,123","564,139","559,627","534,041","488,049","468,265","480,789","492,398","499,315","515,523","515,499","528,009","529,014","521,281","550,239","557,182","556,461","556,941","553,209","551,838","560,597","570,866","566,836","574,741","572,813","607,486","616,555","619,905","613,634","621,986","634,319","629,449","642,847","616,598","634,400","640,701","644,134","649,413","633,561","644,064","655,025","669,793","673,409","671,399","671,718","692,929","694,918","682,411","669,236","556,322","631,770","641,872","649,575","616,204","621,740","645,565","633,100","643,771","660,263","661,654"
"Exports of goods","197,721","207,986","216,529","214,535","217,872","223,210","227,085","232,532","242,091","249,683","250,697","258,643","257,929","276,710","292,860","303,403","311,736","304,214","303,212","314,708","313,999","327,008","333,785","323,564","344,582","347,570","357,709","364,254","373,940","376,658","385,085","401,565","417,640","418,918","434,050","445,662","461,355","468,416","471,009","471,314","461,884","454,557","445,068","446,770","452,988","451,592","462,672","453,240","448,470","440,453","442,602","456,668","456,601","479,261","476,484","469,865","476,241","472,895","480,355","491,918","485,955","482,816","481,970","485,893","493,369","501,073","492,074","477,915","471,078","475,345","469,977","443,853","401,851","381,837","395,438","405,482","414,636","431,089","429,926","441,724","443,437","433,100","460,532","466,246","464,718","464,260","461,657","459,921","469,083","477,891","471,365","479,931","475,652","507,060","516,269","517,436","510,298","518,608","530,977","525,429","534,957","508,047","523,997","528,176","530,842","534,952","517,736","527,336","531,219","545,295","547,987","544,724","537,046","553,394","552,688","542,810","537,427","439,498","514,607","522,207","531,216","498,585","500,462","518,367","508,779","516,763","530,764","528,911"
"Exports of services","35,034","34,862","35,535","37,232","35,883","37,838","37,887","39,771","39,950","40,346","41,664","42,156","45,179","47,880","43,562","46,589","47,983","47,902","49,425","51,248","52,344","53,302","54,748","54,817","54,500","56,811","58,293","59,241","63,651","66,025","66,446","67,545","68,505","67,897","69,682","71,963","73,850","74,817","76,524","76,993","76,723","76,941","75,421","75,589","78,476","79,098","79,947","82,107","77,926","75,247","79,669","82,313","81,699","84,284","85,333","86,636","85,654","87,080","87,620","89,292","87,380","88,511","89,075","89,467","87,533","88,771","87,651","88,101","86,692","87,425","88,554","89,779","86,053","86,326","85,281","86,850","84,602","84,374","85,493","86,220","85,508","88,231","89,638","90,872","91,734","92,678","91,559","91,921","91,530","92,996","95,441","94,815","97,212","100,353","100,173","102,373","103,239","103,340","103,344","103,909","107,665","107,942","109,864","111,937","112,697","113,857","115,094","116,025","122,971","123,661","124,583","125,792","133,502","138,323","140,980","138,375","130,845","115,357","116,723","119,195","117,891","117,426","121,303","127,366","124,422","127,253","129,574","133,325"
"Less: imports of goods and services","203,261","207,269","216,805","220,900","220,508","222,848","226,548","221,829","231,889","239,177","240,549","246,846","246,717","258,060","260,430","272,774","272,778","274,980","273,680","276,572","282,488","282,142","293,038","299,217","317,411","324,441","338,112","343,044","347,366","349,216","341,361","355,155","361,939","368,675","377,640","397,062","405,539","407,832","411,630","408,073","396,951","394,347","385,458","376,190","378,338","396,533","403,965","403,025","406,508","407,276","407,898","427,142","430,920","442,528","455,247","460,378","475,835","472,288","480,595","491,840","496,260","509,392","508,624","508,467","519,459","527,736","540,529","551,830","552,494","556,434","541,540","508,238","459,155","452,016","480,650","499,322","521,491","536,043","546,067","548,300","560,617","565,732","570,146","575,784","586,368","586,529","592,853","590,798","597,753","603,976","601,350","602,423","598,906","619,152","621,680","626,645","623,740","625,307","617,785","618,082","619,638","621,360","628,463","616,714","639,100","649,470","648,904","663,746","674,092","683,445","669,159","660,467","680,847","675,456","674,642","666,376","662,746","519,753","622,934","639,894","653,290","653,984","648,976","679,773","682,041","724,709","721,505","698,762"
"Imports of goods","156,643","158,646","167,235","168,662","169,821","171,551","176,359","173,285","181,270","187,232","187,554","194,387","193,567","204,406","210,701","221,780","222,233","223,027","220,921","223,100","228,950","227,907","237,523","242,256","260,504","267,822","279,648","284,947","288,527","289,672","284,411","297,794","303,351","308,316","316,163","332,479","340,407","342,456","346,026","342,675","331,775","330,583","322,796","314,153","316,666","330,743","337,162","336,481","339,596","339,540","335,764","350,492","354,789","366,942","379,097","381,548","395,361","392,349","398,217","408,427","411,424","424,151","422,002","423,274","433,656","437,723","449,173","452,376","452,946","459,452","446,158","419,535","369,953","361,813","388,429","402,952","418,620","431,965","443,816","441,903","453,601","455,904","461,646","467,564","472,932","474,004","477,900","475,852","482,748","488,594","486,768","488,450","484,076","500,657","503,480","508,185","504,566","502,920","497,313","497,170","498,588","498,591","506,135","493,572","514,237","525,501","520,727","533,909","539,293","548,628","534,552","527,230","543,436","539,815","538,397","526,417","518,853","420,361","521,588","534,644","543,426","541,379","530,493","553,297","557,102","590,925","585,936","566,036"
"Imports of services","50,112","52,602","53,248","56,616","54,555","55,229","53,518","51,598","53,771","55,115","56,406","55,404","56,296","56,405","51,255","52,278","51,704","53,395","54,473","55,241","55,089","55,957","57,125","58,663","58,015","57,466","59,247","58,680","59,431","60,193","57,422","57,631","58,878","60,717","61,812","64,929","65,409","65,645","65,844","65,664","65,548","64,073","62,980","62,377","61,995","66,161","67,174","66,911","67,276","68,112","72,534","77,066","76,565","76,059","76,633","79,331","80,994","80,455","82,907","83,948","85,376","85,806","87,177","85,768","86,423","90,563","91,950","99,810","99,905","97,399","95,785","89,076","89,130","89,978","92,221","96,336","102,725","103,995","102,327","106,326","106,983","109,777","108,469","108,189","113,446","112,525","114,950","114,939","115,021","115,420","114,630","114,053","114,861","118,524","118,264","118,516","119,195","122,360","120,460","120,902","121,042","122,718","122,345","123,058","124,870","124,091","128,122","129,838","134,683","134,774","134,461","133,076","137,241","135,514","136,065","139,385","142,931","100,049","104,089","107,963","112,438","115,008","120,549","128,594","127,076","136,056","137,831","134,896"
"Statistical discrepancy","-417","-726","-1,987","-2,071","-2,873","-1,384","-1,611","-2,110","715","480","-2,151","-1,062","1,811","-1,023","326","1,084","-1,077","745","-205","539","373","158","-1,369","-1,527","761","1,721","1,039","2,836","1,261","1,605","-1,429","1,621","2,268","1,322","1,275","2,882","2,085","2,201","1,701","-609","766","-674","-1,235","563","1,883","683","1,241","-90","2,476","1,607","54","210","1,035","-33","-76","279","-362","1,153","1,661","-286","-935","867","-870","-40","-1,076","-760","-1,316","-1,131","-76","572","-1,200","-664","-226","-1,437","-1,593","-414","-889","-1,115","-2,237","-1,493","-1,178","-923","-1,253","-823","-1,509","-1,193","-404","-1,022","-1,387","521","1,581","-1,149","-1,504","-212","234","-681","-211","-794","-1,228","-1,129","1,140","1,481","1,225","1,252","-1,808","-170","-982","-97","457","-421","133","127","1,661","1,335","-1,182","-1,312","-1,250","1,800","-502","-1,269","-1,952","789","-686","-3","520","1,277","1,211","1,016"
"Gross domestic product at market prices","1,064,426","1,069,389","1,070,821","1,072,797","1,073,579","1,074,890","1,080,662","1,086,810","1,093,765","1,103,723","1,114,242","1,119,052","1,135,542","1,152,136","1,166,865","1,175,379","1,186,304","1,186,783","1,188,347","1,193,217","1,194,038","1,202,352","1,212,740","1,222,507","1,238,634","1,252,626","1,267,450","1,279,723","1,297,798","1,298,491","1,310,310","1,328,139","1,352,229","1,363,541","1,384,876","1,404,357","1,426,823","1,443,782","1,458,465","1,460,962","1,468,700","1,472,658","1,471,677","1,480,637","1,502,613","1,511,469","1,524,550","1,532,914","1,541,396","1,539,123","1,544,874","1,555,533","1,566,737","1,585,347","1,604,061","1,615,585","1,621,176","1,632,938","1,652,719","1,669,060","1,682,596","1,683,465","1,688,166","1,694,895","1,705,736","1,722,263","1,729,494","1,731,459","1,732,786","1,739,053","1,753,314","1,732,984","1,693,824","1,675,340","1,682,878","1,702,503","1,723,041","1,732,057","1,744,332","1,763,825","1,777,148","1,780,610","1,805,176","1,819,392","1,820,558","1,826,496","1,828,984","1,832,766","1,849,206","1,859,938","1,875,096","1,894,795","1,897,892","1,915,226","1,933,594","1,946,974","1,936,275","1,931,005","1,937,835","1,939,286","1,949,923","1,940,335","1,960,344","1,971,351","1,992,778","2,013,165","2,021,658","2,032,130","2,049,916","2,066,010","2,080,268","2,087,359","2,088,836","2,109,476","2,117,366","2,124,287","2,079,075","1,851,868","2,018,868","2,061,880","2,088,868","2,076,573","2,106,286","2,141,494","2,154,177","2,173,172","2,185,692","2,185,910"
"Final domestic demand","1,026,968","1,038,838","1,037,450","1,045,673","1,044,816","1,037,342","1,044,393","1,042,294","1,040,937","1,048,719","1,053,924","1,058,004","1,066,873","1,077,411","1,080,489","1,087,905","1,082,052","1,085,630","1,090,034","1,089,016","1,102,475","1,103,770","1,111,422","1,133,275","1,150,887","1,161,234","1,177,948","1,185,048","1,191,397","1,197,888","1,203,290","1,207,508","1,223,383","1,238,776","1,253,812","1,267,657","1,280,943","1,292,158","1,306,319","1,310,899","1,327,841","1,336,415","1,342,814","1,345,048","1,359,592","1,374,753","1,383,719","1,394,679","1,404,119","1,414,976","1,432,161","1,442,359","1,462,121","1,470,323","1,485,545","1,499,904","1,519,533","1,536,466","1,553,695","1,573,338","1,593,853","1,608,569","1,619,099","1,632,460","1,646,553","1,664,805","1,679,751","1,702,136","1,722,571","1,729,403","1,726,576","1,703,045","1,658,947","1,667,167","1,689,397","1,715,585","1,743,096","1,759,525","1,773,366","1,792,651","1,799,553","1,809,185","1,816,871","1,827,912","1,846,062","1,851,080","1,859,048","1,867,550","1,872,842","1,880,714","1,890,440","1,900,704","1,905,868","1,918,037","1,932,521","1,945,629","1,932,498","1,925,965","1,930,683","1,934,364","1,930,309","1,936,603","1,945,303","1,946,861","1,974,633","1,993,328","2,010,688","2,035,278","2,049,467","2,060,914","2,062,203","2,059,395","2,070,807","2,072,492","2,091,625","2,100,426","2,075,015","1,834,752","2,044,108","2,068,844","2,101,034","2,098,036","2,135,756","2,154,999","2,171,340","2,182,785","2,178,368","2,183,840"




"How to cite: Statistics Canada. Table 36-10-0104-01  Gross domestic product, expenditure-based, Canada, quarterly (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610010401
