"Estimates","Q1 1991","Q2 1991","Q3 1991","Q4 1991","Q1 1992","Q2 1992","Q3 1992","Q4 1992","Q1 1993","Q2 1993","Q3 1993","Q4 1993","Q1 1994","Q2 1994","Q3 1994","Q4 1994","Q1 1995","Q2 1995","Q3 1995","Q4 1995","Q1 1996","Q2 1996","Q3 1996","Q4 1996","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gross fixed capital formation","207,171","204,822","205,461","208,340","206,893","198,347","202,337","193,948","191,824","196,378","200,611","203,403","206,035","212,492","212,640","214,122","208,810","208,315","207,812","208,817","213,405","213,481","222,193","232,804","237,115","243,536","250,898","253,335","252,804","253,365","253,873","256,696","259,541","266,175","268,319","274,873","277,347","279,243","282,596","283,871","291,601","295,469","299,090","291,023","291,761","295,695","300,323","301,136","303,844","306,867","316,518","323,717","331,286","336,517","341,414","347,249","356,674","365,271","375,143","383,143","390,194","393,658","393,575","395,759","401,474","404,443","406,121","410,981","420,386","417,773","414,173","397,086","357,087","355,386","366,529","383,801","397,336","405,802","410,414","417,644","422,078","425,721","427,425","431,614","443,581","448,228","447,594","450,833","453,316","453,416","453,908","455,535","456,586","460,542","466,863","473,052","453,116","440,630","435,014","431,533","423,015","419,949","421,165","414,247","425,595","429,324","433,223","446,403","448,586","449,521","442,947","437,203","444,226","444,247","454,048","450,206","451,374","391,442","447,349","459,330","476,102","474,983","458,442","469,173","475,594","464,671","456,630","453,605"
"Business gross fixed capital formation","168,423","165,299","166,016","168,051","167,304","159,046","163,320","155,975","152,646","156,865","161,034","164,138","166,216","172,426","171,438","172,184","168,297","168,014","167,131","167,735","172,717","173,644","182,288","193,551","199,057","205,757","212,732","215,233","214,632","215,365","216,130","218,509","219,058","223,789","225,298","230,989","233,517","235,777","238,424","239,074","244,277","247,479","249,806","239,565","240,815","244,625","249,094","250,249","252,322","254,273","263,477","270,163","276,809","281,714","286,024","290,415","296,888","303,633","312,176","318,868","325,742","328,789","328,565","329,739","334,437","336,330","337,061","341,623","347,862","345,381","341,949","323,869","284,618","280,479","286,062","297,652","310,583","318,116","322,749","330,475","336,928","343,268","348,122","354,855","364,986","368,723","368,565","372,506","375,760","379,060","379,799","382,721","384,082","388,573","394,437","400,361","378,771","368,060","362,334","358,462","349,356","347,954","349,770","341,919","351,687","354,240","355,362","365,410","366,807","369,922","364,035","361,570","368,700","368,754","376,648","372,871","371,415","312,871","365,711","377,430","393,989","393,811","377,230","387,172","391,963","381,670","375,019","369,928"
"Residential structures","67,098","68,101","69,735","71,615","73,727","72,995","75,322","74,674","71,379","71,381","71,629","71,999","75,151","76,625","74,906","71,457","66,457","62,717","62,010","62,265","64,241","67,682","71,750","74,181","73,991","74,899","75,307","75,592","73,561","72,495","71,794","71,130","72,399","75,037","75,997","77,114","75,984","76,513","79,891","81,390","83,775","85,685","87,901","91,876","97,091","99,025","100,849","103,056","102,097","100,527","105,014","106,864","110,287","112,870","113,787","115,617","114,819","117,667","117,726","117,969","122,299","120,944","117,749","117,924","123,275","123,990","123,597","124,108","122,686","119,828","117,129","110,317","103,206","106,877","111,194","118,051","121,412","119,956","117,742","116,924","119,274","119,074","122,121","123,346","128,772","128,122","127,057","126,969","125,930","127,890","127,037","126,818","125,265","128,194","131,103","131,469","132,415","132,599","135,122","135,736","137,943","139,099","139,293","140,583","142,896","141,655","140,776","144,612","142,843","142,364","140,871","137,801","134,745","139,517","142,817","142,700","141,117","120,755","159,027","166,964","180,959","173,692","158,304","162,753","165,590","151,326","143,607","140,338"
"Non-residential structures, machinery and equipment","88,087","85,575","85,337","85,836","83,898","77,290","78,999","72,864","71,317","73,999","76,891","78,235","77,322","80,717","80,559","83,292","83,269","85,827","85,220","85,165","87,033","85,942","90,313","97,968","102,675","107,540","112,725","114,000","113,755","114,346","114,923","116,791","117,684","120,144","120,358","123,852","125,875","125,595","124,552","122,851","124,013","125,343","127,152","117,032","115,015","117,187","119,456","118,260","119,969","122,820","127,436","131,767","134,138","135,882","138,236","140,455","146,030","148,902","155,531","161,242","164,921","169,309","171,782","172,613","172,370","173,267","173,865","176,973","183,397","183,772","183,666","174,589","147,764","141,467","142,763","146,832","154,799","162,264","168,253","176,689","181,620","186,102","186,764","192,233","196,785","203,004","203,480","207,875","211,597","213,826","215,169","218,262","220,554","222,682","225,852","230,281","210,830","202,139","194,628","189,781","178,180","175,340","177,592","168,556","173,994","176,630","177,562","184,966","184,386","187,389","183,539","182,956","192,020","187,960","192,532","189,483","189,161","153,513","164,453","166,856","166,758","175,521","177,223","183,401","185,019","190,700","192,518","189,829"
"Non-residential structures","64,796","64,154","62,914","62,757","58,013","53,214","53,707","49,758","50,383","52,947","53,500","55,185","54,232","55,461","56,621","58,037","58,849","56,724","56,500","55,067","55,100","56,353","57,974","61,113","65,662","68,017","70,778","69,758","68,323","67,373","66,192","66,215","68,249","69,475","70,944","72,372","71,812","69,842","67,928","68,544","71,472","72,751","73,545","72,261","69,957","69,093","68,975","68,534","70,575","72,272","73,917","76,001","76,787","78,324","79,442","79,564","82,220","83,947","86,124","88,357","90,625","93,462","96,305","97,630","96,578","96,369","96,738","97,055","103,490","105,023","105,586","102,990","88,703","82,810","81,991","82,788","90,724","95,215","101,126","107,437","111,529","110,684","115,373","119,714","122,927","128,521","129,127","133,393","136,617","138,764","141,596","142,771","146,298","147,404","149,191","151,962","136,962","130,522","124,467","119,723","114,592","110,201","117,286","109,205","109,121","110,457","112,147","113,891","113,011","113,401","112,692","111,722","113,353","114,038","117,407","119,283","121,165","102,380","100,608","99,138","103,217","105,698","107,037","110,873","112,025","113,618","116,195","119,047"
"Machinery and equipment","31,477","30,058","30,430","30,836","31,589","29,200","30,134","27,701","26,413","27,126","28,822","29,012","28,802","30,545","29,959","31,185","30,835","33,404","33,094","33,660","34,894","33,629","35,877","39,695","40,893","43,164","45,476","46,793","47,259","48,080","48,994","50,259","49,953","51,091","50,551","52,317","54,010","54,774","54,974","53,462","52,858","53,177","54,070","47,502","47,200","49,156","50,830","50,196","50,387","51,574","54,095","56,174","57,518","57,952","59,098","60,764","63,496","64,675","68,587","71,746","73,203","74,842","74,840","74,561","75,139","76,077","76,311","78,871","79,209","78,217","77,626","71,616","59,413","58,533","60,347","63,375","63,765","66,733","67,000","69,201","70,085","75,310","71,360","72,502","73,844","74,492","74,365","74,475","74,951","75,017","73,494","75,428","74,155","75,180","76,566","78,222","73,726","71,453","69,947","69,744","63,449","64,842","60,215","59,192","64,544","65,821","65,107","70,693","70,983","73,557","70,475","70,839","78,081","73,479","74,694","69,903","67,775","51,161","63,409","67,163","63,013","69,438","69,767","72,083","72,524","76,830","75,904","70,019"
"Intellectual property products","12,763","11,875","11,636","11,641","11,543","11,608","12,065","12,417","13,436","14,516","15,099","16,352","17,071","18,152","18,688","18,856","18,845","18,384","18,779","19,271","20,572","20,140","20,463","20,757","20,825","21,064","21,577","22,352","23,617","24,480","25,103","25,775","24,268","24,051","24,560","25,278","26,314","28,445","29,640","31,098","33,062","33,204","31,711","30,024","29,456","29,211","29,591","30,292","31,186","31,254","31,519","31,840","32,873","33,589","34,506","34,864","36,013","37,089","38,454","38,836","37,846","37,538","37,725","37,866","37,713","37,991","38,497","39,411","40,596","40,577","39,917","37,757","33,196","32,190","32,300","33,060","34,628","36,047","36,801","36,847","36,040","38,084","39,229","39,254","39,424","37,599","38,029","37,664","38,263","37,357","37,612","37,664","38,291","37,721","37,501","38,637","35,578","33,404","32,677","33,021","33,259","33,505","32,893","32,686","34,759","36,029","37,162","36,024","39,895","40,602","40,002","41,329","42,775","41,879","41,900","41,200","41,715","38,970","41,062","42,021","43,463","43,286","42,208","41,432","41,547","42,551","43,082","44,277"
"Non-profit institutions serving households' gross fixed capital formation","1,076","1,080","1,170","1,257","1,215","1,188","1,176","1,183","1,222","1,254","1,285","1,330","1,282","1,306","1,322","1,330","1,398","1,391","1,403","1,414","1,446","1,502","1,492","1,449","1,636","1,539","1,488","1,353","1,177","1,041","963","965","1,071","1,219","1,285","1,313","1,314","1,332","1,363","1,381","1,433","1,469","1,545","1,612","1,861","1,801","1,763","1,749","1,741","1,711","1,582","1,347","989","851","941","1,282","1,885","2,322","2,619","2,775","2,827","2,698","2,478","2,210","1,586","1,653","1,848","2,127","2,597","2,817","2,994","2,955","2,255","2,249","2,213","2,407","2,366","2,411","2,428","2,571","2,400","2,459","2,464","2,488","2,572","2,712","2,796","2,812","2,873","2,822","2,850","2,894","3,075","3,118","3,038","2,925","2,769","2,765","2,790","2,736","2,177","2,021","1,955","1,979","2,018","2,089","2,113","2,133","2,177","2,133","2,073","2,001","1,844","1,868","1,907","1,907","1,926","1,815","1,950","2,014","2,125","2,159","2,020","1,971","1,977","2,060","1,970","1,937"
"General governments gross fixed capital formation","37,895","38,698","38,512","39,272","38,605","38,364","38,075","37,021","38,235","38,513","38,505","38,098","38,713","38,883","40,064","40,819","39,289","39,080","39,464","39,865","39,382","38,427","38,422","37,686","36,199","35,964","36,377","36,447","36,723","36,689","36,500","36,939","39,214","40,997","41,572","42,397","42,330","41,931","42,605","43,220","45,726","46,355","47,588","49,821","49,008","49,170","49,345","49,003","49,654","50,776","51,332","52,073","53,365","53,821","54,301","55,393","57,742","59,139","60,139","61,282","61,378","61,925","62,301","63,614","65,316","66,334","67,098","67,103","69,818","69,463","69,114","70,146","70,214","72,701","78,348","83,873","84,482","85,359","85,304","84,638","82,775","80,007","76,842","74,270","76,024","76,792","76,232","75,515","74,687","71,561","71,291","69,968","69,485","68,917","69,454","69,829","71,660","69,887","69,964","70,405","71,553","70,036","69,495","70,422","71,963","73,072","75,851","78,977","79,725","77,560","76,936","73,716","73,757","73,700","75,571","75,513","78,152","77,048","79,752","79,863","79,819","78,799","79,187","79,936","81,606","80,991","79,695","81,976"
"Investment in inventories","-3,449","-15,639","-9,942","-10,772","-11,027","-8,217","-8,921","-13,846","-6,525","-3,988","2,358","1,024","2,874","2,545","1,370","2,900","9,421","15,835","12,269","6,423","2,088","-6,533","1,910","8,826","4,626","9,951","12,721","13,565","16,250","7,838","-3,206","5,144","1,728","5,388","3,659","15,999","16,383","15,336","15,942","10,721","-2,564","-1,075","-7,096","-16,445","-18,252","-32","-503","4,176","13,510","13,438","-2,953","1,728","-3,315","-5,610","14,205","22,556","20,493","11,182","13,592","10,239","17,264","17,949","12,862","39","3,606","535","17,185","21,746","10,406","7,719","15,727","8,212","5,130","-8,174","-4,469","-5,061","4,127","-5,067","4,590","-6,397","10,949","17,630","10,396","12,083","4,482","6,327","10,519","5,960","15,583","12,447","18,936","24,252","21,226","9,746","5,469","8,130","13,373","8,987","-8,534","-5,966","-4,551","5,671","6,682","-3,057","14,629","20,434","25,930","15,807","19,267","19,354","12,573","15,246","25,063","17,220","4,966","6,820","-2,821","-31,596","-43,861","-15,695","-17,690","4,659","-11,680","8,120","19,421","57,592","52,072","22,290"
