,Upper Bounds,Lower Bounds,Standard Deviation,Mean
"8_Canadian government finance statistics for the federal government_Fines, penalties and forfeits",1.0,0.0,0.21430933898527932,0.1327764976958525
8_Canadian government finance statistics for the federal government_Voluntary transfers other than grants,1.0,0.0,0.17785419744579736,0.057413200676957786
8_Canadian government finance statistics for the federal government_Miscellaneous revenue 8,1.0,0.0,0.2559403490838809,0.12078518963962027
8_Canadian government finance statistics for the federal government_Compensation of employees 9,1.0,0.0,0.36630263727313145,0.31991022781495165
8_Canadian government finance statistics for the federal government_Use of goods and services 9,1.0,0.0,0.3979662446414417,0.34996154798395324
8_Canadian government finance statistics for the federal government_Interest expense,1.0,0.0,0.43631498392423823,0.38618580293095095
8_Canadian government finance statistics for the federal government_Subsidies,1.0,0.0,0.1854019686097399,0.05971290218219386
"8_Canadian government finance statistics for the federal government_Grants, expense",1.0,0.0,0.34819896093652575,0.29961400443158853
8_Canadian government finance statistics for the federal government_Social benefits,1.0,0.0,0.2600905165103935,0.20361883747666165
8_Canadian government finance statistics for the federal government_Other expense,1.0,0.0,0.2654449522615346,0.19825896894784442
8_Canadian government finance statistics for the federal government_Nonfinancial assets 12,1.0,0.0,0.3135443362531583,0.2672605845997541
"8_Canadian government finance statistics for the federal government_Currency and deposits, assets",1.0,0.0,0.24883328272649416,0.18708692121197645
"8_Canadian government finance statistics for the federal government_Debt securities, assets",1.0,0.0,0.3988680670787907,0.35253065439351144
"8_Canadian government finance statistics for the federal government_Loans, assets",1.0,0.0,0.3352645150914001,0.28835452983946724
"8_Canadian government finance statistics for the federal government_Equity and investment fund shares, assets",1.0,0.0,0.3280066267744798,0.27151756456816784
"8_Canadian government finance statistics for the federal government_Insurance and pension, assets",1.0,0.0,0.26091664703250983,0.09719654639996121
8_Canadian government finance statistics for the federal government_Other accounts receivable,1.0,0.0,0.38369993413363856,0.3273785717806173
"8_Canadian government finance statistics for the federal government_Currency and deposits, liabilities",1.0,0.0,0.44732926168427767,0.3968740007170612
"8_Canadian government finance statistics for the federal government_Debt securities, liabilities",1.0,0.0,0.3366098395462591,0.2858578614909369
"8_Canadian government finance statistics for the federal government_Loans, liabilities",1.0,0.0,0.41676175907294155,0.3683243135750912
"8_Canadian government finance statistics for the federal government_Insurance, pension and standardized guarantee schemes, liabilities",1.0,0.0,0.4552349827431684,0.4044207150367282
8_Canadian government finance statistics for the federal government_Other accounts payable,1.0,0.0,0.4435143994209422,0.39379515483613925
"8_Canadian government finance statistics for the federal government_Monetary gold and special drawing rights (SDR), liabilities",1.0,0.0,0.23380164884471016,0.1734640493398428
