,Upper Bounds,Lower Bounds,Standard Deviation,Mean
8_Canadian government finance statistics for the federal government_Sales of goods and services,0.9999999999999998,0.0,0.24953517494727617,0.38879466274007185
"8_Canadian government finance statistics for the federal government_Fines, penalties and forfeits",1.0,0.0,0.18848288069602284,0.24328793309438462
8_Canadian government finance statistics for the federal government_Voluntary transfers other than grants,1.0,0.0,0.17439012401543308,0.0646122623371074
8_Canadian government finance statistics for the federal government_Miscellaneous revenue 8,1.0,0.0,0.2440099572953105,0.14666666666666664
8_Canadian government finance statistics for the federal government_Compensation of employees 9,0.9999999999999998,0.0,0.20299469007730966,0.20567988002893667
8_Canadian government finance statistics for the federal government_Use of goods and services 9,1.0,0.0,0.23825325205476183,0.18729781786657598
8_Canadian government finance statistics for the federal government_Interest expense,1.0,0.0,0.2776674651050965,0.6623593658011735
8_Canadian government finance statistics for the federal government_Subsidies,1.0,0.0,0.1845494823409995,0.05339409935976353
"8_Canadian government finance statistics for the federal government_Grants, expense",1.0,0.0,0.21489307309823769,0.2090362378120233
8_Canadian government finance statistics for the federal government_Social benefits,1.0,0.0,0.19989721020591633,0.11849215551599263
8_Canadian government finance statistics for the federal government_Other expense,1.0,0.0,0.2192691643582761,0.13156744542544413
8_Canadian government finance statistics for the federal government_Nonfinancial assets 12,1.0,0.0,0.1827016617660618,0.17935103326182028
"8_Canadian government finance statistics for the federal government_Currency and deposits, assets",1.0,0.0,0.17971294709774743,0.20382853407926113
"8_Canadian government finance statistics for the federal government_Debt securities, assets",1.0,0.0,0.19269502330802335,0.21958981612446962
"8_Canadian government finance statistics for the federal government_Loans, assets",1.0,0.0,0.18926502898161146,0.21735304023506258
"8_Canadian government finance statistics for the federal government_Equity and investment fund shares, assets",0.9999999999999998,0.0,0.21936173976038778,0.2878990052596519
"8_Canadian government finance statistics for the federal government_Insurance and pension, assets",1.0,0.0,0.2599985608276302,0.09946513690278233
8_Canadian government finance statistics for the federal government_Other accounts receivable,1.0,0.0,0.2787688860255186,0.27590782401566694
"8_Canadian government finance statistics for the federal government_Currency and deposits, liabilities",1.0000000000000004,0.0,0.2719044189770545,0.297970162842186
"8_Canadian government finance statistics for the federal government_Debt securities, liabilities",1.0,0.0,0.21587887004972442,0.21913241280119258
"8_Canadian government finance statistics for the federal government_Loans, liabilities",0.9999999999999996,0.0,0.18747023660123507,0.4800705343591812
"8_Canadian government finance statistics for the federal government_Insurance, pension and standardized guarantee schemes, liabilities",1.0,0.0,0.27201709727427764,0.3133112099593952
8_Canadian government finance statistics for the federal government_Other accounts payable,1.0000000000000004,0.0,0.20517386610803498,0.38812601174490047
"8_Canadian government finance statistics for the federal government_Monetary gold and special drawing rights (SDR), liabilities",1.0,0.0,0.1504971889075989,0.283373647494559
